,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,48.22,10.74,10.66,2.28,3.91,3.35,3.89,1.36,1.53,1.2,1.13,1.26,1.89,0.4,0.3,0.45,0.34,0.4,0.08,1.02,0.36,0.33,0.87,0.34,0.65,0.71,0.33
2000-01-01,49.71,10.17,10.88,2.26,3.71,3.29,3.57,1.49,1.55,1.2,1.01,1.32,1.87,0.38,0.3,0.45,0.38,0.4,0.12,0.89,0.32,0.47,0.72,0.3,0.63,0.61,0.31
2001-01-01,51.16,9.59,11.09,2.24,3.51,3.23,3.25,1.62,1.56,1.2,0.89,1.38,1.85,0.36,0.3,0.45,0.42,0.4,0.17,0.76,0.28,0.6,0.57,0.26,0.61,0.51,0.28
2002-01-01,52.62,9.02,11.31,2.22,3.31,3.17,2.93,1.75,1.58,1.2,0.76,1.44,1.82,0.35,0.3,0.45,0.46,0.4,0.21,0.64,0.24,0.73,0.42,0.23,0.58,0.41,0.25
2003-01-01,54.06,8.45,11.51,2.2,3.1,3.1,2.6,1.88,1.6,1.2,0.64,1.5,1.8,0.33,0.3,0.45,0.5,0.4,0.26,0.51,0.2,0.86,0.27,0.19,0.56,0.31,0.22
2004-01-01,51.65,8.49,11.14,2.5,3.33,3.31,2.83,2.07,1.54,1.22,0.72,1.58,1.74,0.36,0.32,0.44,0.5,0.44,0.57,0.63,0.35,1.01,0.52,0.38,0.6,0.35,0.23
2005-01-01,49.23,8.52,10.77,2.79,3.55,3.51,3.05,2.25,1.48,1.24,0.81,1.66,1.68,0.39,0.34,0.43,0.5,0.48,0.88,0.76,0.5,1.17,0.77,0.58,0.64,0.39,0.24
2006-01-01,46.8,8.56,10.39,3.09,3.77,3.71,3.27,2.43,1.42,1.26,0.89,1.74,1.62,0.42,0.36,0.42,0.5,0.52,1.19,0.88,0.65,1.32,1.02,0.77,0.68,0.43,0.26
2007-01-01,44.37,8.59,10.01,3.39,3.99,3.91,3.49,2.62,1.36,1.28,0.97,1.83,1.56,0.45,0.38,0.41,0.5,0.56,1.5,1.0,0.79,1.47,1.27,0.96,0.72,0.47,0.27
2008-01-01,41.94,8.63,9.63,3.68,4.21,4.11,3.71,2.8,1.3,1.3,1.05,1.91,1.5,0.48,0.4,0.4,0.5,0.6,1.81,1.12,0.94,1.63,1.51,1.15,0.76,0.51,0.28
2009-01-01,43.09,8.41,9.3,3.81,4.0,3.89,3.55,2.91,1.2,1.28,1.06,1.72,1.36,0.53,0.4,0.38,0.5,0.55,1.89,1.17,0.91,1.69,1.54,1.08,0.81,0.54,0.32
2010-01-01,44.24,8.19,8.96,3.94,3.78,3.68,3.39,3.01,1.1,1.27,1.07,1.53,1.22,0.57,0.39,0.35,0.5,0.5,1.98,1.21,0.88,1.76,1.57,1.0,0.86,0.56,0.35
2011-01-01,45.37,7.97,8.61,4.06,3.55,3.45,3.23,3.11,1.0,1.25,1.08,1.34,1.08,0.62,0.38,0.32,0.5,0.45,2.07,1.26,0.85,1.82,1.59,0.92,0.91,0.58,0.39
2012-01-01,46.51,7.75,8.27,4.19,3.33,3.23,3.07,3.22,0.9,1.22,1.09,1.15,0.94,0.67,0.38,0.3,0.49,0.39,2.15,1.3,0.82,1.88,1.62,0.84,0.96,0.61,0.43
2013-01-01,47.64,7.53,7.93,4.32,3.11,3.01,2.91,3.32,0.8,1.2,1.09,0.96,0.79,0.71,0.37,0.27,0.49,0.34,2.24,1.35,0.79,1.95,1.65,0.76,1.01,0.63,0.46
2014-01-01,49.0,7.36,7.44,4.14,3.06,2.95,2.83,3.14,0.84,1.2,1.06,0.92,0.78,0.66,0.41,0.28,0.46,0.33,2.43,1.4,0.87,1.92,1.52,0.71,0.94,0.58,0.43
2015-01-01,50.42,7.2,6.95,3.96,3.01,2.89,2.76,2.97,0.88,1.2,1.02,0.88,0.76,0.61,0.45,0.29,0.44,0.32,2.63,1.46,0.95,1.89,1.4,0.67,0.87,0.53,0.39
2016-01-01,51.83,7.04,6.46,3.79,2.96,2.82,2.69,2.79,0.92,1.2,0.98,0.83,0.75,0.57,0.49,0.29,0.41,0.3,2.83,1.52,1.02,1.86,1.27,0.62,0.8,0.48,0.36
2017-01-01,53.24,6.88,5.97,3.61,2.91,2.76,2.61,2.62,0.95,1.2,0.94,0.79,0.73,0.52,0.53,0.3,0.38,0.29,3.03,1.58,1.1,1.83,1.15,0.57,0.73,0.43,0.32
2018-01-01,54.65,6.72,5.49,3.44,2.86,2.7,2.54,2.44,0.99,1.21,0.91,0.74,0.72,0.47,0.57,0.31,0.35,0.28,3.22,1.63,1.18,1.8,1.03,0.52,0.66,0.38,0.29
2019-01-01,55.87,6.53,4.98,3.25,2.8,2.63,2.45,2.25,1.03,1.2,0.87,0.7,0.7,0.42,0.6,0.32,0.33,0.27,3.41,1.69,1.25,1.76,0.9,0.48,0.58,0.33,0.25
2020-01-01,57.26,6.37,4.49,3.08,2.75,2.56,2.38,2.08,1.06,1.2,0.83,0.65,0.69,0.37,0.64,0.32,0.3,0.25,3.61,1.74,1.32,1.73,0.77,0.43,0.51,0.28,0.22
2021-01-01,58.64,6.2,4.0,2.9,2.7,2.5,2.3,1.9,1.1,1.2,0.79,0.61,0.67,0.32,0.68,0.33,0.27,0.24,3.8,1.8,1.4,1.7,0.65,0.38,0.44,0.23,0.18
2022-01-01,58.89,6.14,3.95,2.95,2.85,2.45,2.2,1.95,1.1,1.1,0.74,0.63,0.68,0.37,0.72,0.3,0.28,0.24,3.55,1.8,1.5,1.55,0.6,0.38,0.41,0.26,0.18
2023-01-01,59.38,6.11,3.91,3.0,3.0,2.4,2.1,2.0,1.1,1.0,0.7,0.66,0.69,0.43,0.77,0.27,0.29,0.24,3.3,1.8,1.6,1.4,0.55,0.0,0.39,0.3,0.18
