,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,4.75,0.25,6.25,5.0,3.0,1.0,3.0,4.75,3.0,3.4,6.25,3.0,3.0,15.43,3.95,3.0,3.0,8.0,6.39,15.58,9.0,4.75,29.0,60.0,19.311,32.17,7.0
1999-02-01,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.4,6.25,3.0,3.0,15.02,3.75,3.0,3.0,7.5,6.39,15.58,9.0,4.75,25.0,60.0,18.734,34.12,7.0
1999-03-01,4.75,0.25,5.5,5.0,3.0,1.0,3.0,4.75,3.0,3.15,6.25,3.0,3.0,13.75,3.4,3.0,3.0,7.5,6.39,15.58,9.0,4.75,25.0,60.0,17.304,27.77,7.0
1999-04-01,4.75,0.25,5.5,4.75,3.0,1.0,3.0,4.75,3.0,2.9,6.25,3.0,3.0,16.14,3.4,3.0,3.0,7.0,6.39,15.53,8.0,4.75,42.0,60.0,16.456,22.96,7.0
1999-05-01,4.75,0.25,5.25,4.75,2.5,0.5,2.5,4.75,2.5,2.9,6.25,2.5,2.5,13.6,2.9,2.5,2.5,6.5,6.39,15.53,8.0,4.75,32.0,60.0,15.665,20.24,6.5
1999-06-01,4.75,0.25,5.25,4.5,2.5,0.5,2.5,4.75,2.5,2.9,6.25,2.5,2.5,12.32,2.9,2.5,2.5,6.5,6.39,15.48,8.0,4.75,23.5,60.0,15.464,22.62,6.0
1999-07-01,5.0,0.25,5.0,4.5,2.5,0.5,2.5,4.75,2.5,2.9,6.25,2.5,2.5,11.37,2.85,2.5,2.5,6.0,5.85,14.37,8.0,4.75,21.0,55.0,14.851,20.08,6.0
1999-08-01,5.0,0.25,5.0,4.5,2.5,0.5,2.5,4.75,2.5,2.9,6.5,2.5,2.5,11.48,2.85,2.5,2.5,6.0,5.85,14.42,8.0,4.75,19.5,55.0,13.652,21.9,6.0
1999-09-01,5.25,0.25,5.0,4.5,2.5,0.5,2.5,4.75,2.5,2.9,6.75,2.5,2.5,11.1,2.85,2.5,2.5,6.0,5.85,14.47,8.0,4.75,19.5,55.0,13.43,19.51,5.5
1999-10-01,5.25,0.25,5.25,4.5,2.5,0.5,2.5,4.75,2.5,2.9,6.75,2.5,2.5,11.05,2.85,2.5,2.5,5.5,5.85,14.47,8.0,4.75,19.0,55.0,12.39,19.73,5.5
1999-11-01,5.25,0.25,5.25,4.5,2.5,0.5,2.5,4.75,2.5,2.9,6.75,2.5,2.5,10.99,2.85,2.5,2.5,5.5,5.85,14.47,8.0,4.75,19.0,55.0,12.18,19.45,5.5
1999-12-01,5.5,0.25,5.5,4.75,3.0,0.5,3.0,5.0,3.0,3.25,7.0,3.0,3.0,10.84,3.3,3.0,3.0,5.5,5.85,14.57,8.0,4.75,19.0,55.0,12.0,17.97,5.5
2000-01-01,5.5,0.25,5.5,4.75,3.0,0.5,3.0,5.0,3.0,3.25,7.0,3.0,3.0,4.25,3.3,3.0,3.0,5.5,5.85,14.57,8.0,4.75,19.0,55.0,12.0,18.39,5.5
2000-02-01,5.5,0.25,5.75,4.75,3.0,1.75,3.0,5.0,3.0,3.25,7.0,3.0,3.0,7.01,3.3,3.0,3.0,5.5,5.85,14.87,8.0,4.75,19.0,45.0,11.75,19.32,5.5
2000-03-01,5.75,0.25,6.0,5.0,3.25,2.25,3.25,5.5,3.25,3.75,7.25,3.25,3.25,7.15,3.6,3.25,3.25,5.5,5.85,14.97,8.0,5.0,19.0,45.0,11.75,16.49,5.5
2000-04-01,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.5,3.5,3.75,7.5,3.5,3.5,6.72,3.85,3.5,3.5,5.5,5.85,6.07,8.0,5.0,18.5,33.0,11.75,13.87,5.5
2000-05-01,6.0,0.25,6.0,5.25,3.75,3.0,3.75,5.75,3.75,3.75,7.5,3.75,3.75,6.84,4.1,3.75,3.75,5.75,5.85,6.07,7.0,5.0,18.5,33.0,11.75,14.46,5.5
2000-06-01,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,3.75,8.0,3.75,3.75,10.94,4.1,3.75,3.75,5.75,5.85,12.95,7.0,5.0,18.5,33.0,11.75,15.69,5.5
2000-07-01,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,3.75,8.0,4.25,4.25,11.21,4.7,4.25,4.25,6.25,5.85,5.95,7.0,5.0,17.5,33.0,11.75,18.06,5.5
2000-08-01,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,3.75,8.0,4.25,4.25,8.15,4.7,4.25,4.25,6.25,5.85,6.87,8.0,5.0,16.5,28.0,11.75,16.0,5.5
2000-09-01,6.5,0.25,6.0,5.75,4.5,3.5,4.5,6.25,4.5,3.75,8.0,4.5,4.5,10.17,5.1,4.5,4.5,6.75,5.85,11.72,8.0,5.0,16.5,28.0,11.75,15.35,5.5
2000-10-01,6.5,0.25,6.0,5.75,4.5,3.5,4.5,6.25,4.5,3.75,8.0,4.5,4.5,8.18,5.6,4.5,4.5,7.0,5.85,12.15,8.0,5.0,16.5,28.0,11.75,15.89,5.5
2000-11-01,6.5,0.25,6.0,5.75,4.75,3.5,4.75,6.25,4.75,3.75,8.0,4.75,4.75,8.47,5.4,4.75,4.75,7.0,5.85,6.7,8.0,5.25,16.5,28.0,12.0,17.12,5.5
2000-12-01,6.5,0.25,6.0,5.75,4.75,3.5,4.75,6.25,4.75,3.75,8.0,4.75,4.75,8.63,5.4,4.75,4.75,7.0,5.85,6.7,8.0,5.25,16.5,25.0,12.0,17.9,5.5
2001-01-01,6.5,0.25,6.0,5.75,4.75,3.5,4.75,6.25,4.75,4.0,8.0,4.75,4.75,10.76,5.4,4.75,4.75,7.0,5.85,7.15,8.0,5.25,15.75,25.0,12.0,18.79,5.5
2001-02-01,5.5,0.25,6.0,5.5,4.75,3.5,4.75,6.25,4.75,4.0,7.0,4.75,4.75,10.04,5.4,4.75,4.75,7.0,5.85,4.7,8.0,5.25,15.25,25.0,12.0,17.71,5.5
2001-03-01,5.5,0.15,5.75,5.5,4.75,3.5,4.75,5.75,4.75,4.0,7.0,4.75,4.75,6.86,5.3,4.75,4.75,7.0,5.85,5.03,7.5,5.0,15.25,25.0,12.0,16.9,5.5
2001-04-01,5.0,0.15,5.75,5.0,4.75,3.25,4.75,5.5,4.75,4.0,6.5,4.75,4.75,4.28,5.3,4.75,4.75,7.0,5.85,4.43,7.0,5.0,15.75,25.0,12.0,16.32,5.5
2001-05-01,4.5,0.15,5.5,4.75,4.75,3.25,4.75,5.0,4.75,4.0,6.0,4.75,4.75,4.08,5.3,4.75,4.75,7.0,5.85,4.23,8.75,5.0,16.25,25.0,12.0,15.0,5.5
2001-06-01,4.0,0.15,5.25,4.5,4.5,3.25,4.5,5.0,4.5,4.0,5.5,4.5,4.5,3.83,5.0,4.5,4.5,7.0,5.85,4.03,8.75,5.0,16.75,25.0,12.0,11.52,5.5
2001-07-01,3.75,0.15,5.25,4.5,4.5,3.25,4.5,5.0,4.5,4.0,5.25,4.5,4.5,3.73,5.0,4.5,4.5,7.0,5.85,3.73,8.5,5.0,18.25,25.0,11.0,10.25,5.5
2001-08-01,3.75,0.15,5.25,4.25,4.5,3.25,4.5,5.0,4.5,4.25,5.25,4.5,4.5,3.68,4.95,4.5,4.5,7.0,5.85,3.63,8.5,4.75,19.0,25.0,11.0,9.77,5.5
2001-09-01,3.5,0.15,5.0,4.0,4.25,3.25,4.25,5.0,4.25,4.25,5.0,4.25,4.25,3.48,4.65,4.25,4.25,7.0,5.85,4.33,8.5,4.5,19.0,25.0,11.0,8.94,5.5
2001-10-01,3.0,0.15,4.75,3.5,3.75,2.25,3.75,4.75,3.75,3.75,4.5,3.75,3.75,3.08,4.15,3.75,3.75,7.0,5.85,4.03,8.5,4.0,19.0,25.0,9.5,10.33,5.0
2001-11-01,2.5,0.15,4.5,2.75,3.75,2.25,3.75,4.5,3.75,3.75,4.0,3.75,3.75,2.88,4.1,3.75,3.75,7.0,5.85,3.75,8.5,4.0,19.0,25.0,9.5,8.12,5.0
2001-12-01,2.0,0.15,4.0,2.25,3.25,2.25,3.25,4.5,3.25,3.75,3.5,3.25,3.25,2.68,3.6,3.25,3.25,7.0,5.85,2.73,8.5,4.0,19.0,25.0,9.5,7.24,5.0
2002-01-01,1.75,0.15,4.0,2.25,3.25,1.75,3.25,4.25,3.25,3.75,3.25,3.25,3.25,2.58,3.6,3.25,3.25,6.5,5.85,3.53,8.5,4.0,19.0,25.0,9.5,8.04,5.0
2002-02-01,1.75,0.15,4.0,2.0,3.25,1.75,3.25,4.25,3.25,3.75,3.25,3.25,3.25,3.2,3.55,3.25,3.25,6.5,5.85,2.48,8.5,4.0,19.0,25.0,10.5,8.16,5.0
2002-03-01,1.75,0.15,4.0,2.0,3.25,1.75,3.25,4.25,3.25,3.75,3.25,3.25,3.25,3.2,3.55,3.25,3.25,6.5,5.31,3.25,8.5,4.0,18.75,25.0,10.5,7.38,5.0
2002-04-01,1.75,0.15,4.0,2.0,3.25,1.75,3.25,4.25,3.25,4.0,3.25,3.25,3.25,3.25,3.55,3.25,3.25,6.5,5.31,3.1,8.0,4.0,18.5,25.0,11.5,6.17,5.0
2002-05-01,1.75,0.15,4.0,2.25,3.25,1.75,3.25,4.25,3.25,4.0,3.25,3.25,3.25,3.25,3.55,3.25,3.25,6.5,5.31,3.1,8.0,4.0,18.5,23.0,11.5,5.47,5.0
2002-06-01,1.75,0.15,4.0,2.25,3.25,1.25,3.25,4.5,3.25,4.25,3.25,3.25,3.25,3.97,3.55,3.25,3.25,6.5,5.31,3.3,8.0,4.25,18.5,23.0,11.5,7.33,5.0
2002-07-01,1.75,0.15,4.0,2.5,3.25,1.25,3.25,4.75,3.25,4.25,3.25,3.25,3.25,4.1,3.55,3.25,3.25,6.5,5.31,4.1,8.0,4.25,18.5,23.0,12.5,8.02,5.0
2002-08-01,1.75,0.15,4.0,2.75,3.25,0.75,3.25,4.75,3.25,4.25,3.25,3.25,3.25,3.81,3.55,3.25,3.25,7.0,5.31,3.81,8.0,4.25,18.0,23.0,12.5,6.57,5.0
2002-09-01,1.75,0.15,4.0,2.75,3.25,0.75,3.25,4.75,3.25,4.25,3.25,3.25,3.25,3.83,3.45,3.25,3.25,7.0,5.31,3.83,8.0,4.25,18.0,21.0,12.5,6.64,5.0
2002-10-01,1.75,0.15,4.0,2.75,3.25,0.75,3.25,4.75,3.25,4.25,3.25,3.25,3.25,2.53,3.45,3.25,3.25,7.0,5.31,2.53,8.0,4.25,18.0,21.0,13.5,8.07,5.0
