,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,-2.59,2.33,-2.82,-0.15,3.76,2.05,-1.99,-5.63,-0.49,3.0,-2.31,-2.31,0.9,-1.37,1.43,1.96,0.9,0.76,0.87,0.8,-0.3,5.99,-5.04,-0.9,1.64,-1.72,-0.48
1999-02-01,-2.59,2.33,-2.82,-0.15,3.76,2.05,-1.99,-5.63,-0.49,3.0,-2.31,-2.31,0.9,-1.37,1.43,1.96,0.9,0.76,0.87,0.8,-0.3,5.99,-5.04,-0.9,1.64,-1.72,-0.48
1999-03-01,-2.59,2.33,-2.82,-0.15,3.76,2.05,-1.99,-5.63,-0.49,3.0,-2.31,-2.31,0.9,-1.37,1.43,1.96,0.9,0.76,0.87,0.8,-0.3,5.99,-5.04,-0.9,1.64,-1.72,-0.48
1999-04-01,-2.85,2.46,-2.16,-0.25,3.55,10.16,-0.79,-5.93,-0.28,3.91,-1.78,-3.25,1.23,-1.21,2.89,6.39,2.72,3.85,1.11,0.67,-0.96,4.35,-4.34,-0.06,-1.01,-1.67,-0.6
1999-05-01,-2.85,2.46,-2.16,-0.25,3.55,10.16,-0.79,-5.93,-0.28,3.91,-1.78,-3.25,1.23,-1.21,2.89,6.39,2.72,3.85,1.11,0.67,-0.96,4.35,-4.34,-0.06,-1.01,-1.67,-0.6
1999-06-01,-2.85,2.46,-2.16,-0.25,3.55,10.16,-0.79,-5.93,-0.28,3.91,-1.78,-3.25,1.23,-1.21,2.89,6.39,2.72,3.85,1.11,0.67,-0.96,4.35,-4.34,-0.06,-1.01,-1.67,-0.6
1999-07-01,-3.14,2.58,-2.25,0.72,2.26,11.74,-1.36,-5.65,-0.89,3.99,-2.03,-3.79,0.68,-1.3,2.84,5.31,2.57,6.44,3.45,1.29,-0.7,3.79,-4.09,0.57,-0.24,-1.99,-0.49
1999-08-01,-3.14,2.58,-2.25,0.72,2.26,11.74,-1.36,-5.65,-0.89,3.99,-2.03,-3.79,0.68,-1.3,2.84,5.31,2.57,6.44,3.45,1.29,-0.7,3.79,-4.09,0.57,-0.24,-1.99,-0.49
1999-09-01,-3.14,2.58,-2.25,0.72,2.26,11.74,-1.36,-5.65,-0.89,3.99,-2.03,-3.79,0.68,-1.3,2.84,5.31,2.57,6.44,3.45,1.29,-0.7,3.79,-4.09,0.57,-0.24,-1.99,-0.49
1999-10-01,-3.3,2.52,-1.27,0.36,3.72,10.07,-1.74,-4.7,-0.54,4.31,-1.98,-3.66,0.26,-0.86,3.91,5.91,2.54,9.28,1.6,0.83,-0.86,3.51,-3.83,1.15,-1.83,-1.57,-0.84
1999-11-01,-3.3,2.52,-1.27,0.36,3.72,10.07,-1.74,-4.7,-0.54,4.31,-1.98,-3.66,0.26,-0.86,3.91,5.91,2.54,9.28,1.6,0.83,-0.86,3.51,-3.83,1.15,-1.83,-1.57,-0.84
1999-12-01,-3.3,2.52,-1.27,0.36,3.72,10.07,-1.74,-4.7,-0.54,4.31,-1.98,-3.66,0.26,-0.86,3.91,5.91,2.54,9.28,1.6,0.83,-0.86,3.51,-3.83,1.15,-1.83,-1.57,-0.84
2000-01-01,-3.79,2.62,-1.6,2.09,1.06,8.6,-1.19,-4.84,1.0,3.15,-0.68,-4.07,0.58,-0.23,3.54,6.55,1.0,10.99,1.96,3.85,-1.9,1.59,-3.28,2.17,-0.33,-1.75,1.8
2000-02-01,-3.79,2.62,-1.6,2.09,1.06,8.6,-1.19,-4.84,1.0,3.15,-0.68,-4.07,0.58,-0.68,3.54,6.55,1.0,10.99,1.96,3.37,-1.9,1.59,-3.28,1.99,-0.33,-1.75,2.64
2000-03-01,-3.79,2.62,-1.6,2.09,1.06,8.6,-1.19,-4.84,-1.04,3.15,-1.01,-4.07,0.58,-0.58,2.34,6.55,0.56,10.99,1.96,3.37,-1.9,1.59,-3.28,1.99,-0.33,-1.02,1.1
2000-04-01,-3.76,2.85,-1.58,2.25,1.56,10.77,-1.25,-4.89,-1.25,3.32,-1.39,-4.33,-0.64,-0.66,2.3,7.06,1.03,11.61,1.96,0.45,-1.4,1.25,-4.15,1.69,0.34,-1.07,2.05
2000-05-01,-3.76,2.85,-1.58,2.25,1.56,10.77,-1.25,-4.89,-1.25,3.32,-1.58,-4.33,-0.64,-0.66,2.3,7.06,1.03,11.61,1.96,1.0,-1.4,1.25,-4.15,2.27,0.34,-1.84,1.43
2000-06-01,-3.76,2.85,-1.58,2.25,1.56,10.77,-1.25,-4.89,-1.25,3.32,-2.83,-4.33,-0.64,-1.46,1.74,7.06,1.03,11.61,1.96,1.0,-1.4,1.25,-4.15,1.69,0.34,-1.84,-1.7
2000-07-01,-4.05,2.76,-2.01,2.75,0.1,9.76,-2.31,-3.28,-1.88,3.54,-1.11,-4.64,-0.55,-1.53,2.38,9.11,0.18,15.86,2.03,1.16,-1.13,2.63,-3.8,0.96,-1.23,-1.4,-0.77
2000-08-01,-4.05,2.76,-2.01,2.75,0.1,9.76,-2.31,-3.28,-1.88,3.54,-1.53,-4.64,-0.55,-1.53,2.86,9.11,0.18,15.86,2.03,1.17,-1.13,2.63,-3.8,-0.3,-1.23,-1.4,-1.46
2000-09-01,-4.05,2.76,-2.01,2.75,0.1,9.76,-2.31,-3.28,-1.88,3.54,-2.12,-4.64,-0.55,-1.53,2.86,9.11,0.18,15.86,2.03,1.01,-1.13,2.63,-3.8,-0.66,-1.23,-1.4,-1.46
2000-10-01,-4.07,2.29,-2.14,3.08,1.69,12.69,-2.63,-3.38,-1.58,5.55,-1.56,-4.3,-0.52,-2.01,3.23,6.14,1.06,18.04,1.22,1.48,0.62,1.56,-5.1,1.34,0.91,-2.45,-1.41
2000-11-01,-4.07,2.29,-2.14,3.08,1.69,12.69,-2.63,-3.38,-1.58,5.55,-0.91,-4.3,-0.52,-3.23,2.46,6.14,1.06,18.04,1.22,1.69,0.62,1.56,-5.1,5.97,0.91,-2.45,-1.41
