,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-04,78.573,28.4505,16.0658,5.8518,11.3908,11.4812,12.7437,3.4484,14.4953,7.7297,4.6214,13.3787,21.4648,5.0986,9.4949,22.9507,9.377,6.855,17.9195,12.9262,4.4013,9.9079,5.1713,1.7335,7.6804,6.2795,4.7722
1999-01-05,79.4712,28.276,16.2128,5.9427,11.4526,11.6441,12.6095,3.4484,14.6994,7.8733,4.6214,13.7158,21.7406,5.0466,9.4677,23.2446,9.4558,6.9694,17.727,12.3668,4.4565,10.369,5.294,1.6368,7.8505,6.318,4.9457
1999-01-06,81.3871,28.6251,16.8985,6.2763,11.6995,11.8884,13.6156,3.5603,14.9716,7.969,4.8414,13.9751,22.2462,5.3067,9.4235,23.1193,9.4033,7.1506,18.2264,12.5819,4.5453,10.6559,5.4538,1.6413,8.4114,6.2024,5.2928
1999-01-07,80.9879,28.7996,16.6046,6.1853,11.6069,11.8069,12.6766,3.6275,14.5293,8.0408,4.9043,13.4565,21.5567,5.4108,9.21,23.6669,9.1143,7.0376,18.6356,13.0811,4.6695,11.2644,5.1677,1.6489,8.3635,6.1254,5.206
1999-01-08,81.5867,28.7996,16.5066,6.2763,11.4217,11.8069,12.7102,3.6275,14.3592,7.9451,4.9986,13.2232,21.4189,5.5148,9.0997,23.5899,8.9305,7.2123,18.4129,13.1429,4.8183,10.7151,5.0392,1.6337,8.4212,5.9327,5.7266
1999-01-11,80.8083,28.4505,16.1638,6.2156,11.2056,11.3998,12.2742,3.5603,13.7807,7.7775,4.8414,12.7824,20.5915,5.4628,9.1498,23.3669,8.9042,7.1667,18.0218,13.0983,4.8906,10.8,4.7566,1.7277,8.3564,5.7786,5.6399
1999-01-12,79.3514,27.7523,16.0168,6.1247,10.9896,11.2776,11.9724,3.6051,13.6106,7.7058,4.8729,12.5231,19.948,5.3587,9.1476,23.4671,8.7729,7.0027,17.3057,12.9613,4.8087,10.4226,4.3932,1.6862,8.2422,5.4704,5.2928
1999-01-13,78.7926,27.5778,15.8699,5.9427,10.6809,11.2369,11.9388,3.4932,13.1002,7.4664,4.5899,12.0824,19.2126,5.0986,9.0599,22.3886,8.7991,6.6051,15.6931,12.885,4.7782,10.3567,3.8564,1.6131,7.7739,5.0467,5.0325
1999-01-14,77.4155,27.7523,15.674,5.8215,10.6809,11.1555,11.7711,3.4708,13.1002,7.4186,4.5271,11.7194,18.9368,4.9946,9.0262,23.1133,8.9042,6.7071,15.3983,12.749,4.761,9.7437,3.446,1.5727,7.6411,5.1237,5.1193
1999-01-15,79.4313,28.4505,16.3107,6.0337,10.9278,11.3184,12.073,3.5603,13.4745,7.4904,4.8729,12.3676,19.8101,5.4628,8.9792,23.2064,8.7991,6.6668,15.8315,13.2961,4.6283,9.9603,4.2736,1.509,8.0344,5.8172,5.3796
