,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,4.82,-0.84,2.34,4.19,2.78,1.03,0.79,5.27,4.21,4.22,2.2,4.24,0.86,2.95,2.31,6.92,1.9,0.87,8.9,3.04,6.2,6.58,0.67,3.56,0.98,2.29,1.83
1999-02-01,4.82,-0.84,2.34,4.19,2.78,1.03,0.79,5.27,4.21,4.22,2.2,4.24,0.86,2.95,2.31,6.92,1.9,0.87,8.9,3.04,6.2,6.58,0.67,3.56,0.98,2.29,1.83
1999-03-01,4.82,-0.84,2.34,4.19,2.78,1.03,0.79,5.27,4.21,4.22,2.2,4.24,0.86,2.95,2.31,6.92,1.9,0.87,8.9,3.04,6.2,6.58,0.67,3.56,0.98,2.29,1.83
1999-04-01,4.72,-0.03,2.17,5.01,2.61,0.58,1.22,4.61,4.62,3.52,1.88,4.3,0.64,2.84,3.62,4.3,2.96,-0.03,7.9,2.95,7.53,12.16,-0.44,3.86,1.64,2.3,2.14
1999-05-01,4.72,-0.03,2.17,5.01,2.61,0.58,1.22,4.61,4.62,3.52,1.88,4.3,0.64,2.84,3.62,4.3,2.96,-0.03,7.9,2.95,7.53,12.16,-0.44,3.86,1.64,2.3,2.14
1999-06-01,4.72,-0.03,2.17,5.01,2.61,0.58,1.22,4.61,4.62,3.52,1.88,4.3,0.64,2.84,3.62,4.3,2.96,-0.03,7.9,2.95,7.53,12.16,-0.44,3.86,1.64,2.3,2.14
1999-07-01,4.79,0.33,3.47,5.69,3.54,1.17,1.86,3.83,5.17,3.8,2.4,4.69,1.42,3.26,2.38,3.45,4.15,3.22,7.6,3.18,6.93,13.3,-0.46,4.9,2.97,2.76,3.08
1999-08-01,4.79,0.33,3.47,5.69,3.54,1.17,1.86,3.83,5.17,3.8,2.4,4.69,1.42,3.26,2.38,3.45,4.15,3.22,7.6,3.18,6.93,13.3,-0.46,4.9,2.97,2.76,3.08
1999-09-01,4.79,0.33,3.47,5.69,3.54,1.17,1.86,3.83,5.17,3.8,2.4,4.69,1.42,3.26,2.38,3.45,4.15,3.22,7.6,3.18,6.93,13.3,-0.46,4.9,2.97,2.76,3.08
1999-10-01,4.82,-0.44,4.26,5.74,4.18,3.73,3.12,3.97,5.68,4.45,3.63,4.73,3.33,4.1,3.48,2.92,5.15,4.25,6.7,3.55,7.29,13.73,2.15,5.44,4.01,3.61,4.09
1999-11-01,4.82,-0.44,4.26,5.74,4.18,3.73,3.12,3.97,5.68,4.45,3.63,4.73,3.33,4.1,3.48,2.92,5.15,4.25,6.7,3.55,7.29,13.73,2.15,5.44,4.01,3.61,4.09
1999-12-01,4.82,-0.44,4.26,5.74,4.18,3.73,3.12,3.97,5.68,4.45,3.63,4.73,3.33,4.1,3.48,2.92,5.15,4.25,6.7,3.55,7.29,13.73,2.15,5.44,4.01,3.61,4.09
2000-01-01,4.22,2.67,4.82,5.52,4.36,4.32,3.4,3.64,4.59,3.99,3.81,5.35,3.95,4.0,3.55,7.53,4.8,5.13,8.7,6.9,7.79,12.47,2.97,4.98,4.22,4.86,5.05
2000-02-01,4.22,2.67,4.82,5.52,4.36,4.32,3.4,3.64,4.59,3.99,3.82,5.35,3.95,3.99,3.55,7.53,4.8,5.13,8.7,6.64,7.79,12.47,2.97,4.69,4.22,4.86,5.18
2000-03-01,4.22,2.67,4.82,5.52,4.36,4.32,3.4,3.64,4.59,3.99,3.82,5.35,3.95,3.99,3.55,7.53,4.8,5.13,8.7,6.64,7.79,12.47,2.97,4.98,4.22,4.86,5.05
2000-04-01,5.24,2.76,5.09,5.88,4.78,4.12,4.24,4.24,4.6,5.97,4.61,5.42,4.25,4.89,4.19,6.25,4.13,3.82,9.1,5.87,5.22,9.19,3.96,4.72,4.35,5.38,5.27
2000-05-01,5.24,2.76,5.09,5.88,4.78,4.12,4.24,4.24,4.6,5.97,4.32,5.42,4.25,4.49,4.19,6.25,4.13,3.82,9.1,6.12,5.22,9.19,3.96,4.68,4.35,5.38,5.07
2000-06-01,5.24,2.76,5.09,5.88,4.78,4.12,4.24,4.24,4.6,5.97,4.61,5.42,4.25,4.85,4.19,6.25,4.13,3.82,9.1,6.12,5.22,9.19,3.96,4.67,4.35,5.38,5.01
2000-07-01,3.97,2.24,4.1,5.31,4.11,4.56,3.05,3.31,4.03,6.03,4.21,5.16,4.05,4.58,3.84,6.44,3.11,2.91,8.8,5.25,5.3,9.16,5.26,5.07,4.24,5.54,4.38
2000-08-01,3.97,2.24,4.1,5.31,4.11,4.56,3.05,3.31,4.03,6.03,4.57,5.16,4.05,4.58,3.84,6.44,3.11,2.91,8.8,6.71,5.3,9.16,5.26,4.61,4.24,5.54,4.82
2000-09-01,3.97,2.24,4.1,5.31,4.11,4.56,3.05,3.31,4.03,6.03,4.57,5.16,4.05,4.58,3.84,6.44,3.11,2.91,8.8,6.56,5.3,9.16,5.26,4.84,4.24,5.54,4.82
2000-10-01,2.91,3.2,3.29,4.03,3.33,3.47,1.9,1.22,3.92,3.73,3.71,5.05,4.22,3.7,3.41,5.38,2.9,1.49,7.5,4.98,3.64,5.75,5.08,4.36,3.99,3.32,3.85
2000-11-01,2.91,3.2,3.29,4.03,3.33,3.47,1.9,1.22,3.92,3.73,3.08,5.05,4.22,3.7,3.41,5.38,2.9,1.49,7.5,4.12,3.64,5.75,5.08,3.64,3.99,3.32,3.5
2000-12-01,2.91,3.2,3.29,4.03,3.33,3.47,1.9,1.22,3.92,3.73,3.42,5.05,4.22,3.7,3.41,5.38,2.9,1.49,7.5,4.12,3.64,5.75,5.08,3.64,3.99,3.32,3.48
2001-01-01,2.2,2.23,2.94,2.94,2.95,2.57,2.48,1.84,3.39,3.37,2.99,4.5,3.49,2.91,1.3,3.79,2.23,0.97,9.5,3.14,2.06,5.06,4.15,4.13,3.42,1.85,2.52
2001-02-01,2.2,2.23,2.94,2.94,2.95,2.57,2.48,1.84,3.39,3.37,2.76,4.5,3.49,2.91,1.3,3.79,2.23,0.97,9.5,3.14,2.06,5.06,4.15,4.13,3.42,1.85,2.43
2001-03-01,2.2,2.23,2.94,2.94,2.95,2.57,2.48,1.84,3.39,3.37,2.83,4.5,3.49,2.43,1.3,3.79,2.23,0.97,9.5,2.9,2.06,5.06,4.15,4.13,3.42,1.85,2.43
2001-04-01,1.0,0.98,2.64,2.0,2.08,2.56,1.63,1.76,2.76,0.86,1.45,3.97,2.51,1.9,0.65,3.79,1.52,2.05,8.6,2.61,4.04,5.02,2.31,3.9,2.99,-0.15,3.52
2001-05-01,1.0,0.98,2.64,2.0,2.08,2.56,1.63,1.76,2.76,0.86,1.45,3.97,2.51,1.9,0.65,3.79,1.52,2.05,8.6,2.26,4.04,5.02,2.31,3.89,2.99,-0.15,3.52
2001-06-01,1.0,0.98,2.64,2.0,2.08,2.56,1.63,1.76,2.76,0.86,1.29,3.97,2.51,1.9,0.65,3.79,1.52,2.05,8.6,2.13,4.04,5.02,2.31,3.89,2.99,-0.15,3.52
2001-07-01,0.49,-0.14,2.53,0.91,1.87,1.55,1.46,2.65,2.1,0.48,0.64,3.82,1.38,1.18,1.27,2.64,0.86,2.27,8.0,1.26,3.95,3.59,0.57,3.21,2.25,-1.44,2.57
2001-08-01,0.49,-0.14,2.53,0.91,1.87,1.55,1.46,2.65,2.1,0.48,1.18,3.82,1.38,1.18,1.27,2.64,0.86,2.27,8.0,1.26,3.95,3.59,0.57,3.21,2.25,-1.44,0.68
2001-09-01,0.49,-0.14,2.53,0.91,1.87,1.55,1.46,2.65,2.1,0.48,1.59,3.82,1.38,1.3,1.27,2.64,0.86,2.27,8.0,1.87,3.95,3.59,0.57,3.21,2.25,-1.44,2.03
2001-10-01,0.17,-1.44,2.21,1.35,0.83,-0.13,1.67,4.3,1.11,1.61,1.67,3.47,-0.35,1.55,0.09,2.9,-0.22,2.98,7.5,1.92,6.29,5.76,-1.03,2.56,2.17,-1.18,3.21
2001-11-01,0.17,-1.44,2.21,1.35,0.83,-0.13,1.67,4.3,1.11,1.61,1.67,3.47,-0.35,1.55,0.09,2.9,-0.22,2.98,7.5,1.92,6.29,5.76,-1.03,3.45,2.17,-1.18,2.64
2001-12-01,0.17,-1.44,2.21,1.35,0.83,-0.13,1.67,4.3,1.11,1.61,1.67,3.47,-0.35,1.55,0.09,2.9,-0.22,2.98,7.5,2.6,6.29,5.76,-1.03,3.28,2.17,-1.18,2.54
