,ReportDateTime,Country,Indicator,FullName,Period,Value
0,1999-01-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Dec),1998-12-01 00:00:00,3.49
1,1999-02-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jan),1999-01-01 00:00:00,6.92
2,1999-03-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Feb),1999-02-01 00:00:00,6.22
3,1999-04-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Mar),1999-03-01 00:00:00,7.4
4,1999-05-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Apr),1999-04-01 00:00:00,4.3
5,1999-06-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (May),1999-05-01 00:00:00,4.72
6,1999-07-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jun),1999-06-01 00:00:00,4.76
7,1999-08-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jul),1999-07-01 00:00:00,3.45
8,1999-09-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Aug),1999-08-01 00:00:00,3.66
9,1999-10-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Sep),1999-09-01 00:00:00,4.04
10,1999-11-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Oct),1999-10-01 00:00:00,2.92
11,1999-12-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Nov),1999-11-01 00:00:00,2.25
12,2000-01-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Dec),1999-12-01 00:00:00,6.66
13,2000-02-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jan),2000-01-01 00:00:00,7.53
14,2000-03-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Feb),2000-02-01 00:00:00,5.8
15,2000-04-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Mar),2000-03-01 00:00:00,4.53
16,2000-05-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Apr),2000-04-01 00:00:00,6.25
17,2000-06-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (May),2000-05-01 00:00:00,5.4
18,2000-07-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jun),2000-06-01 00:00:00,5.53
19,2000-08-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jul),2000-07-01 00:00:00,6.44
20,2000-09-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Aug),2000-08-01 00:00:00,6.99
21,2000-10-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Sep),2000-09-01 00:00:00,8.04
22,2000-11-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Oct),2000-10-01 00:00:00,5.38
23,2000-12-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Nov),2000-11-01 00:00:00,8.39
24,2001-01-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Dec),2000-12-01 00:00:00,5.64
25,2001-02-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jan),2001-01-01 00:00:00,3.79
26,2001-03-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Feb),2001-02-01 00:00:00,6.44
27,2001-04-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Mar),2001-03-01 00:00:00,4.73
28,2001-05-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Apr),2001-04-01 00:00:00,3.79
29,2001-06-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (May),2001-05-01 00:00:00,3.03
30,2001-07-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jun),2001-06-01 00:00:00,3.75
31,2001-08-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jul),2001-07-01 00:00:00,2.64
32,2001-09-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Aug),2001-08-01 00:00:00,4.2
33,2001-10-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Sep),2001-09-01 00:00:00,0.2
34,2001-11-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Oct),2001-10-01 00:00:00,2.9
35,2001-12-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Nov),2001-11-01 00:00:00,0.27
36,2002-01-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Dec),2001-12-01 00:00:00,-1.69
37,2002-02-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jan),2002-01-01 00:00:00,-0.45
38,2002-03-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Feb),2002-02-01 00:00:00,-0.58
39,2002-04-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Mar),2002-03-01 00:00:00,2.11
40,2002-05-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Apr),2002-04-01 00:00:00,2.36
41,2002-06-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (May),2002-05-01 00:00:00,2.1
42,2002-07-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jun),2002-06-01 00:00:00,1.91
43,2002-08-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jul),2002-07-01 00:00:00,2.08
44,2002-09-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Aug),2002-08-01 00:00:00,-0.73
45,2002-10-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Sep),2002-09-01 00:00:00,1.75
46,2002-11-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Oct),2002-10-01 00:00:00,1.95
47,2002-12-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Nov),2002-11-01 00:00:00,0.95
48,2003-01-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Dec),2002-12-01 00:00:00,2.07
49,2003-02-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jan),2003-01-01 00:00:00,1.68
50,2003-03-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Feb),2003-02-01 00:00:00,2.16
51,2003-04-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Mar),2003-03-01 00:00:00,-1.33
52,2003-05-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Apr),2003-04-01 00:00:00,0.6
53,2003-06-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (May),2003-05-01 00:00:00,-0.95
54,2003-07-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jun),2003-06-01 00:00:00,1.21
55,2003-08-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Jul),2003-07-01 00:00:00,1.41
56,2003-09-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Aug),2003-08-01 00:00:00,1.89
57,2003-10-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Sep),2003-09-01 00:00:00,2.69
58,2003-11-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Oct),2003-10-01 00:00:00,1.64
59,2003-12-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Nov),2003-11-01 00:00:00,2.39
60,2004-01-01 04:00:00,Finland,GDP (YoY),Finnish GDP (YoY) (Dec),2003-12-01 00:00:00,0.89
