,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,0.94,-1.37,0.69,1.81,0.66,0.1,1.16,0.74,1.67,1.09,0.69,1.0,0.63,0.92,0.91,1.65,1.04,1.02,1.4,0.93,1.62,3.03,0.31,1.36,0.96,0.86,1.05
1999-02-01,0.94,-1.37,0.69,1.81,0.66,0.1,1.16,0.74,1.67,1.09,0.69,1.0,0.63,0.92,0.91,1.65,1.04,1.02,1.4,0.93,1.62,3.03,0.31,1.36,0.96,0.86,1.05
1999-03-01,0.94,-1.37,0.69,1.81,0.66,0.1,1.16,0.74,1.67,1.09,0.69,1.0,0.63,0.92,0.91,1.65,1.04,1.02,1.4,0.93,1.62,3.03,0.31,1.36,0.96,0.86,1.05
1999-04-01,0.83,0.38,0.47,0.84,0.62,0.65,0.0,0.34,1.11,0.68,0.55,1.19,0.38,0.67,0.52,0.53,1.37,0.04,1.33,1.33,2.58,4.38,0.32,1.01,0.8,0.75,0.5
1999-05-01,0.83,0.38,0.47,0.84,0.62,0.65,0.0,0.34,1.11,0.68,0.55,1.19,0.38,0.67,0.52,0.53,1.37,0.04,1.33,1.33,2.58,4.38,0.32,1.01,0.8,0.75,0.5
1999-06-01,0.83,0.38,0.47,0.84,0.62,0.65,0.0,0.34,1.11,0.68,0.55,1.19,0.38,0.67,0.52,0.53,1.37,0.04,1.33,1.33,2.58,4.38,0.32,1.01,0.8,0.75,0.5
1999-07-01,1.33,0.53,1.6,1.56,1.5,0.63,1.11,1.14,1.38,0.71,0.97,1.33,0.89,1.08,0.62,0.53,1.45,1.71,1.4,1.18,1.25,2.78,0.06,1.5,1.09,0.95,1.25
1999-08-01,1.33,0.53,1.6,1.56,1.5,0.63,1.11,1.14,1.38,0.71,0.97,1.33,0.89,1.08,0.62,0.53,1.45,1.71,1.4,1.18,1.25,2.78,0.06,1.5,1.09,0.95,1.25
1999-09-01,1.33,0.53,1.6,1.56,1.5,0.63,1.11,1.14,1.38,0.71,0.97,1.33,0.89,1.08,0.62,0.53,1.45,1.71,1.4,1.18,1.25,2.78,0.06,1.5,1.09,0.95,1.25
1999-10-01,1.64,0.03,1.43,1.41,1.34,2.32,0.83,1.7,1.41,1.91,1.38,1.12,1.39,1.37,1.4,0.85,1.18,1.43,1.66,1.35,1.65,2.89,1.45,1.47,1.1,0.99,1.23
