,ReportDateTime,Country,Indicator,FullName,Period,Value
0,2008-02-13 18:50:00,Japan,GDP (QoQ),GDP (QoQ),2007-10-01 00:00:00,0.0
1,2008-02-13 21:00:00,Germany,GDP (QoQ),German GDP (QoQ),2007-10-01 00:00:00,0.3
2,2008-02-13 21:45:00,France,GDP (QoQ),French GDP (QoQ),2007-10-01 00:00:00,0.3
3,2008-02-14 00:00:00,Eurozone,GDP (QoQ),GDP (QoQ),2007-10-01 00:00:00,0.0
4,2008-02-26 02:00:00,Germany,GDP (QoQ),German GDP (QoQ),2007-10-01 00:00:00,0.3
5,2008-02-27 04:30:00,United Kingdom,GDP (QoQ),GDP (QoQ),2007-10-01 00:00:00,0.6
6,2008-02-28 08:30:00,United States,GDP (QoQ),GDP (QoQ),2007-10-01 00:00:00,0.6
7,2008-03-04 01:45:00,Switzerland,GDP (QoQ),GDP (QoQ),2007-10-01 00:00:00,1.0
8,2008-03-04 05:00:00,Eurozone,GDP (QoQ),GDP (QoQ),2007-10-01 00:00:00,0.4
9,2008-03-04 19:30:00,Australia,GDP (QoQ),GDP (QoQ),2007-10-01 00:00:00,0.6
10,2008-03-11 18:50:00,Japan,GDP (QoQ),GDP (QoQ),2007-10-01 00:00:00,0.9
11,2008-03-27 07:30:00,United States,GDP (QoQ),GDP (QoQ),2007-10-01 00:00:00,0.6
12,2008-03-27 16:45:00,New Zealand,GDP (QoQ),GDP (QoQ),2007-10-01 00:00:00,1.0
13,2008-03-28 04:30:00,United Kingdom,GDP (QoQ),GDP (QoQ),2007-10-01 00:00:00,0.6
14,2008-04-09 04:00:00,Eurozone,GDP (QoQ),GDP (QoQ),2008-01-01 00:00:00,0.4
15,2008-04-25 03:30:00,United Kingdom,GDP (QoQ),GDP (QoQ),2008-01-01 00:00:00,0.4
16,2008-04-30 07:30:00,United States,GDP (QoQ),GDP (QoQ),2008-01-01 00:00:00,0.6
17,2008-05-15 02:00:00,Germany,GDP (QoQ),German GDP (QoQ),2008-01-01 00:00:00,1.5
18,2008-05-15 02:45:00,France,GDP (QoQ),French GDP (QoQ),2008-01-01 00:00:00,0.6
19,2008-05-15 05:00:00,Eurozone,GDP (QoQ),GDP (QoQ),2008-01-01 00:00:00,0.7
20,2008-05-15 19:50:00,Japan,GDP (QoQ),GDP (QoQ),2008-01-01 00:00:00,0.8
21,2008-05-23 05:00:00,Italy,GDP (QoQ),Italian GDP (QoQ),2008-01-01 00:00:00,0.4
22,2008-06-02 01:45:00,Switzerland,GDP (QoQ),GDP (QoQ),2008-01-01 00:00:00,0.3
23,2008-06-03 05:00:00,Eurozone,GDP (QoQ),GDP (QoQ),2008-01-01 00:00:00,0.8
24,2008-06-03 21:30:00,Australia,GDP (QoQ),GDP (QoQ),2008-01-01 00:00:00,0.6
25,2008-06-10 19:50:00,Japan,GDP (QoQ),GDP (QoQ),2008-01-01 00:00:00,1.0
26,2008-06-26 07:30:00,United States,GDP (QoQ),GDP (QoQ),2008-01-01 00:00:00,2.7
27,2008-06-26 17:45:00,New Zealand,GDP (QoQ),GDP (QoQ),2008-01-01 00:00:00,-0.3
28,2008-06-27 03:30:00,United Kingdom,GDP (QoQ),GDP (QoQ),2008-01-01 00:00:00,0.3
29,2008-07-09 04:00:00,Eurozone,GDP (QoQ),GDP (QoQ),2008-04-01 00:00:00,0.7
30,2008-07-25 03:30:00,United Kingdom,GDP (QoQ),GDP (QoQ),2008-04-01 00:00:00,0.2
31,2008-07-31 07:30:00,United States,GDP (QoQ),GDP (QoQ),2008-04-01 00:00:00,1.9
32,2008-08-08 02:30:00,Italy,GDP (QoQ),Italian GDP (QoQ),2008-04-01 00:00:00,-0.3
33,2008-08-12 18:50:00,Japan,GDP (QoQ),GDP (QoQ),2008-04-01 00:00:00,-0.6
34,2008-08-14 01:00:00,Germany,GDP (QoQ),German GDP (QoQ),2008-04-01 00:00:00,-0.5
35,2008-08-14 01:45:00,France,GDP (QoQ),French GDP (QoQ),2008-04-01 00:00:00,-0.3
36,2008-08-22 03:30:00,United Kingdom,GDP (QoQ),GDP (QoQ),2008-04-01 00:00:00,0.0
37,2008-08-26 01:00:00,Germany,GDP (QoQ),German GDP (QoQ),2008-04-01 00:00:00,-0.5
38,2008-08-28 07:30:00,United States,GDP (QoQ),GDP (QoQ),2008-04-01 00:00:00,3.3
39,2008-09-02 00:45:00,Switzerland,GDP (QoQ),GDP (QoQ),2008-04-01 00:00:00,0.4
40,2008-09-02 20:30:00,Australia,GDP (QoQ),GDP (QoQ),2008-04-01 00:00:00,0.3
41,2008-09-03 04:00:00,Eurozone,GDP (QoQ),GDP (QoQ),2008-04-01 00:00:00,-0.2
42,2008-09-11 18:50:00,Japan,GDP (QoQ),GDP (QoQ),2008-04-01 00:00:00,-0.7
43,2008-09-25 17:45:00,New Zealand,GDP (QoQ),GDP (QoQ),2008-04-01 00:00:00,-0.2
44,2008-09-26 07:30:00,United States,GDP (QoQ),GDP (QoQ),2008-04-01 00:00:00,2.8
45,2008-09-30 03:30:00,United Kingdom,GDP (QoQ),GDP (QoQ),2008-04-01 00:00:00,0.0
46,2008-10-08 04:00:00,Eurozone,GDP (QoQ),GDP (QoQ),2008-07-01 00:00:00,-0.2
