,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,3.64,-6.21,-0.2,5.45,1.42,0.69,0.4,2.61,1.09,1.88,2.67,4.7,-0.9,9.9,1.81,3.46,-0.55,-2.2,17.9,18.23,5.56,16.9,-3.4,-2.24,0.91,3.43,-12.3
1999-02-01,4.06,-3.7,-0.9,4.07,0.41,-1.44,-1.2,1.51,3.19,3.55,0.67,-0.1,-2.3,3.8,0.86,2.27,-2.68,-1.76,2.1,-5.35,3.56,5.4,-4.91,-9.36,0.68,1.32,3.0
1999-03-01,4.24,-0.32,-0.5,2.67,1.54,-0.51,-1.85,1.84,3.84,3.74,1.82,0.6,-0.5,6.8,1.05,1.79,-0.31,-2.47,9.0,8.16,4.67,20.7,-2.72,-5.86,0.34,1.26,2.8
1999-04-01,4.12,-1.79,-1.7,3.75,1.04,-0.85,-0.27,1.42,0.87,0.76,1.37,1.2,-3.1,5.7,0.33,1.66,-0.39,-6.74,9.1,7.99,5.0,18.8,-2.54,-5.77,-0.82,1.27,4.3
1999-05-01,4.08,0.53,0.1,4.39,0.17,-0.65,-0.13,1.12,-0.21,3.54,4.17,0.8,-3.7,19.0,3.54,2.12,-0.34,-0.56,8.9,10.25,7.44,23.9,-3.02,-1.14,0.72,0.67,6.3
1999-06-01,4.62,-0.21,0.5,5.89,2.21,-0.04,0.67,2.65,4.69,1.73,4.76,1.8,-1.2,20.0,-8.28,4.19,-1.99,-3.35,9.1,8.59,4.73,32.4,-3.03,0.4,1.68,1.72,9.6
1999-07-01,5.67,0.53,0.6,8.18,1.85,0.64,-0.65,3.28,2.9,0.64,4.14,4.1,-0.8,18.0,-13.34,2.58,-0.06,0.65,9.3,7.2,6.42,35.5,-5.09,6.1,2.34,1.52,-1.0
1999-08-01,3.98,3.36,2.9,6.48,2.57,3.19,2.54,3.77,3.7,-2.12,5.59,4.0,4.3,19.3,-10.9,1.91,2.19,7.37,9.5,8.19,6.83,32.0,0.25,7.38,4.6,1.5,13.4
1999-09-01,3.65,2.78,3.4,7.6,3.48,2.34,2.83,3.33,2.6,2.69,4.85,3.6,-0.4,14.4,-4.7,5.1,2.28,-1.46,8.2,-0.82,6.99,20.5,0.5,14.27,2.99,2.31,20.9
1999-10-01,4.26,3.22,3.0,6.78,4.74,2.47,3.21,3.61,1.92,2.69,7.11,2.1,1.4,24.2,9.74,3.15,2.62,-1.21,7.0,6.94,8.46,33.7,3.19,4.58,2.74,0.88,13.8
1999-11-01,4.91,4.86,3.7,7.85,4.19,4.3,4.48,4.48,3.08,2.46,7.13,4.4,3.0,19.7,12.29,3.62,5.92,2.99,7.6,9.71,3.48,29.3,4.91,5.9,4.42,2.44,21.8
