,ReportDateTime,Country,Indicator,FullName,Period,Value
0,1999-01-01 04:00:00,United Kingdom,Industrial Production (YoY),Industrial Production (YoY) (Dec),1998-12-01 00:00:00,0.4
1,1999-01-01 04:00:00,Mexico,Industrial Production (YoY),Industrial Production (YoY) (Dec),1998-12-01 00:00:00,3.65
2,1999-01-01 04:00:00,Italy,Industrial Production (YoY),Italian Industrial Production (YoY) (Dec),1998-12-01 00:00:00,-6.0
3,1999-01-01 04:00:00,Korea,Industrial Production (YoY),Industrial Production (YoY) (Dec),1998-12-01 00:00:00,6.6
4,1999-01-01 04:00:00,Spain,Industrial Production (YoY),Spanish Industrial Production (YoY) (Dec),1998-12-01 00:00:00,5.2
5,1999-01-01 04:00:00,Argentina,Industrial Production (YoY),Industrial Production (YoY) (Dec),1998-12-01 00:00:00,-5.9
6,1999-01-01 04:00:00,Brazil,Industrial Production (YoY),Industrial Production (YoY) (Dec),1998-12-01 00:00:00,-2.34
7,1999-01-01 04:00:00,Singapore,Industrial Production (YoY),Industrial Production (YoY) (Dec),1998-12-01 00:00:00,3.0
8,1999-01-01 04:00:00,China,Industrial Production (YoY),Industrial Production (YoY) (Dec),1998-12-01 00:00:00,11.5
9,1999-01-01 04:00:00,Taiwan,Industrial Production (YoY),Industrial Production (YoY) (Dec),1998-12-01 00:00:00,-1.07
10,1999-01-01 04:00:00,Eurozone,Industrial Production (YoY),Industrial Production (YoY) (Dec),1998-12-01 00:00:00,-0.6
11,1999-01-01 04:00:00,Malaysia,Industrial Production (YoY),Industrial Production (YoY) (Dec),1998-12-01 00:00:00,-9.6
12,1999-02-01 04:00:00,Malaysia,Industrial Production (YoY),Industrial Production (YoY) (Jan),1999-01-01 00:00:00,-12.3
13,1999-02-01 04:00:00,United Kingdom,Industrial Production (YoY),Industrial Production (YoY) (Jan),1999-01-01 00:00:00,-0.2
14,1999-02-01 04:00:00,Mexico,Industrial Production (YoY),Industrial Production (YoY) (Jan),1999-01-01 00:00:00,3.43
15,1999-02-01 04:00:00,Italy,Industrial Production (YoY),Italian Industrial Production (YoY) (Jan),1999-01-01 00:00:00,-0.9
