,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,1.6,0.2,1.6,0.7,0.24,0.1,0.2,1.19,2.2,-0.3,-1.1,1.5,1.4,-0.92,1.7,0.5,0.95,2.3,-1.2,0.4,9.38,1.5,1.65,96.9,8.84,19.02,5.2
1999-02-01,1.7,-0.1,1.4,0.7,0.18,0.3,0.1,1.19,2.1,-0.1,-1.7,1.8,1.3,-0.73,2.0,0.76,0.98,2.1,-1.3,2.09,8.64,0.2,2.24,103.2,8.58,18.54,3.8
1999-03-01,1.6,-0.4,1.7,1.0,0.35,0.5,0.2,1.19,2.2,0.1,-2.6,2.2,1.3,-0.52,2.3,0.79,1.21,2.3,-1.8,-0.47,8.95,0.5,3.02,107.5,7.83,18.26,3.0
1999-04-01,1.7,-0.1,1.5,1.6,0.42,0.6,0.6,1.19,2.1,0.1,-3.8,2.4,1.4,-0.32,2.3,1.06,1.18,2.5,-2.2,-0.1,8.36,0.4,3.35,112.9,7.57,18.23,2.9
1999-05-01,2.3,-0.4,1.3,1.5,0.41,0.6,0.5,1.04,2.3,0.1,-4.0,2.2,1.4,0.15,2.0,1.37,0.83,2.5,-2.2,0.49,7.71,0.8,3.14,116.6,7.08,18.01,2.9
1999-06-01,2.1,-0.3,1.3,1.6,0.32,0.6,0.5,1.04,2.3,0.4,-4.1,2.2,1.3,0.13,2.4,1.1,0.74,2.3,-2.1,-0.84,5.26,0.6,3.32,120.6,7.05,17.39,2.1
1999-07-01,2.0,-0.1,1.3,1.9,0.38,0.7,0.6,1.04,2.0,0.2,-5.5,2.2,1.7,0.16,2.3,1.18,0.65,1.9,-1.4,-0.82,3.16,0.3,4.57,126.5,4.67,17.04,2.5
1999-08-01,2.1,0.3,1.2,2.1,0.49,0.9,0.7,1.78,2.6,0.7,-6.1,2.4,1.7,0.37,2.7,1.1,0.92,1.9,-1.3,1.15,3.15,0.9,5.69,120.9,3.3,16.58,2.3
1999-09-01,2.3,-0.2,1.2,2.6,0.69,1.2,0.7,1.78,2.2,1.0,-6.0,2.5,1.9,0.43,2.8,1.14,1.19,2.1,-0.8,0.59,2.14,0.8,6.25,62.0,1.73,15.83,2.1
1999-10-01,2.6,-0.7,1.1,2.3,0.81,1.2,0.7,1.78,2.1,0.9,-4.2,2.5,2.1,0.51,2.9,1.33,1.31,2.5,-0.6,0.4,0.92,1.2,7.5,57.0,1.72,14.91,2.1
1999-11-01,2.6,-1.2,1.2,2.2,0.91,1.3,1.0,1.92,2.2,0.9,-4.3,2.7,2.1,0.36,2.9,1.58,1.53,2.8,-0.9,-0.9,0.0,1.4,8.65,50.4,1.94,13.92,1.6
1999-12-01,2.6,-1.1,1.1,2.6,1.25,1.7,1.2,1.92,2.2,1.3,-4.1,2.9,2.2,0.68,3.1,2.03,1.95,2.8,-1.0,0.15,0.47,1.4,8.94,36.5,2.15,12.32,2.5
2000-01-01,2.7,-0.9,0.8,2.2,1.54,1.6,1.5,1.92,1.9,0.5,-5.3,2.9,2.2,0.91,3.1,2.27,1.79,2.9,-0.2,0.51,2.62,1.9,8.85,28.9,2.78,11.02,1.6
2000-02-01,2.7,-0.6,0.9,2.7,1.36,1.6,1.5,2.8,2.0,0.9,-5.0,3.0,2.4,1.27,3.0,2.78,1.95,3.2,0.7,0.92,3.61,1.8,7.86,25.1,2.35,10.52,1.5
2000-03-01,3.2,-0.5,0.6,3.0,1.49,1.5,1.5,2.8,1.9,1.0,-4.8,2.9,2.4,1.23,3.2,3.15,2.26,2.5,-0.2,1.12,4.83,2.1,6.92,22.5,3.42,10.11,1.6
2000-04-01,3.8,-0.8,0.6,2.2,1.21,1.4,1.1,2.8,1.8,0.8,-4.3,3.0,2.3,1.11,3.1,2.64,2.04,2.6,-0.3,1.25,5.54,1.4,6.77,19.9,4.48,9.73,1.5
2000-05-01,3.1,-0.7,0.5,2.4,1.4,1.6,0.9,3.08,2.1,1.2,-4.5,3.1,2.5,0.51,3.3,2.7,2.17,2.8,0.1,1.6,5.01,1.1,6.47,19.3,5.12,9.48,1.3
2000-06-01,3.2,-0.7,0.8,2.8,1.66,1.8,1.3,3.08,2.4,1.0,-4.6,3.4,2.8,0.78,3.3,3.0,2.76,3.3,0.5,1.36,5.24,2.2,6.51,20.1,5.31,9.41,1.4
2000-07-01,3.7,-0.5,0.9,2.9,1.77,1.9,1.3,3.08,2.3,0.9,-3.2,3.6,2.5,1.16,3.1,2.85,2.79,3.3,0.5,1.44,4.95,3.0,7.06,18.9,6.16,9.12,1.4
2000-08-01,3.7,-0.8,0.6,2.6,1.79,1.1,1.2,6.11,2.2,1.0,-2.6,3.6,2.7,1.62,2.5,3.19,2.89,3.5,0.3,0.28,3.99,2.4,7.86,18.7,6.81,9.1,1.5
2000-09-01,3.4,-0.8,1.0,2.7,2.15,1.4,1.7,6.11,2.8,1.0,-2.8,3.7,2.5,1.69,2.7,3.72,3.36,3.5,0.0,1.62,3.5,3.5,7.77,18.5,7.01,8.85,1.5
2000-10-01,3.5,-0.9,1.0,2.8,1.95,1.3,1.7,6.11,2.9,1.1,-3.0,4.0,2.5,1.84,2.8,3.6,2.96,3.1,0.0,1.02,2.75,2.6,6.65,19.4,6.98,8.91,1.9
2000-11-01,3.4,-0.5,1.1,3.2,2.14,1.9,1.5,5.79,2.8,1.4,-2.2,4.1,2.6,1.99,2.6,3.57,3.09,3.2,1.3,2.26,2.74,2.2,5.99,19.7,6.96,8.87,1.8
2000-12-01,3.4,-0.2,0.8,3.2,1.64,1.5,2.0,5.79,2.6,1.1,-2.0,4.0,2.6,2.06,2.4,3.02,2.49,3.0,1.5,1.65,3.48,2.8,5.97,20.2,6.95,8.96,1.2
2001-01-01,3.4,-0.3,0.9,3.0,1.21,1.3,1.4,5.79,3.7,1.6,-1.5,3.7,3.0,1.99,2.3,2.93,2.2,3.4,1.2,2.36,3.25,3.4,5.92,20.7,7.07,8.11,1.5
2001-02-01,3.7,-0.3,0.8,2.9,1.36,0.8,1.9,6.03,4.0,1.5,-2.5,3.8,3.0,1.31,2.4,2.79,2.25,3.6,0.0,-1.02,3.02,3.6,6.27,22.2,7.72,7.09,1.6
