,ReportDateTime,Country,Indicator,FullName,Period,Value
0,1999-01-01 04:00:00,United Kingdom,CPI (YoY),CPI (YoY) (Dec),1998-12-01 00:00:00,1.6
2,1999-01-01 04:00:00,United States,CPI (YoY),CPI (YoY) (Dec),1998-12-01 00:00:00,1.6
4,1999-01-01 04:00:00,Canada,CPI (YoY),CPI (YoY) (Dec),1998-12-01 00:00:00,1.0
5,1999-01-01 04:00:00,Mexico,CPI (YoY),CPI (YoY) (Dec),1998-12-01 00:00:00,18.61
6,1999-01-01 04:00:00,Sweden,CPI (YoY),CPI (YoY) (Dec),1998-12-01 00:00:00,-1.1
7,1999-01-01 04:00:00,Italy,CPI (YoY),Italian CPI (YoY) (Dec),1998-12-01 00:00:00,1.7
8,1999-01-01 04:00:00,Korea,CPI (YoY),CPI (YoY) (Dec),1998-12-01 00:00:00,4.0
9,1999-01-01 04:00:00,Switzerland,CPI (YoY),CPI (YoY) (Dec),1998-12-01 00:00:00,-0.2
10,1999-01-01 04:00:00,Germany,CPI (YoY),German CPI (YoY) (Dec),1998-12-01 00:00:00,0.4
11,1999-01-01 04:00:00,Netherlands,CPI (YoY),Dutch CPI (YoY) (Dec),1998-12-01 00:00:00,1.8
12,1999-01-01 04:00:00,Spain,CPI (YoY),Spanish CPI (YoY) (Dec),1998-12-01 00:00:00,1.4
13,1999-01-01 04:00:00,Brazil,CPI (YoY),CPI (YoY) (Dec),1998-12-01 00:00:00,1.65
15,1999-01-01 04:00:00,Ireland,CPI (YoY),Irish CPI (YoY) (Dec),1998-12-01 00:00:00,1.57
16,1999-01-01 04:00:00,Belgium,CPI (YoY),Belgium CPI (YoY) (Dec),1998-12-01 00:00:00,0.58
18,1999-01-01 04:00:00,Japan,CPI (YoY),National CPI (YoY) (Dec),1998-12-01 00:00:00,0.6
21,1999-01-01 04:00:00,Singapore,CPI (YoY),CPI (YoY) (Dec),1998-12-01 00:00:00,-1.43
22,1999-01-01 04:00:00,China,CPI (YoY),CPI (YoY) (Dec),1998-12-01 00:00:00,-1.0
23,1999-01-01 04:00:00,Hong Kong,CPI (YoY),CPI (YoY) (Dec),1998-12-01 00:00:00,-1.5
24,1999-01-01 04:00:00,Taiwan,CPI (YoY),CPI (YoY) (Dec),1998-12-01 00:00:00,2.11
26,1999-01-01 04:00:00,Poland,CPI (YoY),CPI (YoY) (Dec),1998-12-01 00:00:00,8.6
