,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,0.2,-0.5,-0.6,0.2,-0.4,0.2,-0.1,0.64,0.06,0.0,0.59,0.4,0.1,0.65,-0.1,-0.21,0.33,0.4,0.2,0.16,-2.1,-0.1,0.7,8.3,0.75,2.53,0.07
1999-02-01,0.0,-0.4,0.2,0.1,0.3,0.3,0.1,0.35,0.5,0.0,0.54,0.1,0.1,0.56,0.77,0.24,0.23,0.2,1.3,-0.03,-1.19,0.4,1.05,4.2,0.0,1.34,0.1
1999-03-01,0.1,0.1,0.5,0.4,0.4,0.1,0.0,0.35,0.87,0.4,0.59,0.4,0.3,0.59,0.48,0.24,0.07,0.7,-0.8,-0.47,-0.24,0.2,1.1,2.8,0.0,0.93,0.24
1999-04-01,0.7,0.5,0.4,0.5,0.3,0.2,0.5,0.49,0.22,0.2,0.58,0.4,0.3,0.6,0.28,0.73,0.41,0.3,-1.0,-0.15,0.24,0.3,0.56,3.0,0.21,0.92,0.38
1999-05-01,0.1,0.0,0.3,0.2,0.0,-0.2,0.0,0.14,0.03,0.2,0.28,0.0,0.1,0.24,0.19,0.25,0.16,-0.2,-1.3,0.18,0.96,-0.2,0.3,2.1,-0.11,0.6,0.1
1999-06-01,0.0,-0.3,-0.1,0.2,0.0,0.1,0.1,0.24,-0.38,0.2,0.15,0.0,0.0,0.21,0.28,-0.06,-0.2,0.1,-1.8,0.12,0.24,-0.6,0.19,2.0,0.53,0.66,0.15
1999-07-01,0.4,-0.4,-0.6,0.2,-0.3,0.0,0.5,0.25,-0.11,-0.4,0.39,0.4,0.4,0.41,-0.19,-0.17,0.16,-0.3,-0.9,-0.26,0.95,-0.3,1.09,2.8,0.11,0.66,0.12
1999-08-01,0.2,0.3,0.3,0.2,0.2,0.5,-0.1,0.11,0.55,0.0,0.32,0.4,0.0,0.34,0.52,0.07,-0.12,-0.3,1.0,0.77,0.47,1.0,0.56,1.2,-0.42,0.56,-0.0
1999-09-01,0.4,0.3,0.4,0.3,0.1,0.2,-0.2,0.4,0.46,0.7,0.48,0.2,0.3,0.42,0.47,0.33,0.23,0.9,2.0,0.08,0.7,0.3,0.31,1.5,0.21,0.97,0.2
1999-10-01,0.2,0.2,-0.1,0.1,0.1,0.0,-0.1,0.35,0.08,0.1,0.46,0.0,0.4,0.44,0.19,0.21,0.14,0.5,0.0,0.2,1.86,0.8,1.19,1.4,0.42,0.63,0.14
1999-11-01,0.2,-0.6,0.1,-0.1,0.0,-0.1,0.2,0.28,0.12,-0.3,0.45,0.2,0.1,0.39,0.19,-0.01,0.2,0.4,-0.6,-0.13,0.23,-0.2,0.95,1.2,0.21,0.89,0.1
1999-12-01,0.2,-0.3,0.3,0.1,0.5,0.3,0.4,0.4,-0.34,0.2,0.44,0.5,0.1,0.48,0.09,0.39,0.32,0.1,0.0,-0.03,-1.6,-0.2,0.6,1.2,0.21,1.0,0.22
2000-01-01,0.3,-0.3,-0.9,-0.2,-0.1,0.1,0.2,0.6,-0.2,-0.8,-0.12,0.3,0.1,-0.18,-0.14,0.02,0.17,0.5,0.9,-0.01,0.0,0.4,0.62,2.3,1.26,1.34,-0.34
2000-02-01,0.4,-0.3,0.3,0.6,0.1,0.4,0.1,0.25,0.61,0.5,0.3,0.1,0.4,0.28,0.61,0.74,0.39,0.5,1.9,1.1,-0.23,0.3,0.13,1.1,-0.42,0.89,0.59
2000-03-01,0.6,0.2,0.2,0.7,0.5,0.0,0.0,0.43,0.89,0.5,0.33,0.4,0.3,0.31,0.71,0.6,0.37,0.1,-1.6,-0.58,0.93,0.5,0.22,0.5,1.04,0.55,0.65
2000-04-01,-0.1,0.2,0.3,-0.3,0.0,0.1,0.0,0.42,0.16,0.0,0.2,0.4,0.1,0.19,0.1,0.24,0.19,0.4,-0.9,-0.07,0.92,-0.4,0.42,1.0,1.24,0.57,0.13
2000-05-01,0.2,0.1,0.3,0.4,0.2,0.0,-0.1,0.25,0.32,0.5,0.12,0.2,0.4,0.2,0.4,0.3,0.29,0.0,-1.0,0.36,0.46,-0.5,0.01,1.8,0.61,0.37,0.24
