,ReportDateTime,Country,Indicator,FullName,Period,Value
0,1999-01-01 04:00:00,United Kingdom,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,0.3
3,1999-01-01 04:00:00,United States,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,0.2
5,1999-01-01 04:00:00,Canada,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,-0.3
7,1999-01-01 04:00:00,Mexico,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,2.44
8,1999-01-01 04:00:00,Sweden,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,-0.2
9,1999-01-01 04:00:00,Italy,CPI (MoM),Italian CPI (MoM) (Dec),1998-12-01 00:00:00,0.0
10,1999-01-01 04:00:00,Korea,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,-0.2
11,1999-01-01 04:00:00,Switzerland,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,0.0
12,1999-01-01 04:00:00,Germany,CPI (MoM),German CPI (MoM) (Dec),1998-12-01 00:00:00,0.1
13,1999-01-01 04:00:00,France,CPI (MoM),French CPI (MoM) (Dec),1998-12-01 00:00:00,0.1
14,1999-01-01 04:00:00,Israel,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,0.1
15,1999-01-01 04:00:00,Spain,CPI (MoM),Spanish CPI (MoM) (Dec),1998-12-01 00:00:00,0.3
16,1999-01-01 04:00:00,Brazil,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,0.33
18,1999-01-01 04:00:00,Ireland,CPI (MoM),Irish CPI (MoM) (Dec),1998-12-01 00:00:00,-0.14
19,1999-01-01 04:00:00,Belgium,CPI (MoM),Belgium CPI (MoM) (Dec),1998-12-01 00:00:00,-0.08
20,1999-01-01 04:00:00,China,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,0.2
21,1999-01-01 04:00:00,Taiwan,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,-0.64
22,1999-01-01 04:00:00,Poland,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,0.4
23,1999-01-01 04:00:00,Russia,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,11.6
24,1999-01-01 04:00:00,Norway,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,0.1
26,1999-01-01 04:00:00,Eurozone,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,0.1
28,1999-01-01 04:00:00,Chile,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,0.51
29,1999-01-01 04:00:00,Portugal,CPI (MoM),Portuguese CPI (MoM) (Dec),1998-12-01 00:00:00,0.4
30,1999-01-01 04:00:00,Philippines,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,0.0
31,1999-01-01 04:00:00,Czechia,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,-0.1
32,1999-01-01 04:00:00,Colombia,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,0.91
33,1999-01-01 04:00:00,Peru,CPI (MoM),CPI (MoM) (Dec),1998-12-01 00:00:00,0.62
35,1999-02-01 04:00:00,Chile,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,-0.33
36,1999-02-01 04:00:00,Portugal,CPI (MoM),Portuguese CPI (MoM) (Jan),1999-01-01 00:00:00,-0.3
37,1999-02-01 04:00:00,Philippines,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,1.85
38,1999-02-01 04:00:00,Czechia,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,0.7
39,1999-02-01 04:00:00,Colombia,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,2.21
40,1999-02-01 04:00:00,Peru,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,0.01
41,1999-02-01 04:00:00,United Kingdom,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,-0.6
44,1999-02-01 04:00:00,United States,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,0.2
46,1999-02-01 04:00:00,Canada,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,0.2
48,1999-02-01 04:00:00,Mexico,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,2.53
49,1999-02-01 04:00:00,Sweden,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,0.0
50,1999-02-01 04:00:00,Italy,CPI (MoM),Italian CPI (MoM) (Jan),1999-01-01 00:00:00,0.1
51,1999-02-01 04:00:00,Korea,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,-0.1
52,1999-02-01 04:00:00,Switzerland,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,0.2
53,1999-02-01 04:00:00,Germany,CPI (MoM),German CPI (MoM) (Jan),1999-01-01 00:00:00,-0.1
54,1999-02-01 04:00:00,France,CPI (MoM),French CPI (MoM) (Jan),1999-01-01 00:00:00,-0.4
55,1999-02-01 04:00:00,Israel,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,-0.5
56,1999-02-01 04:00:00,Spain,CPI (MoM),Spanish CPI (MoM) (Jan),1999-01-01 00:00:00,0.4
57,1999-02-01 04:00:00,Brazil,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,0.7
59,1999-02-01 04:00:00,Ireland,CPI (MoM),Irish CPI (MoM) (Jan),1999-01-01 00:00:00,-0.7
60,1999-02-01 04:00:00,Belgium,CPI (MoM),Belgium CPI (MoM) (Jan),1999-01-01 00:00:00,0.33
61,1999-02-01 04:00:00,China,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,0.2
62,1999-02-01 04:00:00,Taiwan,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,0.16
63,1999-02-01 04:00:00,Poland,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,1.5
64,1999-02-01 04:00:00,Russia,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,8.3
65,1999-02-01 04:00:00,Norway,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,0.4
67,1999-02-01 04:00:00,Eurozone,CPI (MoM),CPI (MoM) (Jan),1999-01-01 00:00:00,-0.1
68,1999-03-01 04:00:00,United Kingdom,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,0.2
71,1999-03-01 04:00:00,United States,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,0.0
73,1999-03-01 04:00:00,Canada,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,0.1
75,1999-03-01 04:00:00,Mexico,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,1.34
76,1999-03-01 04:00:00,Sweden,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,0.0
77,1999-03-01 04:00:00,Italy,CPI (MoM),Italian CPI (MoM) (Feb),1999-02-01 00:00:00,0.1
78,1999-03-01 04:00:00,Korea,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,0.4
79,1999-03-01 04:00:00,Switzerland,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,0.3
80,1999-03-01 04:00:00,Germany,CPI (MoM),German CPI (MoM) (Feb),1999-02-01 00:00:00,0.1
81,1999-03-01 04:00:00,France,CPI (MoM),French CPI (MoM) (Feb),1999-02-01 00:00:00,0.3
82,1999-03-01 04:00:00,Israel,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,-0.8
83,1999-03-01 04:00:00,Spain,CPI (MoM),Spanish CPI (MoM) (Feb),1999-02-01 00:00:00,0.1
84,1999-03-01 04:00:00,Brazil,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,1.05
86,1999-03-01 04:00:00,Ireland,CPI (MoM),Irish CPI (MoM) (Feb),1999-02-01 00:00:00,0.57
87,1999-03-01 04:00:00,Belgium,CPI (MoM),Belgium CPI (MoM) (Feb),1999-02-01 00:00:00,0.23
88,1999-03-01 04:00:00,China,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,1.3
89,1999-03-01 04:00:00,Taiwan,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,-0.03
90,1999-03-01 04:00:00,Saudi Arabia,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,-0.2
91,1999-03-01 04:00:00,Poland,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,0.6
92,1999-03-01 04:00:00,Russia,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,4.2
93,1999-03-01 04:00:00,Norway,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,0.2
95,1999-03-01 04:00:00,Eurozone,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,0.3
97,1999-03-01 04:00:00,Chile,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,0.07
98,1999-03-01 04:00:00,Portugal,CPI (MoM),Portuguese CPI (MoM) (Feb),1999-02-01 00:00:00,0.0
99,1999-03-01 04:00:00,Philippines,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,0.14
100,1999-03-01 04:00:00,Czechia,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,0.0
101,1999-03-01 04:00:00,Colombia,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,1.7
102,1999-03-01 04:00:00,Peru,CPI (MoM),CPI (MoM) (Feb),1999-02-01 00:00:00,0.31
104,1999-04-01 04:00:00,Chile,CPI (MoM),CPI (MoM) (Mar),1999-03-01 00:00:00,0.64
105,1999-04-01 04:00:00,Portugal,CPI (MoM),Portuguese CPI (MoM) (Mar),1999-03-01 00:00:00,0.4
106,1999-04-01 04:00:00,Philippines,CPI (MoM),CPI (MoM) (Mar),1999-03-01 00:00:00,-0.28
107,1999-04-01 04:00:00,Czechia,CPI (MoM),CPI (MoM) (Mar),1999-03-01 00:00:00,0.0
108,1999-04-01 04:00:00,Colombia,CPI (MoM),CPI (MoM) (Mar),1999-03-01 00:00:00,0.94
109,1999-04-01 04:00:00,Peru,CPI (MoM),CPI (MoM) (Mar),1999-03-01 00:00:00,0.61
110,1999-04-01 04:00:00,United Kingdom,CPI (MoM),CPI (MoM) (Mar),1999-03-01 00:00:00,0.5
113,1999-04-01 04:00:00,United States,CPI (MoM),CPI (MoM) (Mar),1999-03-01 00:00:00,0.1
115,1999-04-01 04:00:00,Canada,CPI (MoM),CPI (MoM) (Mar),1999-03-01 00:00:00,0.4
