,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,4.72,1.91,4.29,4.95,3.77,2.56,3.7,5.13,3.8,4.02,5.89,3.88,3.92,6.11,4.04,3.91,3.9,5.01,8.02,5.67,6.33,8.32,12.84,96.34,15.89,6.08,6.55
1999-02-01,5.0,2.12,4.43,5.12,3.93,2.55,3.85,5.3,3.93,4.18,6.03,4.02,4.05,6.26,4.19,4.04,4.04,4.75,7.79,5.83,6.18,8.12,12.84,99.47,14.88,6.22,6.47
1999-03-01,5.23,1.82,4.66,5.22,4.13,2.6,4.04,5.53,4.14,4.44,6.21,4.25,4.27,6.42,4.43,4.26,4.26,4.92,7.81,5.88,6.15,8.17,12.84,98.67,14.54,6.4,6.55
1999-04-01,5.18,1.56,4.59,5.03,3.98,2.53,3.85,5.36,4.0,4.24,6.24,4.09,4.11,6.45,4.22,4.07,4.11,4.69,7.86,5.87,5.99,8.19,13.48,110.55,14.58,6.42,6.43
1999-05-01,5.54,1.33,4.91,5.36,4.16,2.72,4.01,5.88,4.19,4.5,6.44,4.27,4.28,6.69,4.46,4.24,4.29,4.98,8.1,6.0,6.21,8.45,13.48,96.75,15.14,6.67,6.74
1999-06-01,5.9,1.63,5.17,5.58,4.47,2.94,4.36,6.21,4.51,4.87,6.71,4.6,4.62,6.92,4.81,4.58,4.64,5.45,8.26,6.24,6.43,8.64,13.48,64.73,14.93,6.94,6.93
1999-07-01,5.79,1.7,5.37,5.49,4.81,3.04,4.68,6.14,4.82,5.26,6.97,4.91,4.94,7.1,5.12,4.91,4.94,5.81,8.54,6.39,6.58,8.95,14.05,68.36,14.97,7.15,7.09
1999-08-01,5.94,1.88,5.43,5.76,5.01,3.17,4.88,6.34,5.03,5.49,7.09,5.17,5.13,7.24,5.38,5.15,5.18,5.97,8.7,6.55,6.81,9.14,14.05,75.88,15.28,7.29,7.3
1999-09-01,5.92,1.76,5.69,5.72,5.19,3.43,5.04,6.34,5.22,5.69,7.2,5.31,5.28,7.31,5.56,5.32,5.34,6.03,8.82,6.55,6.84,9.24,14.05,83.74,15.35,7.36,7.42
1999-10-01,6.11,1.69,5.88,6.09,5.43,3.62,5.29,6.61,5.45,5.92,7.06,5.56,5.52,7.2,5.76,5.56,5.58,6.27,8.57,6.38,6.92,9.0,12.5,86.87,15.0,7.23,7.56
1999-11-01,6.03,1.82,5.31,6.03,5.15,3.69,5.04,6.56,5.18,5.56,6.83,5.28,5.25,7.0,5.45,5.27,5.3,6.02,8.34,6.33,6.69,8.69,12.5,89.06,14.3,7.1,7.19
1999-12-01,6.28,1.77,5.39,6.14,5.27,3.62,5.15,6.74,5.28,5.59,6.94,5.37,5.36,7.12,5.5,5.36,5.41,6.07,8.29,6.41,6.66,8.66,12.5,78.09,13.96,7.23,7.2
2000-01-01,6.66,1.69,5.82,6.49,5.66,3.78,5.54,7.18,5.67,5.95,5.09,5.76,5.75,5.12,5.87,5.74,5.79,6.36,6.25,6.47,8.67,7.88,12.0,58.57,13.49,7.6,5.91
2000-02-01,6.52,1.8,5.63,6.34,5.62,3.87,5.51,6.96,5.66,5.9,5.04,5.73,5.73,5.04,5.85,5.72,5.79,6.33,6.28,6.76,5.89,7.9,12.0,51.06,13.5,7.49,5.83
2000-03-01,6.26,1.82,5.37,6.03,5.43,4.16,5.33,6.57,5.48,5.51,6.2,5.55,5.58,4.84,5.65,5.5,5.62,6.14,6.31,6.71,7.42,7.78,12.0,40.95,13.92,7.01,7.25
2000-04-01,5.99,1.74,5.32,5.92,5.33,4.08,5.23,6.26,5.38,5.42,5.89,5.45,5.47,5.89,5.57,5.46,5.52,6.09,6.63,7.8,7.43,7.61,11.0,41.12,14.27,6.59,5.49
2000-05-01,6.44,1.7,5.4,6.22,5.5,4.19,5.38,6.47,5.5,5.34,5.98,5.63,5.66,5.98,5.77,5.59,5.69,6.25,7.55,7.99,8.59,8.64,11.0,41.05,14.79,6.77,5.83
2000-06-01,6.1,1.66,5.21,5.9,5.32,4.01,5.19,6.17,5.31,5.13,6.65,5.46,5.51,5.86,5.67,5.39,5.53,6.09,7.42,7.6,8.54,8.4,11.0,37.82,14.33,6.59,6.7
2000-07-01,6.05,1.69,5.24,5.86,5.4,3.98,5.27,6.16,5.4,5.31,5.8,5.53,5.59,5.73,5.76,5.48,5.6,6.22,8.32,7.4,8.34,8.25,10.25,29.44,13.9,6.47,6.57
2000-08-01,5.83,1.75,5.33,5.77,5.36,3.84,5.21,6.23,5.36,5.31,5.75,5.5,5.56,5.7,5.64,5.43,5.56,6.18,8.27,7.32,7.34,8.25,10.25,25.68,13.52,6.43,6.51
2000-09-01,5.8,1.88,5.39,5.73,5.42,3.95,5.26,6.14,5.41,5.26,6.47,5.56,5.63,6.5,5.66,5.49,5.63,6.34,8.17,7.37,7.41,8.25,10.25,23.59,13.72,6.52,6.52
2000-10-01,5.74,1.82,5.22,5.72,5.36,3.93,5.21,6.11,5.35,5.23,6.28,5.49,5.58,6.26,5.57,5.45,5.58,6.37,8.04,7.25,7.97,8.25,9.75,23.8,13.72,6.28,6.38
2000-11-01,5.72,1.76,5.1,5.73,5.29,3.77,5.15,5.99,5.3,5.13,6.24,5.45,5.55,6.26,5.49,5.4,5.52,6.24,7.95,7.15,7.21,7.86,9.75,24.18,13.4,6.23,5.44
2000-12-01,5.24,1.62,4.91,5.4,5.04,3.55,4.89,5.54,5.03,4.92,4.34,5.2,5.3,6.03,5.2,5.14,5.28,6.01,7.67,6.96,6.96,7.18,9.75,24.7,12.88,6.09,4.47
2001-01-01,5.16,1.51,4.85,5.42,4.94,3.5,4.8,5.41,4.93,4.89,5.15,5.08,5.18,5.14,5.09,5.02,5.16,5.95,7.48,5.25,6.76,6.65,9.25,23.29,12.61,5.91,5.25
2001-02-01,5.1,1.42,4.82,5.43,4.93,3.49,4.78,5.32,4.92,4.86,5.09,5.12,5.18,5.1,5.06,5.02,5.16,5.96,7.35,5.22,7.29,6.41,9.25,21.97,11.97,5.77,4.34
2001-03-01,4.89,1.17,4.7,5.3,4.84,3.33,4.67,5.13,4.83,4.75,4.19,5.04,5.13,4.05,4.94,4.94,5.08,6.01,7.24,5.07,6.49,7.0,9.25,22.36,11.79,5.79,4.16
2001-04-01,5.14,1.32,4.95,5.59,5.0,3.53,4.83,5.58,5.02,4.93,4.25,5.18,5.28,4.23,5.14,5.1,5.21,6.22,7.45,4.36,5.82,7.74,9.25,20.96,12.17,10.9,4.42
