,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,49.25,46.93,46.75,50.01,49.91,46.5,49.08,49.89,50.24,48.0,47.9,50.91,49.64,48.6,46.11,48.14,48.5,48.85,49.27,48.1,48.82,53.24,46.63,49.72,47.37,47.22,48.57
1999-02-01,49.55,47.05,47.04,50.14,49.87,48.0,48.9,49.8,50.26,48.6,48.27,50.93,49.62,48.94,46.38,48.3,48.77,48.98,49.23,48.5,48.97,52.79,46.8,50.15,47.3,48.36,48.6
1999-03-01,49.78,47.2,47.58,50.27,49.79,48.7,48.8,49.94,50.24,51.3,48.69,51.09,49.7,49.25,46.64,48.55,49.07,49.08,49.1,48.91,49.17,51.93,47.0,50.68,47.25,49.39,48.72
1999-04-01,49.96,47.35,48.38,50.43,49.87,51.2,48.77,50.18,50.24,53.1,49.14,51.12,49.85,49.56,46.81,48.98,49.55,49.06,48.96,49.3,49.39,50.89,47.34,51.18,47.28,50.19,48.94
1999-05-01,50.17,47.52,49.14,50.66,50.09,51.8,48.81,50.38,50.26,51.7,49.62,51.13,50.2,49.9,47.07,49.21,49.9,49.0,48.91,49.7,49.59,49.99,47.93,51.72,47.38,50.66,49.24
1999-06-01,50.31,47.7,49.29,50.91,50.5,52.7,48.95,50.41,50.34,56.2,49.97,51.12,50.63,50.27,47.45,49.45,50.09,48.97,48.99,50.06,49.79,49.48,48.61,52.07,47.55,51.0,49.47
1999-07-01,50.33,47.9,49.39,51.15,51.14,55.2,49.12,50.34,50.44,54.1,50.21,51.16,50.94,50.61,48.04,49.9,50.29,49.05,49.15,50.34,50.03,49.21,49.22,52.23,47.81,51.19,49.68
1999-08-01,50.48,48.1,49.94,51.35,51.79,55.8,49.32,50.3,50.55,57.0,50.5,51.33,51.14,50.92,48.67,50.41,50.6,49.2,49.3,50.54,50.27,49.01,49.6,52.28,48.12,51.36,49.97
1999-09-01,50.72,48.29,50.5,51.53,52.31,58.4,49.51,50.36,50.77,57.7,50.76,51.69,51.36,51.16,49.1,50.75,51.12,49.35,49.43,50.67,50.47,48.78,49.83,52.29,48.44,51.39,50.27
1999-10-01,50.9,48.46,50.72,51.73,52.59,61.3,49.72,50.49,51.02,59.8,50.88,52.0,51.61,51.28,49.21,51.13,51.62,49.45,49.56,50.74,50.68,48.58,49.98,52.32,48.75,51.2,50.51
1999-11-01,51.0,48.62,50.76,51.96,52.73,61.1,49.94,50.63,51.14,59.0,50.94,52.02,51.86,51.36,49.27,51.51,51.82,49.53,50.54,50.83,50.91,48.52,50.02,52.49,49.04,51.07,50.71
1999-12-01,50.96,48.78,50.77,52.25,52.69,60.5,50.15,50.74,51.14,62.6,51.02,51.86,52.11,51.44,49.38,51.85,51.87,49.63,50.54,50.97,51.12,48.74,50.03,52.55,49.31,51.25,50.92
2000-01-01,50.8,48.96,50.65,52.58,52.74,58.9,50.32,50.81,51.14,61.6,50.61,51.83,52.32,51.09,49.62,52.11,51.9,49.78,50.54,50.56,50.77,49.1,50.07,52.36,49.51,51.58,53.45
2000-02-01,50.61,49.13,50.36,52.97,52.97,61.2,50.48,50.77,51.19,61.7,50.91,52.03,52.47,50.49,49.97,52.39,52.08,49.97,50.54,50.04,50.79,49.44,50.23,52.03,49.65,51.88,51.78
2000-03-01,50.41,49.3,49.99,53.34,53.26,62.0,50.63,50.62,51.27,65.6,50.97,52.25,52.59,50.45,50.33,52.42,52.27,50.16,50.42,50.12,50.79,49.64,50.47,51.84,49.68,51.92,51.47
2000-04-01,50.22,49.44,49.59,53.6,53.51,63.9,50.73,50.42,51.33,62.9,51.23,52.37,52.66,52.78,50.64,52.43,52.35,50.34,50.36,50.25,50.79,49.75,50.79,51.71,49.56,51.77,51.97
2000-05-01,49.99,49.56,49.36,53.64,53.7,64.4,50.81,50.28,51.39,62.4,50.64,52.47,52.7,50.35,51.04,52.6,52.34,50.5,50.44,50.38,50.79,49.83,51.18,51.96,49.39,51.66,51.5
2000-06-01,49.78,49.69,49.26,53.51,53.83,64.7,50.85,50.26,51.46,60.9,51.32,52.53,52.68,50.76,51.29,52.77,52.18,50.65,50.71,50.95,51.47,49.96,51.57,52.3,49.27,51.74,51.61
2000-07-01,49.63,49.81,49.38,53.28,53.83,60.4,50.91,50.23,51.52,59.7,51.18,52.46,52.61,50.88,51.39,52.92,51.87,50.78,50.94,50.87,52.08,50.18,51.8,52.55,49.26,52.07,51.48
2000-08-01,49.41,49.92,49.55,52.93,53.78,61.7,50.97,50.02,51.49,60.5,51.48,52.44,52.49,50.89,51.55,53.04,51.69,50.91,50.78,53.21,52.52,50.56,51.73,52.76,49.29,52.26,51.56
2000-09-01,49.22,50.02,49.89,52.56,53.68,61.9,50.98,49.5,51.46,59.0,51.34,52.31,52.4,50.84,51.68,52.89,51.62,51.04,50.0,51.49,52.64,51.2,51.51,52.91,49.26,52.13,51.38
2000-10-01,48.98,50.06,50.25,52.24,53.5,63.1,50.98,48.84,51.46,58.6,51.46,52.11,52.32,50.81,51.53,52.68,51.42,51.16,49.04,51.5,52.56,51.97,51.3,52.92,49.09,52.08,51.21
2000-11-01,48.6,50.06,50.55,52.01,53.15,60.4,50.91,48.32,51.4,54.5,51.25,52.07,52.24,50.79,51.31,52.4,51.2,51.25,48.53,51.29,52.36,52.75,51.22,52.76,48.87,52.2,51.47
2000-12-01,48.05,49.99,50.82,51.8,52.66,58.6,50.78,48.16,51.26,54.1,51.1,52.08,52.09,50.87,51.09,52.0,51.09,51.22,48.93,51.25,52.08,53.39,51.27,52.34,48.72,52.12,50.64
2001-01-01,47.6,49.8,50.52,51.48,52.3,57.3,50.59,48.23,51.08,52.8,50.9,51.96,51.74,50.44,50.92,51.28,50.87,51.02,49.69,50.82,51.76,53.81,51.39,51.77,48.76,51.61,50.31
2001-02-01,47.44,49.55,49.72,50.94,52.04,54.8,50.29,48.41,50.85,50.8,50.03,51.64,51.33,50.06,50.84,50.12,50.46,50.73,50.09,50.63,51.44,53.86,51.36,51.28,48.9,50.94,49.72
2001-03-01,47.49,49.28,49.02,50.3,51.69,51.4,49.94,48.65,50.63,48.1,49.16,51.29,51.03,49.51,50.63,49.19,49.89,50.47,49.6,50.31,51.14,53.38,51.1,50.66,49.05,50.2,49.26
2001-04-01,47.6,49.01,48.74,49.73,51.32,46.7,49.59,48.93,50.43,49.0,49.13,51.0,50.91,49.58,50.04,48.84,49.33,50.32,48.59,49.72,50.89,52.68,50.73,50.28,49.15,49.09,49.57
2001-05-01,47.71,48.75,48.69,49.36,51.09,47.8,49.34,49.28,50.3,51.6,49.54,50.86,50.9,49.91,49.58,48.85,49.0,50.22,47.61,49.64,50.73,52.17,50.19,50.05,49.2,48.28,49.61
2001-06-01,47.96,48.48,48.8,49.13,50.88,47.0,49.16,49.7,50.23,48.0,48.55,50.73,50.85,49.14,49.35,48.75,48.84,50.13,47.02,49.37,50.63,52.1,49.47,50.13,49.23,47.91,49.56
2001-07-01,48.25,48.21,48.75,48.96,50.52,45.0,49.03,50.08,50.14,53.6,49.61,50.56,50.68,50.27,49.32,48.53,48.6,49.98,46.73,49.34,50.44,52.27,48.7,50.31,49.25,47.45,49.6
2001-08-01,48.46,47.94,48.35,48.83,49.96,44.0,48.79,50.26,50.02,47.6,49.04,50.32,50.32,49.04,49.21,48.37,48.35,49.81,46.58,49.29,49.91,52.42,48.1,50.58,49.28,46.72,49.65
