,ReportDateTime,Country,Indicator,FullName,Period,Value
2,1999-01-01 04:00:00,Sweden,Manufacturing PMI,Manufacturing PMI (Dec),1998-12-01,44.1
3,1999-01-01 04:00:00,Switzerland,Manufacturing PMI,procure.ch PMI (Dec),1998-12-01,51.4
4,1999-01-01 04:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (Dec),1998-12-01,47.7
5,1999-02-01 04:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (Jan),1999-01-01,57.3
8,1999-02-01 04:00:00,Sweden,Manufacturing PMI,Manufacturing PMI (Jan),1999-01-01,48.0
9,1999-02-01 04:00:00,Switzerland,Manufacturing PMI,procure.ch PMI (Jan),1999-01-01,46.5
12,1999-03-01 04:00:00,Sweden,Manufacturing PMI,Manufacturing PMI (Feb),1999-02-01,48.6
13,1999-03-01 04:00:00,Switzerland,Manufacturing PMI,procure.ch PMI (Feb),1999-02-01,48.0
14,1999-03-01 04:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (Feb),1999-02-01,56.7
15,1999-04-01 04:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (Mar),1999-03-01,51.4
18,1999-04-01 04:00:00,Sweden,Manufacturing PMI,Manufacturing PMI (Mar),1999-03-01,51.3
19,1999-04-01 04:00:00,Switzerland,Manufacturing PMI,procure.ch PMI (Mar),1999-03-01,48.7
22,1999-05-01 04:00:00,Sweden,Manufacturing PMI,Manufacturing PMI (Apr),1999-04-01,53.1
23,1999-05-01 04:00:00,Switzerland,Manufacturing PMI,procure.ch PMI (Apr),1999-04-01,51.2
24,1999-05-01 04:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (Apr),1999-04-01,49.5
25,1999-06-01 04:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (May),1999-05-01,50.3
28,1999-06-01 04:00:00,Sweden,Manufacturing PMI,Manufacturing PMI (May),1999-05-01,51.7
29,1999-06-01 04:00:00,Switzerland,Manufacturing PMI,procure.ch PMI (May),1999-05-01,51.8
32,1999-07-01 04:00:00,Sweden,Manufacturing PMI,Manufacturing PMI (Jun),1999-06-01,56.2
33,1999-07-01 04:00:00,Switzerland,Manufacturing PMI,procure.ch PMI (Jun),1999-06-01,52.7
34,1999-07-01 04:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (Jun),1999-06-01,50.2
35,1999-08-01 04:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (Jul),1999-07-01,50.0
38,1999-08-01 04:00:00,Sweden,Manufacturing PMI,Manufacturing PMI (Jul),1999-07-01,54.1
39,1999-08-01 04:00:00,Switzerland,Manufacturing PMI,procure.ch PMI (Jul),1999-07-01,55.2
42,1999-09-01 04:00:00,Sweden,Manufacturing PMI,Manufacturing PMI (Aug),1999-08-01,57.0
43,1999-09-01 04:00:00,Switzerland,Manufacturing PMI,procure.ch PMI (Aug),1999-08-01,55.8
44,1999-09-01 04:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (Aug),1999-08-01,51.1
45,1999-10-01 04:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (Sep),1999-09-01,52.9
48,1999-10-01 04:00:00,Sweden,Manufacturing PMI,Manufacturing PMI (Sep),1999-09-01,57.7
49,1999-10-01 04:00:00,Switzerland,Manufacturing PMI,procure.ch PMI (Sep),1999-09-01,58.4
52,1999-11-01 04:00:00,Sweden,Manufacturing PMI,Manufacturing PMI (Oct),1999-10-01,59.8
53,1999-11-01 04:00:00,Switzerland,Manufacturing PMI,procure.ch PMI (Oct),1999-10-01,61.3
54,1999-11-01 04:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (Oct),1999-10-01,52.4
