,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,99.25,96.93,96.75,100.01,99.91,99.06,99.08,99.89,100.24,98.22,,100.91,99.64,,96.11,98.14,98.5,98.85,,,,103.24,96.63,99.72,97.37,97.22,
1999-02-01,99.55,97.05,97.04,100.14,99.87,99.28,98.9,99.8,100.26,97.85,,100.93,99.62,,96.38,98.3,98.77,98.98,,,,102.79,96.8,100.15,97.3,98.36,
1999-03-01,99.78,97.2,97.58,100.27,99.79,99.33,98.8,99.94,100.24,97.74,,101.09,99.7,,96.64,98.55,99.07,99.08,,,,101.93,97.0,100.68,97.25,99.39,
1999-04-01,99.96,97.35,98.38,100.43,99.87,99.42,98.77,100.18,100.24,97.88,,101.12,99.85,,96.81,98.98,99.55,99.06,,,,100.89,97.34,101.18,97.28,100.19,
1999-05-01,100.17,97.52,99.14,100.66,100.09,99.5,98.81,100.38,100.26,98.31,,101.13,100.2,,97.07,99.21,99.9,99.0,,,,99.99,97.93,101.72,97.38,100.66,
1999-06-01,100.31,97.7,99.29,100.91,100.5,99.58,98.95,100.41,100.34,98.85,,101.12,100.63,,97.45,99.45,100.09,98.97,,,,99.48,98.61,102.07,97.55,101.0,
1999-07-01,100.33,97.9,99.39,101.15,101.14,99.72,99.12,100.34,100.44,99.34,,101.16,100.94,,98.04,99.9,100.29,99.05,,,,99.21,99.22,102.23,97.81,101.19,
1999-08-01,100.48,98.1,99.94,101.35,101.79,99.9,99.32,100.3,100.55,99.7,,101.33,101.14,,98.67,100.41,100.6,99.2,,,,99.01,99.6,102.28,98.12,101.36,
1999-09-01,100.72,98.29,100.5,101.53,102.31,100.14,99.51,100.36,100.77,100.0,,101.69,101.36,,99.1,100.75,101.12,99.35,,,,98.78,99.83,102.29,98.44,101.39,
1999-10-01,100.9,98.46,100.72,101.73,102.59,100.37,99.72,100.49,101.02,100.26,,102.0,101.61,,99.21,101.13,101.62,99.45,,,,98.58,99.98,102.32,98.75,101.2,
1999-11-01,101.0,98.62,100.76,101.96,102.73,100.53,99.94,100.63,101.14,100.46,,102.02,101.86,,99.27,101.51,101.82,99.53,,,,98.52,100.02,102.49,99.04,101.07,
1999-12-01,100.96,98.78,100.77,102.25,102.69,100.69,100.15,100.74,101.14,100.58,,101.86,102.11,,99.38,101.85,101.87,99.63,,,,98.74,100.03,102.55,99.31,101.25,
2000-01-01,100.8,98.96,100.65,102.58,102.74,100.89,100.32,100.81,101.14,100.67,,101.83,102.32,,99.62,102.11,101.9,99.78,,,,99.1,100.07,102.36,99.51,101.58,
2000-02-01,100.61,99.13,100.36,102.97,102.97,101.16,100.48,100.77,101.19,100.83,,102.03,102.47,,99.97,102.39,102.08,99.97,100.54,,,99.44,100.23,102.03,99.65,101.88,
2000-03-01,100.41,99.3,99.99,103.34,103.26,101.44,100.63,100.62,101.27,101.04,,102.25,102.59,,100.33,102.42,102.27,100.16,100.42,,,99.64,100.47,101.84,99.68,101.92,
2000-04-01,100.22,99.44,99.59,103.6,103.51,101.6,100.73,100.42,101.33,101.15,,102.37,102.66,,100.64,102.43,102.35,100.34,100.36,,,99.75,100.79,101.71,99.56,101.77,
2000-05-01,99.99,99.56,99.36,103.64,103.7,101.71,100.81,100.28,101.39,101.22,,102.47,102.7,,101.04,102.6,102.34,100.5,100.44,,100.79,99.83,101.18,101.96,99.39,101.66,
2000-06-01,99.78,99.69,99.26,103.51,103.83,101.81,100.85,100.26,101.46,101.36,,102.53,102.68,,101.29,102.77,102.18,100.65,100.71,,101.47,99.96,101.57,102.3,99.27,101.74,
2000-07-01,99.63,99.81,99.38,103.28,103.83,101.87,100.91,100.23,101.52,101.56,,102.46,102.61,,101.39,102.92,101.87,100.78,100.94,,102.08,100.18,101.8,102.55,99.26,102.07,
2000-08-01,99.41,99.92,99.55,102.93,103.78,101.95,100.97,100.02,101.49,101.64,,102.44,102.49,,101.55,103.04,101.69,100.91,100.78,,102.52,100.56,101.73,102.76,99.29,102.26,
2000-09-01,99.22,100.02,99.89,102.56,103.68,102.09,100.98,99.5,101.46,101.55,,102.31,102.4,,101.68,102.89,101.62,101.04,100.0,,102.64,101.2,101.51,102.91,99.26,102.13,
2000-10-01,98.98,100.06,100.25,102.24,103.5,102.21,100.98,98.84,101.46,101.46,,102.11,102.32,,101.53,102.68,101.42,101.16,99.04,,102.56,101.97,101.3,102.92,99.09,102.08,
2000-11-01,98.6,100.06,100.55,102.01,103.15,102.23,100.91,98.32,101.4,101.17,,102.07,102.24,,101.31,102.4,101.2,101.25,98.53,,102.36,102.75,101.22,102.76,98.87,102.2,
2000-12-01,98.05,99.99,100.82,101.8,102.66,102.07,100.78,98.16,101.26,100.51,,102.08,102.09,,101.09,102.0,101.09,101.22,98.93,,102.08,103.39,101.27,102.34,98.72,102.12,
2001-01-01,97.6,99.8,100.52,101.48,102.3,101.8,100.59,98.23,101.08,99.66,,101.96,101.74,,100.92,101.28,100.87,101.02,99.69,,101.76,103.81,101.39,101.77,98.76,101.61,
2001-02-01,97.44,99.55,99.72,100.94,102.04,101.47,100.29,98.41,100.85,98.93,,101.64,101.33,,100.84,100.12,100.46,100.73,100.09,,101.44,103.86,101.36,101.28,98.9,100.94,
2001-03-01,97.49,99.28,99.02,100.3,101.69,101.16,99.94,98.65,100.63,98.4,,101.29,101.03,,100.63,99.19,99.89,100.47,99.6,,101.14,103.38,101.1,100.66,99.05,100.2,
2001-04-01,97.6,99.01,98.74,99.73,101.32,100.82,99.59,98.93,100.43,97.99,,101.0,100.91,,100.04,98.84,99.33,100.32,98.59,,100.89,102.68,100.73,100.28,99.15,99.09,
2001-05-01,97.71,98.75,98.69,99.36,101.09,100.47,99.34,99.28,100.3,97.69,,100.86,100.9,,99.58,98.85,99.0,100.22,97.61,,100.73,102.17,100.19,100.05,99.2,98.28,
2001-06-01,97.96,98.48,98.8,99.13,100.88,100.21,99.16,99.7,100.23,97.56,,100.73,100.85,,99.35,98.75,98.84,100.13,97.02,,100.63,102.1,99.47,100.13,99.23,97.91,
2001-07-01,98.25,98.21,98.75,98.96,100.52,100.03,99.03,100.08,100.14,97.63,,100.56,100.68,,99.32,98.53,98.6,99.98,96.73,,100.44,102.27,98.7,100.31,99.25,97.45,
2001-08-01,98.46,97.94,98.35,98.83,99.96,99.76,98.79,100.26,100.02,97.77,,100.32,100.32,,99.21,98.37,98.35,99.81,96.58,,99.91,102.42,98.1,100.58,99.28,96.72,
2001-09-01,98.31,97.71,97.94,98.72,99.34,99.24,98.47,100.09,99.83,97.85,,100.1,99.77,,98.88,98.28,98.08,99.7,96.55,,98.85,102.33,97.84,100.83,99.34,95.83,
2001-10-01,97.99,97.54,97.54,98.63,98.84,98.68,98.24,99.8,99.59,97.8,,99.94,99.48,,98.45,98.39,97.9,99.7,96.71,,97.68,102.07,98.11,100.84,99.43,94.98,
2001-11-01,98.13,97.43,97.15,98.59,98.57,98.36,98.2,99.68,99.48,97.8,,99.94,99.59,,98.22,98.63,98.02,99.79,97.31,,96.96,101.7,98.97,100.38,99.57,94.74,
2001-12-01,98.57,97.36,97.02,98.65,98.8,98.42,98.31,99.92,99.51,97.82,,100.08,99.93,,98.33,98.93,98.31,99.93,98.55,,97.16,101.27,99.88,99.71,99.79,95.02,
2002-01-01,99.17,97.35,97.44,98.92,99.27,98.71,98.42,100.34,99.68,97.84,,100.06,100.26,,98.84,99.19,98.63,100.13,100.03,,97.9,100.79,100.4,99.3,100.1,95.91,
2002-02-01,99.81,97.39,97.94,99.47,99.72,99.01,98.61,100.66,99.88,97.96,,100.09,100.66,,99.33,99.24,99.01,100.33,101.25,,98.71,100.25,100.57,98.92,100.46,97.07,
2002-03-01,100.23,97.51,98.35,100.13,100.09,99.12,98.83,100.68,99.95,98.18,,100.19,100.91,,99.67,99.44,99.55,100.45,101.83,,99.29,99.66,100.48,98.63,100.82,98.17,
2002-04-01,100.4,97.75,98.78,100.64,100.38,99.19,98.98,100.5,99.94,98.43,,100.46,100.98,,99.83,99.59,100.0,100.43,102.03,,99.69,99.14,100.31,98.69,101.13,98.83,
2002-05-01,100.41,98.03,99.02,100.82,100.63,99.21,99.08,100.26,99.91,98.75,,100.79,100.95,,99.69,99.38,100.31,100.28,102.21,,100.02,98.88,99.96,99.0,101.39,98.97,
2002-06-01,100.23,98.29,99.38,100.79,100.56,99.21,99.09,100.07,99.9,99.15,,100.89,100.82,,99.47,99.3,100.27,99.99,102.59,,100.34,99.07,99.5,99.42,101.59,98.71,
2002-07-01,99.85,98.46,99.65,100.68,100.31,99.15,99.04,99.94,99.91,99.27,,100.9,100.68,,99.25,99.39,99.96,99.56,103.07,,100.65,99.52,99.11,99.8,101.71,98.47,
2002-08-01,99.57,98.58,99.67,100.59,100.13,99.07,98.97,99.89,99.96,99.28,,100.8,100.6,,99.05,99.54,99.71,99.09,103.46,,100.9,99.97,99.04,100.2,101.78,98.22,
2002-09-01,99.44,98.66,99.5,100.52,100.02,98.93,98.93,99.94,99.89,99.23,,100.6,100.73,,98.95,99.69,99.57,98.74,103.56,,101.03,100.29,99.31,100.43,101.8,98.02,
2002-10-01,99.37,98.73,99.44,100.48,99.94,98.82,98.93,100.05,99.78,99.02,,100.45,100.75,,99.0,99.67,99.43,98.63,103.33,,101.07,100.48,99.83,100.46,101.77,97.91,
2002-11-01,99.45,98.79,99.32,100.47,99.99,98.76,98.93,100.15,99.73,98.88,,100.31,100.74,,99.1,99.67,99.37,98.65,102.68,,101.01,100.53,100.48,100.23,101.72,97.64,
2002-12-01,99.64,98.86,98.95,100.44,100.15,98.69,98.88,100.21,99.66,99.0,,100.31,100.73,,99.17,99.35,99.25,98.67,101.57,,100.81,100.3,100.94,99.83,101.7,97.28,
2003-01-01,99.57,98.93,98.61,100.35,100.1,98.59,98.83,100.24,99.54,99.19,,100.55,100.78,,99.11,98.91,99.09,98.62,100.42,,100.53,99.6,100.97,99.52,101.7,96.82,
