,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,102.14,99.14,101.75,100.96,101.26,101.19,100.61,101.25,100.97,100.06,101.04,103.74,102.67,101.17,99.29,100.87,100.99,99.96,98.67,99.56,99.4,99.29,98.03,90.73,99.04,101.07,100.64
1999-02-01,102.35,99.23,102.1,101.07,101.22,101.02,100.5,101.55,100.89,100.04,100.98,103.61,102.41,101.12,99.37,100.83,101.02,99.97,98.76,99.52,99.53,99.65,97.54,91.17,99.19,101.01,100.69
1999-03-01,102.38,99.26,102.39,101.1,101.1,100.9,100.29,101.57,100.87,100.11,100.82,103.44,101.99,100.98,99.54,100.97,100.95,99.97,98.79,99.42,99.67,100.01,97.06,91.5,99.33,100.82,100.65
1999-04-01,102.38,99.28,102.5,101.08,101.01,100.84,100.06,101.55,100.97,100.28,100.71,103.3,101.66,100.9,99.69,101.23,100.82,100.01,98.85,99.43,99.85,100.41,96.93,91.72,99.46,100.71,100.59
1999-05-01,102.42,99.34,102.51,101.09,101.05,100.86,99.92,101.46,101.1,100.55,100.73,103.28,101.59,100.95,99.87,101.53,100.55,100.09,98.97,99.59,100.05,100.85,97.2,91.87,99.55,100.74,100.58
1999-06-01,102.43,99.42,102.52,101.14,101.25,100.99,99.87,101.27,101.24,100.86,100.88,103.4,101.79,101.16,100.2,101.69,100.21,100.2,99.11,99.86,100.2,101.19,97.79,91.97,99.61,100.91,100.64
1999-07-01,102.38,99.51,102.54,101.2,101.53,101.19,99.92,101.15,101.42,101.07,101.01,103.54,101.9,101.33,100.63,101.64,100.25,100.31,99.19,100.07,100.28,101.45,98.29,92.12,99.63,101.05,100.7
1999-08-01,102.32,99.6,102.61,101.28,101.79,101.42,99.97,101.09,101.67,101.38,101.07,103.64,101.98,101.44,100.98,101.54,100.53,100.46,99.35,100.21,100.36,101.63,98.49,92.45,99.69,101.13,100.77
1999-09-01,102.31,99.7,102.62,101.37,102.0,101.67,100.05,101.17,101.96,101.61,101.11,103.74,102.1,101.5,100.81,101.54,100.94,100.64,99.47,100.3,100.47,101.76,98.49,93.12,99.89,101.21,100.87
1999-10-01,102.29,99.79,102.73,101.52,102.11,101.92,100.18,101.23,102.19,101.67,101.18,103.87,102.33,101.57,100.49,101.66,101.35,100.83,99.55,100.37,100.62,101.82,98.37,93.97,100.3,101.27,101.07
1999-11-01,102.4,99.88,102.86,101.7,102.15,102.16,100.3,101.18,102.23,101.7,101.28,103.85,102.53,101.65,100.22,101.78,101.77,100.98,99.68,100.44,100.78,101.79,98.32,94.87,100.79,101.32,101.27
1999-12-01,102.57,99.97,103.09,101.87,102.09,102.39,100.43,101.02,102.25,101.79,101.46,103.77,102.76,101.79,100.05,101.97,102.09,101.12,99.83,100.52,100.91,101.62,98.43,95.71,101.15,101.37,101.48
2000-01-01,102.8,100.06,103.09,102.07,102.0,102.57,100.55,100.88,102.28,101.92,101.89,103.85,102.97,102.18,99.98,102.13,102.31,101.27,99.93,100.47,100.66,101.36,98.68,96.51,101.2,101.49,101.78
2000-02-01,102.85,100.15,102.82,101.69,101.98,102.67,100.66,100.45,102.27,101.97,101.88,104.0,102.9,101.88,100.04,102.17,102.26,101.42,100.02,100.47,101.29,101.15,98.81,96.77,101.0,100.95,101.44
2000-03-01,102.77,100.25,102.48,101.24,102.09,102.62,100.73,100.06,102.28,102.01,101.02,104.07,102.71,101.66,100.17,101.98,102.14,101.53,100.11,100.41,101.39,100.96,98.62,97.54,100.56,100.85,101.61
2000-04-01,102.75,100.35,102.27,101.4,102.24,102.52,100.79,99.75,102.26,101.96,100.95,103.96,102.54,101.13,100.38,101.75,101.98,101.59,100.2,99.91,100.92,100.8,98.31,98.24,99.89,101.27,101.54
2000-05-01,102.72,100.44,102.2,101.31,102.31,102.43,100.87,99.69,102.2,101.86,100.87,103.76,102.39,101.07,100.55,101.66,101.98,102.15,100.29,99.74,100.29,100.67,98.12,98.74,99.16,101.51,101.58
2000-06-01,102.63,100.53,102.15,101.26,102.35,102.42,100.79,100.02,102.15,101.77,101.52,103.62,102.4,101.12,100.65,101.61,102.07,102.12,100.37,99.66,100.15,100.65,98.14,98.91,98.59,101.48,101.17
2000-07-01,102.59,100.57,102.12,101.26,102.3,102.45,100.78,100.55,102.07,101.7,101.23,103.51,102.49,101.11,100.67,101.51,102.21,102.09,100.45,99.88,99.84,100.58,98.19,98.89,98.35,101.45,101.07
2000-08-01,102.56,100.54,102.1,101.03,102.07,102.44,100.71,100.74,102.06,101.67,101.17,103.3,102.54,101.08,100.71,101.23,102.36,102.06,100.55,99.76,99.67,100.18,98.13,98.84,98.27,101.38,101.11
2000-09-01,102.51,100.43,102.0,101.0,101.89,102.34,100.48,100.4,102.09,101.54,101.15,103.0,102.51,101.46,100.77,100.88,102.42,101.98,100.66,99.57,99.39,99.33,98.18,98.85,98.15,101.33,101.03
2000-10-01,102.4,100.24,102.24,100.91,102.01,102.21,100.35,100.02,102.16,101.4,101.06,102.84,102.65,101.32,100.87,100.74,102.62,101.98,100.75,99.4,99.27,98.56,98.39,98.9,97.89,101.44,101.06
2000-11-01,102.15,99.95,102.48,100.91,102.24,102.1,100.42,99.82,102.08,101.1,101.11,102.89,102.66,101.65,100.69,100.89,102.8,101.8,100.82,99.32,99.18,97.9,98.64,98.96,97.65,101.52,101.11
2000-12-01,101.62,99.64,102.72,100.58,102.52,102.06,100.53,99.89,101.87,100.7,100.87,102.97,102.68,101.63,100.61,101.11,102.77,101.34,100.87,98.99,99.28,97.74,98.96,98.99,97.73,101.54,100.92
2001-01-01,101.1,99.39,102.8,100.49,102.64,102.04,100.62,99.98,101.54,100.29,100.33,103.06,102.65,100.83,100.45,101.12,102.5,101.41,100.91,99.89,99.56,98.09,99.34,99.02,98.33,104.86,100.8
2001-02-01,100.72,99.28,102.83,100.32,102.48,102.0,100.62,99.72,101.19,99.95,100.26,103.04,102.59,100.7,100.21,100.81,102.08,100.97,100.93,99.86,99.8,98.59,99.5,99.1,99.15,104.86,100.79
2001-03-01,100.55,99.21,102.84,100.11,102.16,101.88,100.58,99.25,100.91,99.69,100.19,102.93,102.63,100.82,99.86,100.38,101.83,101.02,100.98,99.57,99.9,99.06,99.35,99.3,99.72,104.86,100.27
2001-04-01,100.52,99.06,102.78,100.26,101.77,101.74,100.42,99.16,100.72,99.49,100.04,102.67,102.81,99.79,99.69,100.13,101.67,100.81,101.05,99.79,99.84,99.48,98.98,99.58,99.71,104.86,100.05
2001-05-01,100.64,98.74,102.79,100.17,101.34,101.6,100.1,99.56,100.6,99.45,99.91,102.49,103.17,99.76,100.02,100.04,101.61,100.55,101.09,99.56,99.96,99.87,98.43,99.92,99.35,104.17,100.08
2001-06-01,100.72,98.35,102.86,99.85,101.06,101.48,99.74,100.17,100.41,99.45,99.73,102.36,103.5,99.67,100.5,99.8,101.58,100.31,101.15,99.67,99.66,100.07,97.8,100.3,98.94,104.07,100.63
2001-07-01,100.64,98.02,102.79,100.17,100.87,101.28,99.5,100.53,100.32,99.28,99.5,102.29,103.64,99.5,100.96,99.43,101.5,100.06,101.19,99.5,99.72,100.04,97.59,100.66,98.66,104.53,99.86
2001-08-01,100.34,97.87,102.49,100.09,100.66,100.87,99.35,100.56,100.27,99.09,99.29,102.34,103.5,99.29,100.87,99.16,101.2,99.57,101.15,99.97,99.54,99.81,97.55,100.94,98.5,104.64,99.97
2001-09-01,99.9,97.84,102.21,99.57,100.54,100.17,99.3,100.43,100.26,98.94,99.75,102.36,103.15,99.29,100.75,99.07,100.73,99.85,101.08,99.75,100.41,99.5,97.51,101.07,98.41,103.86,98.99
2001-10-01,99.75,97.9,101.97,99.47,100.65,99.43,99.22,100.22,100.28,99.08,99.68,102.38,102.78,99.1,100.7,99.14,100.29,99.85,101.01,99.68,100.32,99.57,97.32,101.06,98.38,102.78,98.96
2001-11-01,99.89,98.04,102.13,99.13,100.89,99.01,99.06,100.34,100.5,99.46,99.82,102.25,102.54,99.28,100.84,99.41,100.32,99.65,100.96,99.82,100.43,99.97,97.26,100.92,98.41,101.89,99.66
2001-12-01,100.25,98.23,102.47,99.54,101.11,99.21,98.9,100.77,100.88,100.0,100.07,102.09,102.67,99.57,101.05,99.92,100.81,101.56,100.95,99.78,100.72,100.49,97.44,100.63,98.54,100.76,99.83
2002-01-01,100.6,98.42,102.68,99.94,101.24,99.75,98.76,101.27,101.23,100.69,100.29,101.92,102.87,100.38,101.1,100.48,101.38,101.43,100.95,100.78,101.03,100.97,97.66,100.3,98.8,99.33,99.51
2002-02-01,100.8,98.62,102.79,100.14,101.27,100.26,98.68,101.53,101.26,101.33,100.44,101.82,102.92,100.67,101.01,100.9,101.71,101.56,100.97,100.96,101.23,101.32,97.88,100.09,99.13,98.99,100.57
2002-03-01,100.99,98.78,102.87,100.85,101.26,100.51,98.65,101.58,101.08,101.65,100.56,101.7,102.76,100.82,100.92,101.18,101.83,101.53,100.99,101.88,101.31,101.53,98.06,100.09,99.44,99.4,100.46
2002-04-01,101.04,98.88,102.91,100.82,101.27,100.53,98.6,101.38,100.76,101.6,101.08,101.61,102.44,101.25,100.83,101.29,101.8,101.45,101.0,101.85,101.27,101.57,98.16,100.23,99.68,100.02,100.43
2002-05-01,101.02,98.88,102.82,100.93,101.41,100.41,98.57,101.16,100.44,101.48,100.59,101.49,102.16,101.2,100.7,101.26,101.66,101.25,101.01,101.81,101.02,101.65,98.09,100.41,99.85,100.6,101.09
2002-06-01,100.77,98.8,102.73,100.78,101.37,100.17,98.57,101.01,100.12,101.45,100.52,101.25,101.95,101.09,100.57,101.02,101.41,101.07,101.03,101.04,101.02,101.74,97.92,100.56,99.94,101.03,100.74
2002-07-01,100.43,98.71,102.77,100.38,101.17,99.87,98.63,100.83,99.85,101.45,100.12,101.04,101.8,100.67,100.5,100.71,101.21,100.65,101.05,100.12,100.92,101.66,97.97,100.67,99.91,101.39,100.12
2002-08-01,100.15,98.61,102.92,100.18,100.94,99.53,98.56,100.64,99.63,101.29,99.95,101.0,101.6,100.13,100.5,100.43,101.01,100.49,101.06,99.93,100.75,101.37,98.07,100.75,99.76,101.69,100.13
2002-09-01,99.91,98.51,103.09,100.23,100.81,99.17,98.34,100.51,99.49,101.06,99.74,101.14,101.38,99.69,100.64,100.35,100.89,100.53,101.08,99.69,100.48,100.86,98.28,100.78,99.47,101.84,99.6
2002-10-01,99.73,98.41,102.98,99.96,100.87,98.86,97.84,100.42,99.46,100.82,99.32,101.06,101.23,99.4,100.71,100.3,100.86,100.44,101.12,99.41,100.55,100.22,98.41,100.75,99.02,101.98,99.36
2002-11-01,99.74,98.31,102.65,99.82,100.93,98.7,97.2,100.5,99.42,100.65,99.09,100.75,101.04,99.18,100.69,100.29,100.83,99.98,101.2,99.18,100.48,99.7,98.58,100.61,98.57,102.08,99.11
2002-12-01,99.74,98.23,102.03,99.66,100.84,98.78,96.86,100.6,99.23,100.4,98.97,100.22,100.76,98.61,100.64,100.3,100.63,99.88,101.26,98.97,100.0,99.44,98.75,100.32,98.37,101.63,98.92
2003-01-01,99.56,98.19,101.38,99.27,100.47,98.94,96.84,100.6,98.88,100.16,98.89,99.96,100.6,99.05,100.46,100.25,100.3,99.74,101.25,98.89,99.97,99.26,98.84,100.01,98.63,100.74,98.73
2003-02-01,99.41,98.22,100.98,99.56,99.99,99.03,96.91,100.37,98.64,99.95,98.8,99.96,100.52,98.92,100.15,100.12,100.01,99.61,100.95,98.8,100.13,99.07,98.9,99.83,99.13,99.86,98.57
2003-03-01,99.49,98.32,100.97,99.52,99.64,98.93,97.09,100.36,98.59,99.72,98.68,100.12,100.39,98.95,99.95,100.09,99.96,99.58,100.1,98.68,99.72,98.86,99.01,99.9,99.62,99.37,98.5
2003-04-01,99.92,98.51,101.17,99.68,99.56,98.75,97.36,100.7,98.65,99.68,98.85,100.47,100.37,99.17,100.06,100.09,100.27,99.65,98.72,98.85,99.46,98.88,99.26,100.13,99.88,99.75,98.61
