,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,-2.38,-2.4,-3.0,-2.88,-3.0,-3.0,-2.3,-2.38,-3.0,-2.48,-2.76,-3.0,-1.7,-2.38,-3.0,-5.51,-2.38,-2.88,-4.9,-2.74,-3.4,-1.7,-2.12,-2.12,-3.0,-2.88,-2.88
1999-02-01,-2.61,-2.2,-3.32,-3.18,-3.32,-2.9,-2.5,-2.61,-3.32,-3.57,-3.01,-3.32,-1.9,-2.61,-3.32,-5.71,-2.61,-3.18,-4.9,-3.26,-4.16,-4.4,-2.91,-2.91,-3.32,-3.18,-3.18
1999-03-01,-2.39,-1.9,-3.09,-2.93,-3.09,-2.7,-2.3,-2.39,-3.09,-3.15,-2.77,-3.09,-1.9,-2.39,-3.09,-5.42,-2.39,-2.93,-4.6,-3.08,-3.87,-4.3,-2.71,-2.71,-3.09,-2.93,-2.93
1999-04-01,-2.12,-1.9,-2.58,-2.42,-2.58,-2.7,-1.7,-2.12,-2.58,-2.62,-2.36,-2.58,-1.7,-2.12,-2.58,-4.19,-2.12,-2.42,-3.9,-2.86,-3.34,-4.1,-2.4,-2.4,-2.58,-2.42,-2.42
1999-05-01,-1.77,-1.7,-2.23,-2.11,-2.23,-2.3,-1.7,-1.77,-2.23,-1.65,-1.99,-2.23,-1.5,-1.77,-2.23,-3.99,-1.77,-2.11,-3.4,-2.32,-2.69,-2.7,-1.85,-1.85,-2.23,-2.11,-2.11
1999-06-01,-1.67,-1.8,-2.11,-2.09,-2.11,-1.9,-1.5,-1.67,-2.11,-1.65,-2.01,-2.11,-1.5,-1.67,-2.11,-4.0,-1.67,-2.09,-3.6,-2.4,-2.85,-3.2,-1.93,-1.93,-2.11,-2.09,-2.09
1999-07-01,-1.32,-1.4,-1.61,-1.57,-1.61,-1.6,-1.0,-1.32,-1.61,-1.1,-1.5,-1.61,-1.5,-1.32,-1.61,-2.83,-1.32,-1.57,-2.5,-1.98,-2.15,-2.9,-1.58,-1.58,-1.61,-1.57,-1.57
1999-08-01,-0.67,-1.2,-0.82,-0.86,-0.82,-1.0,-0.7,-0.67,-0.82,-0.44,-0.93,-0.82,0.0,-0.67,-0.82,-1.97,-0.67,-0.86,-2.3,-1.22,-1.5,-1.6,-0.79,-0.79,-0.82,-0.86,-0.86
1999-09-01,-0.42,-1.2,-0.54,-0.72,-0.54,-0.3,-0.5,-0.42,-0.54,-0.11,-0.78,-0.54,0.0,-0.42,-0.54,-1.78,-0.42,-0.72,-2.1,-0.96,-1.28,-1.2,-0.6,-0.6,-0.54,-0.72,-0.72
1999-10-01,0.33,-0.6,0.39,0.23,0.39,0.2,0.2,0.33,0.39,0.33,0.15,0.39,1.5,0.33,0.39,-0.3,0.33,0.23,-0.7,0.04,-0.29,-0.2,0.25,0.25,0.39,0.23,0.23
1999-11-01,0.82,-0.4,1.26,1.06,1.26,0.6,0.7,0.82,1.26,0.99,0.5,1.26,2.2,0.82,1.26,1.82,0.82,1.06,-1.0,0.4,0.4,0.6,0.82,0.82,1.26,1.06,1.06
1999-12-01,1.35,-0.4,2.1,1.72,2.1,1.5,1.1,1.35,2.1,1.76,0.89,2.1,2.8,1.35,2.1,3.36,1.35,1.72,-0.8,0.8,0.96,0.9,1.23,1.23,2.1,1.72,1.72
2000-01-01,2.0,0.4,2.84,2.56,2.84,1.8,2.0,2.0,2.84,2.99,2.0,2.84,2.8,2.0,2.84,4.6,2.84,2.36,0.0,1.62,2.7,3.1,2.32,2.54,2.36,2.0,2.56
2000-02-01,3.12,0.5,4.39,3.95,4.39,2.7,2.1,3.12,4.39,4.38,3.12,4.39,5.9,3.12,4.39,6.87,4.39,3.95,1.0,2.96,3.73,3.0,3.61,3.28,3.81,3.12,3.95
2000-03-01,3.24,0.5,4.64,3.42,4.64,2.9,2.3,3.24,4.64,3.92,3.04,4.64,6.6,3.24,4.64,7.47,3.24,4.16,1.9,3.02,3.4,3.2,4.16,4.7,3.42,4.16,4.16
2000-04-01,3.1,0.6,3.1,3.26,4.4,2.8,2.1,3.1,4.4,3.7,3.1,3.1,6.3,3.96,4.4,7.11,3.1,3.96,2.6,3.12,3.58,2.4,3.96,3.42,4.02,3.96,3.96
2000-05-01,3.34,0.3,4.64,3.3,4.64,3.0,2.5,4.1,3.34,3.92,4.1,4.64,7.0,4.1,4.64,6.8,3.34,4.64,2.5,3.08,3.04,1.7,4.1,4.38,3.94,4.1,4.1
2000-06-01,3.48,0.4,4.87,4.37,4.87,2.9,2.7,4.37,4.87,4.02,4.37,4.87,7.4,4.37,4.87,7.32,3.48,4.87,3.0,3.48,3.41,2.6,4.37,4.89,4.81,4.37,4.37
2000-07-01,3.34,0.1,4.65,4.13,4.65,2.7,3.1,4.13,4.65,3.79,3.38,4.65,7.0,4.13,4.65,6.64,3.34,4.65,4.5,3.59,3.31,2.9,4.13,4.69,4.69,4.13,4.13
2000-08-01,3.28,0.0,4.44,3.96,4.44,2.4,3.2,4.4,4.44,3.88,3.24,4.44,6.9,3.96,4.44,5.82,3.28,4.44,3.9,3.16,3.02,2.2,3.96,4.74,4.4,3.96,3.96
2000-09-01,3.58,-0.2,5.0,4.4,5.0,2.8,4.0,4.86,5.0,4.09,3.44,5.0,7.2,4.4,5.0,6.93,3.58,5.0,3.7,3.32,3.32,2.1,4.4,4.16,4.86,4.4,4.4
2000-10-01,3.5,-0.7,5.03,4.37,5.03,2.6,4.1,4.69,5.03,4.62,3.16,5.03,6.9,4.37,5.03,6.91,3.5,3.0,3.6,3.07,3.07,0.9,4.37,4.48,4.69,4.37,4.37
2000-11-01,3.56,-0.9,4.95,4.17,4.95,3.0,4.5,4.41,4.95,4.69,3.02,4.95,6.5,4.17,4.95,6.06,3.56,3.0,3.5,2.73,2.73,0.3,4.17,3.81,4.41,4.17,4.17
2000-12-01,2.92,-0.9,2.92,2.32,3.38,2.2,3.8,3.68,4.0,3.58,2.6,4.0,5.9,3.38,4.0,4.53,2.92,3.0,2.8,2.12,2.12,0.6,3.38,3.06,3.68,3.38,3.38
2001-01-01,2.16,-1.8,2.16,1.74,2.58,1.4,4.3,2.5,2.16,2.8,1.86,3.22,4.1,1.86,3.22,3.52,2.16,3.0,1.4,1.32,1.46,-0.1,1.74,2.38,2.92,2.92,1.74
2001-02-01,1.98,-1.8,1.98,1.06,2.34,0.8,4.6,2.16,1.98,2.58,1.8,2.34,3.7,1.8,2.34,0.0,1.98,4.1,0.9,1.06,0.72,-0.1,1.06,1.6,2.16,2.16,1.06
2001-03-01,1.86,-1.9,1.86,0.91,1.99,0.5,4.7,1.99,1.99,2.8,1.8,1.99,3.2,1.8,1.99,-1.24,1.99,1.0,0.2,1.2,0.39,0.2,1.8,1.33,1.93,0.91,0.91
2001-04-01,2.11,-2.0,2.11,1.15,2.25,0.9,4.8,2.25,2.25,3.57,2.07,2.25,3.3,2.07,2.25,-1.33,2.25,8.4,-0.1,1.15,0.17,0.7,1.15,1.53,2.25,2.21,0.17
2001-05-01,1.3,-2.0,1.7,1.01,1.89,0.4,4.6,1.89,1.89,2.69,1.3,1.89,2.8,1.3,1.89,-1.04,2.26,5.1,-0.2,1.01,0.05,0.8,1.01,1.37,1.89,1.49,0.43
2001-06-01,1.1,-2.2,1.54,0.68,1.64,0.4,4.4,1.54,1.64,2.69,1.1,1.64,2.4,1.1,1.64,-1.7,1.54,4.4,-0.6,0.9,-0.32,0.2,1.1,1.0,1.44,1.1,0.02
2001-07-01,0.7,-2.4,1.04,0.13,0.99,0.2,3.1,0.99,0.99,2.58,0.7,0.99,1.7,0.7,0.99,-2.64,0.99,-1.3,-1.3,0.13,-0.75,0.0,0.7,0.35,0.99,0.65,-0.65
2001-08-01,0.28,-2.6,0.66,-0.21,0.65,-0.2,2.8,0.65,0.65,1.92,0.28,0.65,1.4,0.28,0.65,-2.65,0.65,-2.4,-2.0,-0.21,-1.17,-0.5,0.28,-0.09,0.65,0.28,-0.99
2001-09-01,-0.2,-2.6,0.1,-0.81,-0.17,-0.9,2.0,0.1,0.1,1.59,-0.2,-0.17,0.4,0.06,-0.17,-3.95,-0.17,-7.9,-2.9,0.06,-0.0,-1.1,0.06,-0.87,-0.17,-0.2,-0.84
2001-10-01,-0.79,-2.7,-0.53,-1.48,-0.96,-1.4,0.7,-0.53,-0.53,0.95,-0.79,-0.96,-0.2,-0.55,-0.96,-4.87,-0.96,-15.1,-3.1,-0.55,-1.36,-1.5,-0.79,-1.56,-0.96,-0.55,-1.36
2001-11-01,-1.36,-2.6,-1.12,-2.16,-1.12,-2.0,0.0,-1.12,-1.8,-0.42,-1.36,-1.8,-0.6,-1.36,-1.8,-5.99,-1.8,-18.6,-3.7,-1.7,-1.74,-1.8,-1.08,-2.38,-1.8,-1.36,-1.74
2001-12-01,-1.46,-2.7,-1.06,-1.18,-1.63,-1.9,0.1,-1.06,-1.63,-0.31,-1.18,-1.63,-0.5,-1.18,-1.63,-5.56,-1.63,-11.7,-4.0,-1.18,-1.92,-2.5,-1.18,-2.45,-1.63,-1.18,-1.92
2002-01-01,-1.34,-2.6,-0.96,-1.2,-1.48,-1.4,-0.2,-0.96,-1.48,0.1,-1.2,-1.48,-0.7,-1.2,-1.48,-5.19,-1.48,-6.4,-4.2,-1.2,-2.06,-2.6,-1.2,-2.42,-1.48,-1.2,-2.06
2002-02-01,-1.18,-2.6,-1.1,-1.18,-1.1,-1.5,-0.5,-1.1,-1.33,-0.1,-1.18,-1.33,-0.8,-1.18,-1.33,-3.74,-1.33,-8.9,-4.2,-1.18,-2.0,-1.9,-1.18,-2.09,-1.33,-1.18,-2.0
2002-03-01,-1.1,-2.4,-0.9,-0.96,-0.9,-1.3,-0.2,-0.74,-1.04,0.0,-0.96,-0.9,-0.6,-0.96,-1.04,-3.09,-1.04,-2.0,-4.0,-0.96,-1.76,-1.6,-0.96,-1.64,-1.04,-0.96,-1.76
2002-04-01,-1.29,-2.4,-1.25,-1.11,-1.25,-1.5,-1.1,-1.11,-1.4,-0.63,-1.6,-1.25,-0.6,-1.11,-1.4,-3.17,-1.4,-1.9,-3.1,-1.11,-1.6,-0.8,-0.93,-1.25,-1.4,-1.11,-1.6
2002-05-01,-0.92,-2.2,-1.14,-0.92,-1.14,-1.4,-1.3,-0.92,-0.76,-0.1,-1.42,-1.14,-0.7,-0.92,-1.53,-4.13,-1.22,-7.8,-2.6,-0.92,-1.42,-0.3,-0.92,-1.0,-0.76,-0.92,-0.92
2002-06-01,-1.06,-2.1,-1.3,-1.06,-1.65,-1.7,-1.4,-1.06,-1.65,-0.52,-1.46,-1.65,-0.8,-1.06,-1.65,-3.85,-1.65,-12.4,-2.5,-1.06,-1.14,-0.5,-0.98,-1.14,-0.98,-1.06,-1.06
2002-07-01,-1.25,-2.1,-1.19,-1.19,-1.5,-1.6,-1.1,-1.01,-1.5,-0.73,-1.32,-1.5,-0.4,-1.01,-1.5,-3.68,-1.5,-6.9,-2.3,-1.01,-1.32,-0.7,-1.01,-1.05,-1.5,-1.01,-1.01
2002-08-01,-0.9,-2.0,-0.86,-0.86,-1.16,-1.4,-1.1,-0.6,-1.16,0.1,-0.96,-1.16,0.1,-0.6,-1.16,-3.51,-1.16,-5.7,-1.7,-0.9,-0.96,-0.1,-0.6,-0.54,-1.2,-0.6,-0.96
2002-09-01,-0.86,-2.0,-1.01,-0.86,-1.01,-1.2,-1.1,-0.86,-1.01,-0.42,-0.9,-1.01,0.4,-0.7,-1.01,-2.74,-1.01,-2.4,-1.4,-0.86,-1.23,0.4,-0.54,-1.05,-1.21,-0.38,-1.06
2002-10-01,-0.3,-1.6,-0.54,-0.77,-0.54,-0.6,0.1,-0.3,-0.54,-0.42,-0.38,-0.54,0.8,-0.3,-0.54,-2.56,-0.54,5.2,-1.0,-0.3,-0.92,1.0,-0.02,-0.58,-0.65,-0.3,-0.42
