,ReportDateTime,Country,Indicator,FullName,Period,Value
1,1999-01-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Dec),1998-12-01 00:00:00,-1.73
2,1999-01-01 04:00:00,Italy,PPI (YoY),Italian PPI (YoY) (Dec),1998-12-01 00:00:00,-1.4
3,1999-01-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Dec),1998-12-01 00:00:00,3.6
4,1999-01-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Dec),1998-12-01 00:00:00,-3.1
5,1999-01-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Dec),1998-12-01 00:00:00,-2.0
6,1999-01-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Dec),1998-12-01 00:00:00,-2.2
7,1999-01-01 04:00:00,China,PPI (YoY),PPI (YoY) (Dec),1998-12-01 00:00:00,-5.4
8,1999-01-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Dec),1998-12-01 00:00:00,4.8
9,1999-01-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Dec),1998-12-01 00:00:00,54.26
10,1999-01-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Dec),1998-12-01 00:00:00,-1.8
11,1999-01-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Dec),1998-12-01 00:00:00,2.2
12,1999-01-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Dec),1998-12-01 00:00:00,-5.57
13,1999-02-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Jan),1999-01-01 00:00:00,0.8
14,1999-02-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Jan),1999-01-01 00:00:00,-5.51
16,1999-02-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Jan),1999-01-01 00:00:00,-2.48
17,1999-02-01 04:00:00,Italy,PPI (YoY),Italian PPI (YoY) (Jan),1999-01-01 00:00:00,-1.7
18,1999-02-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Jan),1999-01-01 00:00:00,-1.7
19,1999-02-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Jan),1999-01-01 00:00:00,-3.0
20,1999-02-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Jan),1999-01-01 00:00:00,-2.3
21,1999-02-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Jan),1999-01-01 00:00:00,-2.4
22,1999-02-01 04:00:00,China,PPI (YoY),PPI (YoY) (Jan),1999-01-01 00:00:00,-4.9
23,1999-02-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Jan),1999-01-01 00:00:00,3.9
24,1999-02-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Jan),1999-01-01 00:00:00,49.99
25,1999-02-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Jan),1999-01-01 00:00:00,-2.1
27,1999-03-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Feb),1999-02-01 00:00:00,-3.57
28,1999-03-01 04:00:00,Italy,PPI (YoY),Italian PPI (YoY) (Feb),1999-02-01 00:00:00,-1.9
29,1999-03-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Feb),1999-02-01 00:00:00,-4.4
30,1999-03-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Feb),1999-02-01 00:00:00,-2.9
31,1999-03-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Feb),1999-02-01 00:00:00,-2.5
32,1999-03-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Feb),1999-02-01 00:00:00,-2.2
33,1999-03-01 04:00:00,China,PPI (YoY),PPI (YoY) (Feb),1999-02-01 00:00:00,-4.9
