,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,-7.12,-0.6,0.8,-4.58,-2.0,-3.62,-2.3,-7.0,0.0,4.2,-20.8,-3.62,-3.62,-12.7,0.42,-3.62,0.42,-3.9,5.9,-5.64,-2.26,-5.64,-7.12,-3.62,-7.0,-7.12,-3.74
1999-02-01,1.98,1.8,0.6,0.64,4.24,1.28,0.9,2.42,4.0,5.0,-4.1,1.28,1.28,10.7,2.46,1.28,2.46,1.52,10.6,4.6,3.46,4.6,1.98,1.28,2.42,1.98,0.84
1999-03-01,2.62,1.8,1.2,0.94,8.68,2.08,4.9,4.4,10.71,7.5,-13.9,2.08,2.08,19.1,5.22,2.08,5.22,2.2,5.8,4.7,2.38,4.7,2.62,2.08,4.4,2.62,0.3
1999-04-01,-3.48,-2.3,0.9,-1.58,0.4,-0.66,-2.7,-1.92,5.49,2.3,-9.3,-0.66,-0.66,-4.0,0.74,-0.66,0.74,-1.3,5.7,-0.88,0.38,-0.88,-3.48,-0.66,-1.92,-3.48,-2.22
1999-05-01,-0.18,-3.5,2.1,-1.89,3.67,-0.01,-2.3,0.93,2.06,5.9,-7.8,-0.01,-0.01,10.6,0.85,-0.01,0.85,-1.13,5.3,1.33,0.39,1.33,-0.18,-0.01,0.93,-0.18,-1.12
1999-06-01,3.78,-2.2,2.9,0.9,8.12,2.46,2.5,5.74,7.61,5.6,-6.3,2.46,2.46,22.0,3.28,2.46,3.28,1.44,5.4,5.3,2.02,5.3,3.78,2.46,5.74,3.78,0.5
1999-07-01,0.62,-2.6,2.2,-0.87,4.95,0.87,-1.5,2.19,5.26,6.1,-7.7,0.87,0.87,12.7,1.89,0.87,1.89,-0.09,5.6,2.65,1.33,2.65,0.62,0.87,2.19,0.62,-0.7
1999-08-01,3.74,-1.7,2.0,-0.87,7.31,0.71,0.6,4.55,2.33,6.2,-7.6,0.71,0.71,25.4,1.89,0.71,1.89,-0.03,6.0,4.89,1.05,4.89,3.74,0.71,4.55,3.74,-0.1
1999-09-01,5.14,-1.9,2.0,-1.1,8.36,0.16,-2.4,6.18,3.3,4.4,-6.5,0.16,0.16,34.5,1.08,0.16,1.08,-0.62,6.6,7.2,1.18,7.2,5.14,0.16,6.18,5.14,-0.88
1999-10-01,5.44,-0.4,3.3,-0.6,7.6,0.58,-1.0,5.52,0.0,5.5,-4.9,0.58,0.58,30.2,1.48,0.58,1.48,-0.16,8.2,6.62,1.68,6.62,5.44,0.58,5.52,5.44,0.5
1999-11-01,4.16,-3.0,3.5,0.98,7.76,2.72,0.5,6.08,6.59,5.7,-2.7,2.72,2.72,22.5,2.66,2.72,2.66,1.42,7.8,6.24,2.88,6.24,4.16,2.72,6.08,4.16,0.8
1999-12-01,3.58,-1.4,4.9,1.87,7.31,3.85,0.1,5.31,7.27,8.5,-1.5,3.85,3.85,15.8,3.87,3.85,3.87,2.59,8.0,5.63,4.17,5.63,3.58,3.85,5.31,3.58,2.12
2000-01-01,11.32,-1.7,5.8,2.54,2.54,5.4,-1.6,4.56,2.51,7.7,12.6,5.4,5.4,41.5,2.54,5.4,5.4,2.54,11.3,13.24,6.48,13.24,11.32,5.4,2.54,12.16,5.4
2000-02-01,4.0,0.1,4.2,5.43,5.43,5.49,5.0,4.07,10.66,7.2,0.4,5.49,5.49,10.3,7.51,5.49,5.49,5.43,10.5,5.7,5.77,6.39,4.0,5.49,5.49,6.11,4.67
2000-03-01,6.34,-3.3,4.2,2.01,4.49,4.49,-4.0,2.01,5.94,7.2,9.1,4.49,4.49,25.7,7.81,4.49,2.01,2.01,9.3,9.0,5.65,9.35,2.39,4.49,4.63,4.49,4.49
2000-04-01,9.32,-3.3,6.4,3.58,5.9,5.9,2.9,3.58,3.08,8.8,8.3,5.9,5.9,25.9,9.42,9.42,3.58,3.58,9.1,9.28,4.12,9.76,8.04,6.06,4.66,9.32,3.48
2000-05-01,9.11,-2.3,3.4,5.14,6.73,10.53,9.7,5.49,5.64,11.0,3.9,6.73,6.73,22.9,10.53,10.53,5.49,5.49,11.5,9.4,5.59,9.4,7.52,8.25,5.14,9.11,4.07
2000-06-01,6.02,-0.9,2.9,2.76,2.76,2.76,-1.7,6.84,3.49,6.6,2.5,2.76,2.76,22.9,6.84,6.84,2.08,2.08,8.9,8.0,3.28,8.0,6.02,4.04,6.64,6.02,1.26
2000-07-01,5.43,-0.4,2.7,1.11,1.11,6.83,-2.8,1.11,-1.15,6.9,-0.1,1.11,1.11,28.5,6.83,6.83,1.05,1.05,9.1,7.52,0.49,8.8,7.04,2.95,7.04,5.43,1.11
2000-08-01,7.22,-0.9,3.8,5.28,5.28,5.28,4.8,8.26,10.4,6.3,1.1,5.28,5.28,16.0,8.26,8.26,4.88,4.88,9.3,6.36,4.34,6.36,5.28,6.92,6.4,7.22,7.72
2000-09-01,7.68,-1.2,3.9,5.72,5.72,5.72,3.0,8.12,9.11,7.4,5.2,8.12,5.72,17.2,8.12,8.12,4.44,4.44,9.6,7.64,6.02,7.64,5.72,6.6,5.82,7.68,8.38
2000-10-01,3.0,-2.1,3.7,1.96,1.96,4.2,-1.3,3.52,1.99,4.0,1.4,4.0,2.63,9.2,2.0,3.52,1.26,1.26,10.4,4.58,3.14,4.58,1.88,3.64,1.96,3.0,1.84
2000-11-01,6.43,-0.8,3.3,3.47,3.47,4.2,0.6,3.47,8.14,4.9,0.4,4.0,2.63,19.7,2.0,7.33,3.23,3.23,8.7,5.5,4.27,6.58,1.88,3.58,3.47,6.43,5.61
2000-12-01,4.78,-0.8,2.7,1.38,1.38,4.2,-1.6,1.38,1.22,3.7,0.9,4.0,2.63,20.7,2.0,5.34,1.04,1.04,8.8,6.16,2.2,6.66,1.88,6.86,2.9,4.78,4.08
2001-01-01,4.91,1.4,2.4,4.69,4.69,4.2,6.2,4.69,8.14,5.1,1.6,4.0,2.63,6.2,2.0,5.61,4.65,4.65,12.5,3.95,5.36,5.36,1.88,6.48,5.56,4.91,3.95
2001-02-01,4.34,-0.5,4.5,0.7,6.04,-1.3,-4.4,0.7,3.32,4.3,-4.2,4.7,3.64,22.5,-4.2,6.04,1.44,1.44,8.6,3.34,4.4,6.14,-5.02,7.1,1.76,4.34,5.12
2001-03-01,7.5,1.7,4.5,3.88,3.88,3.9,1.5,3.88,8.19,3.3,1.9,4.0,3.34,21.4,2.1,7.78,3.88,3.84,9.5,5.96,3.58,7.56,2.5,4.14,5.4,7.86,6.56
2001-04-01,2.53,-1.2,3.0,1.81,1.81,-1.2,0.1,1.81,3.43,2.7,-0.2,2.3,2.65,6.3,-0.4,3.11,1.81,1.61,9.7,1.54,3.46,3.46,-1.96,3.72,1.81,2.47,3.46
2001-05-01,3.18,-1.3,6.3,3.42,3.42,0.0,-1.9,3.42,8.32,0.7,3.7,2.7,2.17,7.1,-1.2,4.1,3.42,3.42,11.1,1.66,4.26,4.26,-2.23,4.14,3.42,3.58,5.38
2001-06-01,2.88,-2.1,6.0,4.69,4.69,7.3,2.2,4.69,7.56,4.2,3.5,4.6,3.24,-1.5,2.3,4.69,4.69,3.57,10.0,1.26,2.82,2.82,-1.26,3.68,4.69,3.19,3.18
2001-07-01,1.16,-2.6,7.2,2.73,2.73,1.1,0.8,2.73,3.65,2.9,-0.9,2.8,1.62,-4.2,-1.4,2.07,2.73,2.39,9.8,-0.8,1.0,1.0,-4.17,1.68,2.73,0.45,1.86
