,ReportDateTime,Country,Indicator,FullName,Period,Value
1,1999-01-01 04:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (Dec),1998-12-01 00:00:00,-0.3
2,1999-01-01 04:00:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (Dec),1998-12-01 00:00:00,3.7
3,1999-01-01 04:00:00,Germany,Retail Sales (YoY),German Retail Sales (YoY) (Dec),1998-12-01 00:00:00,2.1
4,1999-01-01 04:00:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (Dec),1998-12-01 00:00:00,7.84
5,1999-01-01 04:00:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (Dec),1998-12-01 00:00:00,0.7
6,1999-01-01 04:00:00,Singapore,Retail Sales (YoY),Retail Sales (YoY) (Dec),1998-12-01 00:00:00,4.6
7,1999-01-01 04:00:00,China,Retail Sales (YoY),Retail Sales (YoY) (Dec),1998-12-01 00:00:00,8.7
8,1999-01-01 04:00:00,Hong Kong,Retail Sales (YoY),Retail Sales (YoY) (Dec),1998-12-01 00:00:00,-16.9
9,1999-01-01 04:00:00,Poland,Retail Sales (YoY),Retail Sales (YoY) (Dec),1998-12-01 00:00:00,15.9
10,1999-01-01 04:00:00,Hungary,Retail Sales (YoY),Retail Sales (YoY) (Dec),1998-12-01 00:00:00,17.1
11,1999-02-01 04:00:00,Hungary,Retail Sales (YoY),Retail Sales (YoY) (Jan),1999-01-01 00:00:00,2.3
13,1999-02-01 04:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (Jan),1999-01-01 00:00:00,0.8
14,1999-02-01 04:00:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (Jan),1999-01-01 00:00:00,4.2
15,1999-02-01 04:00:00,Germany,Retail Sales (YoY),German Retail Sales (YoY) (Jan),1999-01-01 00:00:00,-2.3
16,1999-02-01 04:00:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (Jan),1999-01-01 00:00:00,0.0
17,1999-02-01 04:00:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (Jan),1999-01-01 00:00:00,-0.6
18,1999-02-01 04:00:00,Singapore,Retail Sales (YoY),Retail Sales (YoY) (Jan),1999-01-01 00:00:00,-12.7
19,1999-02-01 04:00:00,China,Retail Sales (YoY),Retail Sales (YoY) (Jan),1999-01-01 00:00:00,5.9
20,1999-02-01 04:00:00,Hong Kong,Retail Sales (YoY),Retail Sales (YoY) (Jan),1999-01-01 00:00:00,-20.8
21,1999-02-01 04:00:00,Poland,Retail Sales (YoY),Retail Sales (YoY) (Jan),1999-01-01 00:00:00,7.9
23,1999-03-01 04:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (Feb),1999-02-01 00:00:00,0.6
24,1999-03-01 04:00:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (Feb),1999-02-01 00:00:00,5.0
25,1999-03-01 04:00:00,Germany,Retail Sales (YoY),German Retail Sales (YoY) (Feb),1999-02-01 00:00:00,0.9
26,1999-03-01 04:00:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (Feb),1999-02-01 00:00:00,4.0
27,1999-03-01 04:00:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (Feb),1999-02-01 00:00:00,1.8
28,1999-03-01 04:00:00,Singapore,Retail Sales (YoY),Retail Sales (YoY) (Feb),1999-02-01 00:00:00,10.7
29,1999-03-01 04:00:00,China,Retail Sales (YoY),Retail Sales (YoY) (Feb),1999-02-01 00:00:00,10.6
30,1999-03-01 04:00:00,Hong Kong,Retail Sales (YoY),Retail Sales (YoY) (Feb),1999-02-01 00:00:00,-4.1
31,1999-03-01 04:00:00,Poland,Retail Sales (YoY),Retail Sales (YoY) (Feb),1999-02-01 00:00:00,12.5
32,1999-03-01 04:00:00,Hungary,Retail Sales (YoY),Retail Sales (YoY) (Feb),1999-02-01 00:00:00,0.5
33,1999-04-01 04:00:00,Hungary,Retail Sales (YoY),Retail Sales (YoY) (Mar),1999-03-01 00:00:00,10.3
35,1999-04-01 04:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (Mar),1999-03-01 00:00:00,1.2
36,1999-04-01 04:00:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (Mar),1999-03-01 00:00:00,7.5
37,1999-04-01 04:00:00,Germany,Retail Sales (YoY),German Retail Sales (YoY) (Mar),1999-03-01 00:00:00,4.9
38,1999-04-01 04:00:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (Mar),1999-03-01 00:00:00,10.71
39,1999-04-01 04:00:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (Mar),1999-03-01 00:00:00,1.8
40,1999-04-01 04:00:00,Singapore,Retail Sales (YoY),Retail Sales (YoY) (Mar),1999-03-01 00:00:00,19.1
41,1999-04-01 04:00:00,China,Retail Sales (YoY),Retail Sales (YoY) (Mar),1999-03-01 00:00:00,5.8
42,1999-04-01 04:00:00,Hong Kong,Retail Sales (YoY),Retail Sales (YoY) (Mar),1999-03-01 00:00:00,-13.9
43,1999-04-01 04:00:00,Poland,Retail Sales (YoY),Retail Sales (YoY) (Mar),1999-03-01 00:00:00,25.6
45,1999-05-01 04:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (Apr),1999-04-01 00:00:00,0.9
46,1999-05-01 04:00:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (Apr),1999-04-01 00:00:00,2.3
47,1999-05-01 04:00:00,Germany,Retail Sales (YoY),German Retail Sales (YoY) (Apr),1999-04-01 00:00:00,-2.7
48,1999-05-01 04:00:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (Apr),1999-04-01 00:00:00,5.49
49,1999-05-01 04:00:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (Apr),1999-04-01 00:00:00,-2.3
50,1999-05-01 04:00:00,Singapore,Retail Sales (YoY),Retail Sales (YoY) (Apr),1999-04-01 00:00:00,-4.0
51,1999-05-01 04:00:00,China,Retail Sales (YoY),Retail Sales (YoY) (Apr),1999-04-01 00:00:00,5.7
52,1999-05-01 04:00:00,Hong Kong,Retail Sales (YoY),Retail Sales (YoY) (Apr),1999-04-01 00:00:00,-9.3
53,1999-05-01 04:00:00,Poland,Retail Sales (YoY),Retail Sales (YoY) (Apr),1999-04-01 00:00:00,16.3
54,1999-05-01 04:00:00,Hungary,Retail Sales (YoY),Retail Sales (YoY) (Apr),1999-04-01 00:00:00,4.8
55,1999-06-01 04:00:00,Hungary,Retail Sales (YoY),Retail Sales (YoY) (May),1999-05-01 00:00:00,4.1
57,1999-06-01 04:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (May),1999-05-01 00:00:00,2.1
58,1999-06-01 04:00:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (May),1999-05-01 00:00:00,5.9
59,1999-06-01 04:00:00,Germany,Retail Sales (YoY),German Retail Sales (YoY) (May),1999-05-01 00:00:00,-2.3
60,1999-06-01 04:00:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (May),1999-05-01 00:00:00,2.06
61,1999-06-01 04:00:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (May),1999-05-01 00:00:00,-3.5
62,1999-06-01 04:00:00,Singapore,Retail Sales (YoY),Retail Sales (YoY) (May),1999-05-01 00:00:00,10.6
63,1999-06-01 04:00:00,China,Retail Sales (YoY),Retail Sales (YoY) (May),1999-05-01 00:00:00,5.3
64,1999-06-01 04:00:00,Hong Kong,Retail Sales (YoY),Retail Sales (YoY) (May),1999-05-01 00:00:00,-7.8
65,1999-06-01 04:00:00,Poland,Retail Sales (YoY),Retail Sales (YoY) (May),1999-05-01 00:00:00,19.3
67,1999-07-01 04:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (Jun),1999-06-01 00:00:00,2.9
68,1999-07-01 04:00:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (Jun),1999-06-01 00:00:00,5.6
69,1999-07-01 04:00:00,Germany,Retail Sales (YoY),German Retail Sales (YoY) (Jun),1999-06-01 00:00:00,2.5
70,1999-07-01 04:00:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (Jun),1999-06-01 00:00:00,7.61
71,1999-07-01 04:00:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (Jun),1999-06-01 00:00:00,-2.2
72,1999-07-01 04:00:00,Singapore,Retail Sales (YoY),Retail Sales (YoY) (Jun),1999-06-01 00:00:00,22.0
73,1999-07-01 04:00:00,China,Retail Sales (YoY),Retail Sales (YoY) (Jun),1999-06-01 00:00:00,5.4
74,1999-07-01 04:00:00,Hong Kong,Retail Sales (YoY),Retail Sales (YoY) (Jun),1999-06-01 00:00:00,-6.3
75,1999-07-01 04:00:00,Poland,Retail Sales (YoY),Retail Sales (YoY) (Jun),1999-06-01 00:00:00,25.3
76,1999-07-01 04:00:00,Hungary,Retail Sales (YoY),Retail Sales (YoY) (Jun),1999-06-01 00:00:00,5.4
77,1999-08-01 04:00:00,Hungary,Retail Sales (YoY),Retail Sales (YoY) (Jul),1999-07-01 00:00:00,6.1
79,1999-08-01 04:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (Jul),1999-07-01 00:00:00,2.2
80,1999-08-01 04:00:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (Jul),1999-07-01 00:00:00,6.1
81,1999-08-01 04:00:00,Germany,Retail Sales (YoY),German Retail Sales (YoY) (Jul),1999-07-01 00:00:00,-1.5
82,1999-08-01 04:00:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (Jul),1999-07-01 00:00:00,5.26
83,1999-08-01 04:00:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (Jul),1999-07-01 00:00:00,-2.6
84,1999-08-01 04:00:00,Singapore,Retail Sales (YoY),Retail Sales (YoY) (Jul),1999-07-01 00:00:00,12.7
85,1999-08-01 04:00:00,China,Retail Sales (YoY),Retail Sales (YoY) (Jul),1999-07-01 00:00:00,5.6
86,1999-08-01 04:00:00,Hong Kong,Retail Sales (YoY),Retail Sales (YoY) (Jul),1999-07-01 00:00:00,-7.7
87,1999-08-01 04:00:00,Poland,Retail Sales (YoY),Retail Sales (YoY) (Jul),1999-07-01 00:00:00,26.4
89,1999-09-01 04:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (Aug),1999-08-01 00:00:00,2.0
90,1999-09-01 04:00:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (Aug),1999-08-01 00:00:00,6.2
91,1999-09-01 04:00:00,Germany,Retail Sales (YoY),German Retail Sales (YoY) (Aug),1999-08-01 00:00:00,0.6
92,1999-09-01 04:00:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (Aug),1999-08-01 00:00:00,2.33
93,1999-09-01 04:00:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (Aug),1999-08-01 00:00:00,-1.7
94,1999-09-01 04:00:00,Singapore,Retail Sales (YoY),Retail Sales (YoY) (Aug),1999-08-01 00:00:00,25.4
95,1999-09-01 04:00:00,China,Retail Sales (YoY),Retail Sales (YoY) (Aug),1999-08-01 00:00:00,6.0
96,1999-09-01 04:00:00,Hong Kong,Retail Sales (YoY),Retail Sales (YoY) (Aug),1999-08-01 00:00:00,-7.6
