,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,4.89,3.86,5.92,5.0,3.13,3.69,3.13,4.79,3.13,3.27,10.5,3.13,3.13,10.88,3.89,3.13,3.13,7.72,4.52,11.02,7.35,7.0,12.6,43.9,16.4,35.45,6.72
1999-02-01,4.9,3.84,5.53,5.03,3.09,3.58,3.09,4.77,3.09,3.14,9.59,3.09,3.09,9.98,3.62,3.09,3.09,7.27,6.28,10.49,7.44,6.7,11.59,23.3,15.54,31.35,6.46
1999-03-01,4.91,3.82,5.42,5.06,3.05,3.52,3.05,4.81,3.05,3.13,8.56,3.05,3.05,8.96,3.46,3.05,3.05,6.88,4.4,9.09,6.8,6.56,10.4,21.6,14.62,26.37,6.24
1999-04-01,4.88,3.54,5.32,4.72,2.7,0.91,2.7,4.76,2.7,2.87,7.72,2.7,2.7,8.12,3.16,2.7,2.7,6.55,4.34,8.18,6.41,6.16,9.4,20.6,13.75,22.99,5.84
1999-05-01,4.92,3.46,5.35,4.62,2.58,0.91,2.58,4.86,2.58,2.92,7.74,2.58,2.58,8.15,3.11,2.58,2.58,6.66,4.25,8.18,6.33,6.17,9.37,21.0,13.52,23.26,5.73
1999-06-01,5.13,3.57,5.22,4.82,2.63,0.91,2.63,4.93,2.63,2.97,7.88,2.63,2.63,8.31,3.13,2.63,2.63,6.48,3.46,8.19,6.13,6.28,9.48,20.4,13.26,23.77,5.71
1999-07-01,5.24,3.61,5.17,4.79,2.68,0.91,2.68,4.89,2.68,3.01,7.75,2.68,2.68,8.17,3.17,2.68,2.68,6.35,2.87,8.01,5.76,6.75,9.14,16.9,12.1,22.98,5.48
1999-08-01,5.41,3.69,5.25,4.92,2.7,0.91,2.7,4.92,2.7,3.0,8.08,2.7,2.7,8.53,3.21,2.7,2.7,6.09,2.8,8.39,5.64,7.19,9.37,19.5,11.68,24.36,5.45
1999-09-01,5.5,3.7,5.41,4.83,2.73,0.87,2.73,5.01,2.73,3.05,7.96,2.73,2.73,8.38,3.18,2.73,2.73,5.97,2.78,8.26,5.5,7.54,9.11,17.7,11.17,23.43,5.37
1999-10-01,6.13,4.26,6.03,5.01,3.38,1.79,3.38,5.31,3.38,3.23,8.27,3.38,3.38,8.59,3.69,3.38,3.38,6.37,2.8,8.18,5.66,7.29,9.21,19.9,10.76,22.41,5.71
