,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,90.62,99.88,75.02,101.95,104.42,92.4,76.31,96.23,81.59,94.74,90.32,121.74,124.59,91.68,89.01,85.1,64.34,91.24,74.8,79.94,34.93,36.5,82.27,47.48,82.42,79.12,92.06
1999-02-01,91.4,99.88,74.91,102.07,103.02,91.62,74.81,95.68,79.3,96.83,90.1,121.69,123.39,91.46,87.34,85.6,63.32,91.32,74.21,80.18,34.63,38.16,81.24,44.83,81.02,79.55,91.24
1999-03-01,91.4,101.6,75.76,101.74,103.44,91.98,75.21,95.57,81.85,97.98,90.27,120.29,123.49,91.45,89.2,86.4,65.14,94.04,75.18,80.57,34.57,38.8,81.21,45.22,80.02,79.48,91.24
1999-04-01,91.72,99.67,75.33,102.72,104.52,92.49,75.71,96.48,80.01,95.89,90.89,123.28,122.99,92.67,83.81,86.7,65.14,89.54,74.37,81.05,35.08,38.43,82.56,44.94,81.32,81.85,91.61
1999-05-01,92.45,101.38,76.28,102.18,105.12,92.53,76.31,96.79,80.62,96.93,91.22,122.45,122.29,92.97,86.87,86.8,65.31,89.96,75.83,81.84,36.09,40.56,84.49,44.65,83.52,80.59,92.12
1999-06-01,92.23,100.52,76.07,103.94,106.29,92.92,76.21,96.62,81.76,97.77,91.33,122.55,124.19,93.33,86.41,87.8,65.56,89.88,75.22,81.89,35.59,40.83,83.72,43.25,79.92,80.45,92.07
1999-07-01,92.62,101.27,76.7,104.14,106.53,93.74,76.91,97.53,82.47,97.67,91.58,123.72,124.89,93.39,85.11,87.2,66.49,90.39,75.91,82.22,35.92,42.03,82.36,44.52,82.32,81.31,92.99
1999-08-01,93.2,101.92,77.33,105.64,104.21,94.28,77.51,97.57,82.47,95.79,92.2,124.04,125.29,93.65,83.53,86.7,67.21,89.54,76.3,82.96,36.17,42.03,83.75,44.64,83.72,81.44,93.9
1999-09-01,92.81,102.67,78.28,106.62,107.38,94.77,77.21,98.55,83.26,99.86,92.99,124.67,126.39,94.86,88.55,88.8,67.32,89.71,77.15,84.2,36.15,44.24,84.93,45.51,83.62,82.55,94.42
1999-10-01,94.17,102.77,77.44,105.98,108.99,94.84,78.01,98.99,83.78,99.65,93.26,124.1,127.39,95.29,91.06,88.1,67.25,89.11,77.46,84.1,36.16,44.43,86.44,44.44,83.52,80.88,94.47
1999-11-01,94.82,104.06,78.28,108.34,108.89,95.78,78.01,99.44,84.57,100.28,93.54,124.76,127.99,95.73,92.54,88.8,69.88,89.54,78.18,85.09,36.17,46.45,85.73,44.9,84.62,80.89,95.45
1999-12-01,95.5,103.85,77.44,110.52,107.98,95.82,78.22,99.32,85.63,99.13,93.45,129.25,125.49,96.56,94.68,94.3,68.7,90.64,78.55,85.89,37.35,46.27,85.7,57.46,84.52,83.12,95.24
2000-01-01,95.51,103.95,78.38,110.59,108.73,93.68,77.51,90.34,85.72,96.3,96.25,126.01,125.89,102.49,93.1,92.5,60.6,89.37,72.63,87.43,36.88,47.66,85.57,53.75,85.31,84.63,91.06
2000-02-01,95.73,103.31,79.01,110.13,109.21,95.47,79.42,91.09,86.59,100.2,98.23,127.03,127.19,88.59,93.1,93.4,64.7,89.12,85.24,87.23,36.28,47.58,85.65,51.85,86.01,85.48,91.0
2000-03-01,96.36,105.13,79.22,112.92,109.8,88.07,79.42,88.46,87.03,101.2,99.27,130.37,128.59,89.4,95.5,93.2,64.3,89.37,84.47,88.41,37.82,48.02,87.01,50.33,86.61,86.85,91.84
2000-04-01,96.97,106.95,79.33,111.95,110.42,87.92,80.42,87.65,86.24,103.6,96.12,126.6,129.69,94.48,94.7,94.8,67.0,89.2,84.21,82.12,37.9,47.6,87.98,58.49,82.52,85.55,91.79
