,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Hong Kong,Spain,Italy,Singapore,Denmark,Finland,Belgium,Norway,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia
1999-01-01,4.4,4.5,6.2,7.9,12.0,3.1,10.7,7.1,4.6,7.3,6.4,14.8,11.1,6.66,6.1,10.6,8.9,2.7,4.84,2.92,7.98,7.6,7.86,14.2,5.74,2.6,8.46
1999-02-01,4.4,4.6,6.2,7.9,12.0,3.0,10.7,7.1,4.5,7.0,6.4,14.3,11.1,6.76,5.9,10.5,9.0,2.7,4.78,2.88,8.06,7.4,7.86,14.6,5.72,3.1,8.46
1999-03-01,4.2,4.7,6.2,7.9,11.8,3.0,10.6,7.0,4.4,7.0,6.3,13.9,11.1,6.58,5.9,10.5,9.0,2.9,4.73,2.84,8.02,7.2,7.64,14.1,5.7,2.7,8.42
1999-04-01,4.3,4.7,6.2,8.2,11.7,2.9,10.6,7.0,4.4,6.9,6.2,13.6,11.1,6.64,5.9,10.5,9.0,2.9,4.69,2.97,7.94,7.0,7.6,13.4,5.74,2.8,8.46
1999-05-01,4.2,4.7,6.1,7.9,11.5,2.8,10.5,7.0,4.3,6.7,6.2,13.5,11.1,6.48,5.8,10.4,9.0,2.9,4.64,2.98,7.72,6.8,7.52,12.7,5.66,2.6,8.36
1999-06-01,4.3,4.8,6.0,7.6,11.4,2.8,10.5,6.6,4.3,6.7,6.1,13.5,11.0,6.42,5.7,10.2,8.7,2.8,4.66,2.92,7.54,7.2,7.52,12.3,5.48,2.7,8.24
1999-07-01,4.3,4.8,6.0,7.6,11.3,2.7,10.5,6.7,4.2,6.6,6.1,13.5,11.0,6.32,5.6,10.1,8.3,2.9,4.63,2.95,7.5,7.0,7.44,12.1,5.5,2.3,8.24
1999-08-01,4.2,4.7,5.9,7.4,11.1,2.6,10.5,6.9,4.2,6.7,6.1,13.5,10.9,6.26,5.6,10.0,8.2,3.1,4.56,2.91,7.44,6.5,7.44,12.0,5.54,2.5,8.16
1999-09-01,4.2,4.6,5.9,7.5,11.0,2.5,10.5,7.0,4.1,6.6,6.3,13.4,10.9,6.26,5.5,10.0,7.9,3.4,4.48,2.92,7.52,5.7,7.42,12.1,5.66,2.3,8.22
1999-10-01,4.1,4.6,5.8,7.2,10.8,2.4,10.5,6.8,4.1,6.4,6.3,13.2,10.7,6.16,5.4,10.0,7.8,3.4,4.43,2.94,7.52,5.4,7.34,12.4,5.56,2.4,8.1
1999-11-01,4.1,4.6,5.8,6.9,10.7,2.4,10.4,6.4,4.0,6.3,6.3,13.1,10.7,6.06,5.4,9.9,7.7,3.4,4.36,2.92,7.48,5.2,7.3,12.6,5.4,2.3,8.02
1999-12-01,4.0,4.7,5.8,6.8,10.5,2.3,10.3,6.7,4.0,6.3,6.3,12.9,10.6,6.0,5.5,9.9,7.6,3.4,4.37,2.95,7.44,5.2,7.24,12.4,5.44,2.4,7.96
2000-01-01,4.0,4.7,5.9,6.8,10.4,2.1,10.2,6.8,3.9,6.2,6.0,12.8,10.6,6.2,5.5,9.8,7.3,3.4,4.18,2.89,6.58,5.2,5.48,12.2,6.04,2.3,7.78
2000-02-01,4.1,4.9,5.8,6.9,10.2,2.0,10.1,6.7,3.9,6.1,5.9,12.4,10.6,5.42,5.3,9.7,7.1,3.4,4.11,2.96,5.68,4.8,5.68,12.1,5.08,2.1,6.54
2000-03-01,4.0,4.9,5.8,6.9,10.1,2.0,10.1,6.6,3.8,5.9,5.6,12.2,10.5,4.5,5.2,9.5,6.9,3.3,4.27,2.94,7.4,4.6,5.76,11.4,4.2,2.2,7.18
2000-04-01,3.8,4.8,5.7,6.7,9.9,1.9,9.6,6.4,3.8,5.9,5.3,12.0,10.3,4.48,4.6,9.4,6.9,3.2,5.37,2.93,6.9,4.4,5.7,10.8,5.82,2.79,6.46
2000-05-01,4.0,4.6,5.6,6.6,9.7,1.9,9.5,6.3,3.7,5.6,5.1,11.9,10.3,4.4,4.8,9.3,6.8,3.0,4.18,2.92,6.66,4.3,5.42,10.2,6.58,2.72,5.78
2000-06-01,4.0,4.7,5.5,6.7,9.5,1.8,9.5,6.1,3.7,5.8,5.1,11.9,10.2,4.2,4.9,9.3,6.7,3.0,4.0,2.89,6.62,4.1,5.36,10.1,6.56,2.72,4.44
2000-07-01,4.0,4.7,5.3,6.8,9.4,1.8,9.5,6.0,3.6,5.6,5.0,11.9,10.0,4.07,5.0,9.3,6.8,3.1,5.3,2.89,5.25,4.1,5.23,10.0,6.86,2.46,5.27
2000-08-01,4.1,4.6,5.3,7.0,9.3,1.7,9.5,6.0,3.6,5.5,4.9,11.8,10.0,4.13,5.0,9.3,7.0,3.3,4.08,2.89,6.66,4.3,4.13,9.8,5.43,2.73,4.47
2000-09-01,3.9,4.7,5.3,6.9,9.1,1.7,9.4,5.9,3.5,5.2,4.8,11.7,9.9,4.02,5.0,9.4,6.9,3.3,5.77,2.94,5.33,4.4,4.02,9.8,6.84,2.62,4.34
2000-10-01,3.9,4.7,5.4,7.0,9.0,1.7,9.4,6.0,3.4,5.2,4.7,11.7,9.6,3.98,4.9,9.4,6.8,3.2,5.73,3.06,6.67,4.1,4.8,9.8,6.18,2.49,5.16
2000-11-01,3.9,4.7,5.3,6.9,8.9,1.6,9.3,6.2,3.4,5.2,4.5,11.5,9.6,3.89,4.9,9.3,6.7,3.3,6.94,3.2,6.68,4.2,5.53,9.8,6.18,2.36,4.21
2000-12-01,3.9,4.8,5.2,6.8,8.8,1.6,9.3,6.2,3.3,4.9,4.4,11.2,9.6,3.87,4.9,9.2,6.4,3.4,6.94,3.36,6.73,4.4,5.49,9.9,6.28,2.55,4.49
