,ReportDateTime,Country,Indicator,FullName,Period,Value
0,1999-01-01 04:00:00,United Kingdom,Unemployment Rate,Unemployment Rate (Dec),1998-12-01 00:00:00,6.1
1,1999-01-01 04:00:00,Canada,Unemployment Rate,Unemployment Rate (Dec),1998-12-01 00:00:00,8.1
3,1999-01-01 04:00:00,Switzerland,Unemployment Rate,Unemployment Rate s.a. (Dec),1998-12-01 00:00:00,3.2
4,1999-01-01 04:00:00,Germany,Unemployment Rate,German Unemployment Rate (Dec),1998-12-01 00:00:00,10.8
5,1999-01-01 04:00:00,Australia,Unemployment Rate,Unemployment Rate (Dec),1998-12-01 00:00:00,7.2
6,1999-01-01 04:00:00,Japan,Unemployment Rate,Unemployment Rate (Dec),1998-12-01 00:00:00,4.4
7,1999-01-01 04:00:00,Hong Kong,Unemployment Rate,Unemployment Rate (Dec),1998-12-01 00:00:00,5.9
8,1999-01-01 04:00:00,Taiwan,Unemployment Rate,Unemployment Rate (Dec),1998-12-01 00:00:00,2.92
9,1999-01-01 04:00:00,Austria,Unemployment Rate,Austrian Unemployment Rate (Dec),1998-12-01 00:00:00,8.2
10,1999-01-01 04:00:00,Russia,Unemployment Rate,Unemployment Rate (Dec),1998-12-01 00:00:00,13.3
12,1999-01-01 04:00:00,Norway,Unemployment Rate,Unemployment Rate (Dec),1998-12-01 00:00:00,2.8
13,1999-01-01 04:00:00,Eurozone,Unemployment Rate,Unemployment Rate (Dec),1998-12-01 00:00:00,10.2
14,1999-01-01 04:00:00,Denmark,Unemployment Rate,Unemployment Rate (Dec),1998-12-01 00:00:00,6.0
15,1999-01-01 04:00:00,Finland,Unemployment Rate,Finnish Unemployment Rate (Dec),1998-12-01 00:00:00,10.7
17,1999-01-01 07:30:00,United States,Unemployment Rate,Unemployment Rate (Dec),1998-12-01 00:00:00,4.4
18,1999-02-01 04:00:00,United Kingdom,Unemployment Rate,Unemployment Rate (Jan),1999-01-01 00:00:00,6.2
