,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-04,4.75,0.25,6.25,5.0,3.0,1.0,3.0,4.75,3.0,3.95,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.75,3.0,3.0,6.39,9.0,,29.0,,19.311,32.17,,,7.0,,13.375,15.5,7.8,,,17.0,9.5,26.0,7.85,60.0
1999-01-05,4.75,0.25,6.25,5.0,3.0,1.0,3.0,4.75,3.0,3.95,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.75,3.0,3.0,6.39,9.0,,29.0,,19.26,31.68,,,7.0,,13.375,15.5,7.8,,,17.0,9.5,26.0,8.06,60.0
1999-01-06,4.75,0.25,6.25,5.0,3.0,1.0,3.0,4.75,3.0,3.95,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.7,3.0,3.0,6.39,9.0,,29.0,,19.16,30.87,,,7.0,,13.375,15.5,7.8,,,17.0,9.5,26.0,8.08,60.0
1999-01-07,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.7,3.0,3.0,6.39,9.0,,29.0,,19.05,31.33,,,7.0,,13.375,15.5,7.8,,,17.0,9.5,26.0,7.86,60.0
1999-01-08,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.75,3.0,3.0,6.39,9.0,,29.0,,18.99,30.85,,,7.0,,13.375,15.5,7.8,,,17.0,9.5,26.0,6.83,60.0
1999-01-11,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.55,3.0,3.0,6.39,9.0,,29.0,,18.981,31.42,,,7.0,,13.375,15.5,7.8,,,17.0,9.5,26.0,6.79,60.0
1999-01-12,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.55,3.0,3.0,6.39,9.0,,29.0,,18.971,33.84,,,7.0,,13.0,15.5,7.8,,,17.0,9.5,26.0,7.23,60.0
1999-01-13,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.55,3.0,3.0,6.39,9.0,,29.0,,18.971,36.09,,,7.0,,13.0,15.5,7.8,,,17.0,9.5,26.0,9.01,60.0
1999-01-14,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.15,3.0,3.0,6.39,9.0,,29.0,,18.971,36.41,,,7.0,,13.0,15.5,7.8,,,17.0,9.5,26.0,8.46,60.0
1999-01-15,4.75,0.25,6.0,5.0,3.0,1.0,3.0,4.75,3.0,3.75,3.4,3.0,6.25,3.0,3.0,3.0,8.0,13.5,3.0,3.45,3.0,3.0,6.39,9.0,,29.0,,18.971,35.77,,,7.0,,13.0,15.5,7.8,,,17.0,9.5,26.0,9.74,60.0
