Year,Month,Day,Interbank Overnight
1999,Jan,02,1.50
,,04,0.06
,,05,0.13
,,06,0.13
,,07,1.50
,,08,0.50
,,09,0.13
,,11,0.13
,,12,0.13
,,13,0.13
,,14,0.13
,,15,0.13
,,16,0.13
,,18,0.13
,,20,0.06
,,21,0.03
,,22,0.13
,,23,0.00
,,25,0.13
,,26,0.13
,,27,0.06
,,28,0.13
,,29,0.13
,,30,0.75
,Feb,01,0.06
,,02,0.13
,,03,0.00
,,04,0.00
,,05,1.50
,,06,0.50
,,08,0.13
,,09,0.13
,,10,0.13
,,11,0.06
,,12,0.50
,,13,0.50
,,15,1.00
,,18,2.00
,,19,0.75
,,20,0.50
,,22,0.13
,,23,0.13
,,24,0.06
,,25,0.13
,,26,1.88
,,27,0.13
,Mar,01,0.50
,,02,0.13
,,03,0.13
,,04,0.13
,,05,0.13
,,06,0.13
,,08,0.13
,,09,0.13
,,10,0.13
,,11,0.13
,,12,2.50
,,13,0.25
,,15,0.25
,,16,0.38
,,17,0.13
,,18,1.00
,,19,1.88
,,20,0.13
,,22,1.00
,,23,0.13
,,24,0.13
,,25,0.25
,,26,2.00
,,27,0.25
,,30,0.00
,,31,0.06
,Apr,01,0.25
,,03,0.13
,,05,0.06
,,06,1.25
,,07,0.50
,,08,0.25
,,09,0.25
,,10,0.13
,,12,0.13
,,13,0.25
,,14,0.13
,,15,0.75
,,16,0.75
,,17,0.25
,,19,0.06
,,20,0.06
,,21,0.06
,,22,0.25
,,23,0.50
,,24,0.13
,,26,0.06
,,27,0.06
,,28,0.75
,,29,0.38
,,30,0.25
,May,03,0.13
,,04,1.25
,,05,0.50
,,06,0.25
,,07,1.50
,,08,0.13
,,10,0.75
,,11,0.50
,,12,1.00
,,13,0.13
,,14,1.75
,,15,0.75
,,17,0.13
,,18,0.38
,,19,0.13
,,20,0.13
,,21,0.50
,,22,0.13
,,24,0.25
,,25,0.25
,,26,0.13
,,27,0.13
,,28,0.13
,,31,0.13
,Jun,01,0.25
,,02,0.13
,,03,0.13
,,04,0.25
,,05,0.13
,,07,0.13
,,08,0.13
,,09,0.50
,,10,0.38
,,11,1.25
,,12,1.25
,,14,0.13
,,15,0.50
,,16,0.13
,,17,0.13
,,18,0.13
,,19,0.25
,,21,0.25
,,22,0.50
,,23,4.00
,,24,2.00
,,25,1.00
,,26,0.50
,,28,0.25
,,29,2.50
,,30,2.25
,Jul,01,1.00
,,02,2.50
,,03,2.00
,,05,0.63
,,06,0.38
,,07,0.50
,,08,0.50
,,09,2.50
,,10,1.25
,,12,0.50
,,13,0.25
,,14,0.38
,,15,0.50
,,16,1.75
,,17,0.50
,,19,0.25
,,20,0.38
,,21,0.50
,,22,0.50
,,23,0.75
,,24,0.13
,,26,0.13
,,27,0.75
,,28,0.13
,,29,0.25
,,30,1.63
,,31,0.50
,Aug,02,0.25
,,03,0.75
,,04,2.50
,,05,0.50
,,06,0.13
,,07,0.50
,,10,0.13
,,11,0.13
,,12,0.13
,,13,0.50
,,14,0.50
,,16,0.25
,,17,0.50
,,18,0.75
,,19,0.38
,,20,0.75
,,21,0.50
,,23,0.50
,,24,0.50
,,25,0.25
,,26,0.25
,,27,2.25
,,28,1.50
,,30,0.25
,,31,1.25
,Sep,01,0.25
,,02,1.00
,,03,0.75
,,04,0.50
,,06,1.75
,,07,0.75
,,08,0.50
,,09,0.25
,,10,1.50
,,11,0.25
,,13,0.38
,,14,0.50
,,15,0.25
,,16,0.63
,,17,3.00
,,18,0.50
,,20,1.50
,,21,0.50
,,22,0.25
,,23,1.00
,,24,1.00
,,25,0.75
,,27,0.25
,,28,0.50
,,29,0.75
,,30,0.75
,Oct,01,2.50
,,02,2.25
,,04,0.75
,,05,0.50
,,06,1.00
,,07,0.25
,,08,1.50
,,09,2.25
,,11,0.25
,,12,1.00
,,13,0.13
,,14,0.75
,,15,2.50
,,16,2.00
,,18,1.75
,,19,1.00
,,20,0.75
,,21,0.75
,,22,2.75
,,23,0.75
,,25,1.25
,,26,1.50
,,27,1.00
,,28,0.75
,,29,2.13
,,30,1.25
,Nov,01,1.50
,,02,0.50
,,03,1.13
,,04,1.00
,,05,2.25
,,06,1.50
,,09,0.25
,,10,0.00
,,11,0.50
,,12,2.25
,,13,1.25
,,15,1.50
,,16,0.13
,,17,0.25
,,18,0.13
,,19,2.00
,,20,0.50
,,22,0.13
,,23,0.13
,,24,0.13
,,25,0.06
,,26,1.38
,,27,0.25
,,29,0.75
,,30,0.75
,Dec,01,0.13
,,02,0.50
,,03,0.50
,,04,0.13
,,06,0.13
,,07,0.13
,,08,0.13
,,09,0.13
,,10,0.75
,,11,0.06
,,13,0.13
,,14,0.13
,,15,0.00
,,16,0.00
,,17,0.00
,,18,0.13
,,20,0.00
,,21,0.00
,,22,0.00
,,23,0.00
,,24,0.00
,,27,0.00
,,28,0.00
,,29,0.06
