,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Euro Zone,China,Taiwan,India,South Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,United Arab Emirates,Qatar,Kuwait,Türkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czech Republic,Egypt,Colombia,Argentina,Russia
1999-01-01,107,25,40,28,11,10,26,19,6,4,12,6,7,16,8,8,4,9,9,6,13,7,4,22.0,14,10,7,14,17,,11.0,12,8,6,7,,1.0,2.0,11.0,8,8,3,3,2,6,6,3.0,6,3,6
1999-02-01,95,24,40,28,11,10,26,19,6,4,13,6,7,16,9,8,4,9,8,6,11,7,4,25.0,14,10,8,14,17,,9.0,12,10,7,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,6
1999-03-01,109,24,40,28,12,10,26,19,6,4,13,6,7,16,9,8,4,9,9,6,13,7,4,24.0,15,10,8,14,17,1.0,11.0,12,10,7,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,6
1999-04-01,109,25,40,28,12,10,26,19,6,4,13,6,7,16,9,8,4,9,9,6,14,7,4,24.0,15,10,9,14,17,1.0,11.0,12,10,7,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,6
1999-05-01,107,24,40,29,12,10,26,19,6,4,13,6,7,16,9,8,4,9,9,6,14,7,4,24.0,15,10,9,14,17,1.0,11.0,12,10,7,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,6
1999-06-01,110,24,40,29,12,10,26,19,6,4,13,6,7,16,9,8,4,9,9,6,14,7,4,24.0,15,10,9,15,18,1.0,11.0,12,10,7,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,6
1999-07-01,109,25,40,29,12,10,26,19,6,4,13,6,7,16,9,8,4,9,9,6,14,7,4,24.0,15,10,9,16,18,1.0,11.0,12,10,7,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,6
1999-08-01,108,24,40,29,12,10,26,19,6,4,13,6,7,16,9,8,4,9,9,6,14,7,4,24.0,15,10,9,16,18,1.0,11.0,12,10,7,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,6
1999-09-01,109,24,40,29,12,10,26,19,6,4,13,6,7,16,9,8,4,9,9,6,14,7,4,24.0,15,10,9,16,18,1.0,11.0,12,10,7,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,6
1999-10-01,109,25,40,29,12,10,26,20,6,4,13,6,7,16,9,8,4,10,9,6,14,7,4,24.0,15,10,9,16,18,1.0,12.0,12,10,7,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,6
1999-11-01,108,24,40,29,12,10,26,20,6,4,13,6,7,16,9,8,4,10,9,5,14,7,4,24.0,15,10,9,16,18,1.0,12.0,12,10,7,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,6
1999-12-01,111,24,40,29,12,10,26,20,6,4,13,6,7,16,9,8,4,10,9,5,14,7,4,24.0,15,10,9,16,18,1.0,12.0,12,10,7,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,6
2000-01-01,107,25,40,29,12,10,26,20,6,4,13,6,7,16,9,8,4,10,9,6,14,7,4,24.0,15,10,9,16,18,1.0,12.0,12,11,7,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,6
2000-02-01,108,25,40,29,12,10,26,21,6,4,13,6,7,16,9,8,4,10,9,6,12,7,4,24.0,14,10,9,16,18,2.0,12.0,12,12,9,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,7
2000-03-01,114,26,40,29,12,10,26,21,6,5,14,6,7,18,9,8,4,10,9,7,14,8,4,25.0,15,10,9,17,19,2.0,12.0,12,12,9,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,7
2000-04-01,109,27,40,29,12,10,26,21,6,5,14,6,7,18,9,8,4,10,9,7,14,8,4,25.0,15,10,9,17,19,2.0,12.0,12,12,9,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,7
2000-05-01,110,26,40,29,12,10,26,21,6,5,14,6,7,18,9,8,4,10,9,7,15,8,4,25.0,15,10,9,17,19,2.0,12.0,12,12,9,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,7
2000-06-01,113,26,40,29,12,10,26,21,6,5,14,6,7,18,9,8,4,10,9,7,15,8,4,25.0,15,10,9,17,19,2.0,12.0,12,12,9,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,7
2000-07-01,109,27,40,29,12,10,26,21,6,5,14,6,7,18,9,8,4,10,9,7,15,8,4,25.0,15,10,10,17,19,2.0,12.0,12,12,11,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,7
2000-08-01,109,26,40,29,12,10,26,21,6,5,14,6,7,18,9,8,4,10,9,7,14,8,4,25.0,15,10,11,17,19,2.0,12.0,12,12,11,7,,1.0,2.0,11.0,8,8,3,3,2,8,6,3.0,6,3,7
