,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Singapore,Norway,Israel,Ireland,New Zealand,Austria,Eurozone,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Greece,Hungary,Czechia,Russia
1999-01-01,,,,,,46.5,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,57.3,,
1999-02-01,,,,,,48.0,,,,,48.6,,,,,,,,,,,,,,,,,,,,,,,56.7,,
1999-03-01,,,,,,48.7,,,,,51.3,,,,,,,,,,,,,,,,,,,,,,,51.4,,
1999-04-01,,,,,,51.2,,,,,53.1,,,,,,,,,,,,,,,,,,,,,,,49.5,,
1999-05-01,,,,,,51.8,,,,,51.7,,,,,,,,,,,,,,,,,,,,,,,50.3,,
1999-06-01,,,,,,52.7,,,,,56.2,,,,,,,,,,,,,,,,,,,,,,,50.2,,
1999-07-01,,,,,,55.2,,,,,54.1,,,,,,,,,,,,,,,,,,,,,,,50.0,,
1999-08-01,,,,,,55.8,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,51.1,,
1999-09-01,,,,,,58.4,,,,,57.7,,,,,,,,,,,,,,,,,,,,,,,52.9,,
1999-10-01,,,,,,61.3,,,,,59.8,,,,,,,,,,,,,,,,,,,,,,,52.4,,
1999-11-01,,,,,,61.1,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,52.4,,
1999-12-01,,,,,,60.5,,,,,62.6,,,,,,,,,,,,,,,,,,,,,,,55.0,,
2000-01-01,,,,,,58.9,,,,,61.6,,,,,,,,,,,,,,,,,,,,,,,50.9,,
2000-02-01,,,,,,61.2,,,,,61.7,,,,,,,,,,,,,,,,,,,,,,,55.8,,
2000-03-01,,,,,,62.0,,,,,65.6,,,,,,,,,,,,,,,,,,,,,,,57.9,,
2000-04-01,,,,,,63.9,,,,,62.9,,,,,,,,,,,,,,,,,,,,,,,54.5,,
2000-05-01,,,,,,64.4,,,,,62.4,,,,,,,,,,,,,,,,,,,,,,,55.3,,
2000-06-01,,,,,,64.7,,,,,60.9,,,,,,,,,,,,,,,,,,,,,,,57.4,,
2000-07-01,,,,,,60.4,,,,,59.7,,,,,,,,,,,,,,,,,,,,,,,55.7,,
2000-08-01,,,,,,61.7,,,,,60.5,,,,,,,,,,,,,,,,,,,,,,,57.5,,
2000-09-01,,,,,,61.9,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,53.0,,
2000-10-01,,,,,,63.1,,,,,58.6,,,,,,,,,,,,,,,,,,,,,,,55.8,,
2000-11-01,,,,,,60.4,,,,,54.5,,,,,,,,,,,,,,,,,,,,,,,56.2,,
2000-12-01,,,,,,58.6,,,,,54.1,,,,,,,,,,,,,,,,,,,,,,,54.0,,
2001-01-01,,,,,,57.3,,,,,52.8,,,,,,,,,,,,,,,,,,,,,,,52.8,,
2001-02-01,,,,,,54.8,,,,,50.8,,,,,,,,,,,,,,,,,,,,,,,54.8,,
2001-03-01,,,,,,51.4,,,,,48.1,,,,,,,,,,,,,,,,,,,,,,,54.2,,
2001-04-01,,,,,,46.7,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,53.4,,
2001-05-01,,,,,,47.8,,,,,51.6,,,,,,,,,,,,,,,,,,,,,,,52.8,,
2001-06-01,,,,,,47.0,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,53.2,,
2001-07-01,,,,,,45.0,,,,,53.6,,,,,,,,,,,,,,,,,,,,,,,53.8,,
2001-08-01,,,,,,44.0,,,,,47.6,,,,,,,,,,,,,,,,,,,,,,,53.6,,
2001-09-01,,,,,,44.3,,,,,45.8,,,,,,,,,,,,,,,,,,,,,,,49.3,,
2001-10-01,,,,,,41.1,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,50.6,,
2001-11-01,,,,,,39.0,,,,,47.2,,,,,,,,,,,,,,,,,,,,,,,54.5,,
2001-12-01,,,,,,42.9,,,,,48.7,,,,,,,,,,,,,,,,,,,,,,,54.7,,
2002-01-01,,,,,,44.7,,,,,52.4,,,,,,,,,,,,,,,,,,,,,,,52.1,,
2002-02-01,,,,,,46.7,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,53.7,,
2002-03-01,,,,,,47.9,,,,,56.3,,,,,,,,,,,,,,,,,,,,,,,50.0,,
2002-04-01,,,,,,48.9,,,,,54.6,,,,,,,,,,,,,,,,,,,,,,,52.2,,
2002-05-01,,,,,,50.2,,,,,56.8,,,,,,,,,,,,,,,,,,,,,,,55.0,,
2002-06-01,,,,,,50.1,,,,,55.5,,,,,,,,,,,,,,,,,,,,,,,53.8,,
2002-07-01,,,,,,49.3,,,,,54.2,,,,,,,,,,,,,,,,,,,,,,,54.9,,
2002-08-01,,,,,,47.1,,,,,53.5,,,,,,,,,,,,,,,,,,,,,,,53.2,,
2002-09-01,,,,,,45.8,,,,,52.5,,,,,,,,,,,,,,,,,,,,,,,54.6,,
2002-10-01,,,,,,45.9,,,,,52.6,,,,,,,,,,,,,,,,,,,,,,,54.0,,
2002-11-01,,,,,,51.5,,,,,53.6,,,,,,,,,,,,,,,,,,,,,,,54.9,,
2002-12-01,,,,,,47.7,,,,,55.2,,,,,,,,,,,,,,,,,,,,,,,53.5,,
2003-01-01,,,,,,47.9,,,,,58.8,,,,,,,,,,,,,,,,,,,,,,,53.5,,
2003-02-01,,,,,,49.4,,,,,56.4,,,,,,,,,,,,,,,,,,,,,,,50.6,,
2003-03-01,,,,,,46.1,,,,,51.8,,,,,,,,,,,,,,,,,,,,,,,48.7,,
2003-04-01,,,,,,45.2,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,52.0,,
2003-05-01,,,,,,43.5,,,,,47.8,,,,,,,,,,,,,,,,,,,,,,,53.7,,
2003-06-01,,,,,,43.9,,,,,49.2,,,,,,,,,,,,,,,,,,,,,,,50.4,,
2003-07-01,,,,,,48.3,,,,,51.8,,,,,,,,,,,,,,,,,,,,,,,52.3,,
2003-08-01,,,,,,51.5,,,,,51.4,,,,,,,,,,,,,,,,,,,,,,,52.4,,
2003-09-01,,,,,,52.0,,,,,49.2,,,,,,,,,,,,,,,,,,,,,,,54.5,,
2003-10-01,,,,,,53.6,,,,,52.9,,,,,,,,,,,,,,,,,,,,,,,55.1,,
2003-11-01,,,,,,54.6,,,,,55.7,,,,,,,,,,,,,,,,,,,,,,,50.3,,
2003-12-01,,,,,,54.0,,,,,57.6,,,,,,,,,,,,,,,,,,,,,,,51.4,,
2004-01-01,,,,,,56.6,,,,,59.3,,,,,,,,,,,,,,,,,,,,,,,50.0,,
2004-02-01,,,,,,54.6,,,,,57.1,,,,,57.4,,,,,,,,,,,,,,,,,,50.0,,
2004-03-01,,,,,,59.2,,,,,63.5,,,,,57.8,,,,,,,,,,,,,,,,,,48.8,,
2004-04-01,,,,,,58.6,,,,,60.7,,,,,59.1,,,,,,,,,,,,,,,,,,50.6,,
2004-05-01,,,,,,58.2,,,,,58.8,,,,,54.9,,,,,,,,,,,,,,,,,,52.8,,
2004-06-01,,,,,,58.1,,,,,58.9,,,,,57.8,,,,,,,,,,,,,,,,,,53.6,,
2004-07-01,,,,,,54.5,,,,,57.8,,,,,57.2,,,,,,,,,,,,,,,,,,50.4,,
2004-08-01,,,,,,55.5,,,,,56.3,,,,,57.9,,,,,,,,,,,,,,,,,,52.9,,
2004-09-01,,,,,,55.1,,,,,56.5,,,,,57.6,,,,,,,,,,,,,,,,,,49.6,,
2004-10-01,,,,,,54.4,,,,,57.9,,,,,56.8,,,,,,,,,,,,,,,,,,47.6,,
2004-11-01,,,,,,53.6,,,,,54.5,,,,,54.9,,,,,,,,,,,,,,,,,,51.7,,
2004-12-01,,,,,,53.9,,,,,56.9,,,,,54.3,,,,,,,,,,,,,,,,,,51.5,,
2005-01-01,,,,,,52.9,,,,,56.7,,,,,57.1,,,,,,54.7,,,,,,,,,,,,48.1,,
2005-02-01,,,,,,47.6,,,,,55.6,,,,,57.8,,,,,,54.5,,,,,,,,,,,,45.6,,
