,United States,Japan,United Kingdom,Canada,Switzerland,Germany,Australia,Spain,Italy,Eurozone,China,India,Korea,Brazil,Turkiye,Russia,ACWI
1999-01-04,,,,,,,,,,,,,,,,,
1999-01-05,,,,,,,,,113.21,,,,,,,,
1999-01-06,,,,,,,,,113.93,,,,,,,,
1999-01-07,,,,,,,,,114.0,,,,,,,,
1999-01-08,,,,,,,,,113.82,,,,,,,,
1999-01-11,,,,,,,,,113.97,,,,,,,,
1999-01-12,,,,,,,,,111.48,,,,,,,,
1999-01-13,,,,,,,,,109.38,,,,,,,,
1999-01-14,,,,,,,,,105.2,,,,,,,,
1999-01-15,,,,,,,,,105.35,,,,,,,,
1999-01-18,,,,,,,,,107.32,,,,,,,,
1999-01-19,,,,,,,,,109.64,,,,,,,,
1999-01-20,,,,,,,,,108.04,,,,,,,,
1999-01-21,,,,,,,,,109.13,,,,,,,,
1999-01-22,,,,,,,,,106.78,,,,,,,,
1999-01-25,,,,,,,,,104.88,,,,,,,,
1999-01-26,,,,,,,,,104.56,,,,,,,,
1999-01-27,,,,,,,,,105.14,,,,,,,,
1999-01-28,,,,,,,,,105.33,,,,,,,,
1999-01-29,,,,,,,,,107.2,,,,,,,,
1999-02-01,,,,,,,,,107.5,,,,,,,,
1999-02-02,,,,,,,,,108.55,,,,,,,,
1999-02-03,,,,,,,,,107.23,,,,,,,,
1999-02-04,,,,,,,,,106.26,,,,,,,,
1999-02-05,,,,,,,,,105.99,,,,,,,,
1999-02-08,,,,,,,,,105.69,,,,,,,,
1999-02-09,,,,,,,,,104.47,,,,,,,,
1999-02-10,,,,,,,,,101.93,,,,,,,,
1999-02-11,,,,,,,,,102.23,,,,,,,,
1999-02-12,,,,,,,,,103.95,,,,,,,,
1999-02-15,,,,,,,,,104.43,,,,,,,,
1999-02-16,,,,,,,,,105.63,,,,,,,,
1999-02-17,,,,,,,,,104.18,,,,,,,,
1999-02-18,,,,,,,,,102.73,,,,,,,,
1999-02-19,,,,,,,,,103.48,,,,,,,,
1999-02-22,,,,,,,,,105.94,,,,,,,,
1999-02-23,,,,,,,,,107.16,,,,,,,,
1999-02-24,,,,,,,,,107.68,,,,,,,,
1999-02-25,,,,,,,,,109.41,,,,,,,,
1999-02-26,,,,,,,,,107.25,,,,,,,,
1999-03-01,,,,,,,,,107.13,,,,,,,,
1999-03-02,,,,,,,,,105.82,,,,,,,,
1999-03-03,,,,,,,,,105.47,,,,,,,,
1999-03-04,,,,,,,,,103.92,,,,,,,,
1999-03-05,,,,,,,,,106.13,,,,,,,,
1999-03-08,,,,,,,,,109.01,,,,,,,,
1999-03-09,,,,,,,,,108.19,,,,,,,,
1999-03-10,,,,,,,,,108.9,,,,,,,,
1999-03-11,,,,,,,,,110.95,,,,,,,,
1999-03-12,,,,,,,,,110.66,,,,,,,,
1999-03-15,,,,,,,,,109.51,,,,,,,,
1999-03-16,,,,,,,,,110.97,,,,,,,,
1999-03-17,,,,,,,,,110.48,,,,,,,,
1999-03-18,,,,,,,,,110.2,,,,,,,,
1999-03-19,,,,,,,,,111.04,,,,,,,,
1999-03-22,,,,,,,,,111.78,,,,,,,,
1999-03-23,,,,,,,,,110.73,,,,,,,,
1999-03-24,,,,,,,,,108.81,,,,,,,,
1999-03-25,,,,,,,,,107.14,,,,,,,,
1999-03-26,,,,,,,,,109.17,,,,,,,,
1999-03-29,,,,,,,,,108.26,,,,,,,,
1999-03-30,,,,,,,,,110.04,,,,,,,,
1999-03-31,,,,,,,,,109.56,,,,,,,,
1999-04-01,,,,,,,,,111.26,,,,,,,,
1999-04-02,,,,,,,,,111.26,,,,,,,,
1999-04-05,,,,,,,,,110.81,,,,,,,,
1999-04-06,,,,,,,,,110.87,,,,,,,,
1999-04-07,,,,,,,,,111.75,,,,,,,,
1999-04-08,,,,,,,,,111.66,,,,,,,,
1999-04-09,,,,,,,,,112.3,,,,,,,,
1999-04-12,,,,,,,,,111.56,,,,,,,,
1999-04-13,,,,,,,,,110.3,,,,,,,,
1999-04-14,,,,,,,,,111.35,,,,,,,,
1999-04-15,,,,,,,,,111.27,,,,,,,,
1999-04-16,,,,,,,,,110.51,,,,,,,,
1999-04-19,,,,,,,,,110.16,,,,,,,,
1999-04-20,,,,,,,,,110.57,,,,,,,,
1999-04-21,,,,,,,,,109.86,,,,,,,,
1999-04-22,,,,,,,,,110.67,,,,,,,,
1999-04-23,,,,,,,,,110.46,,,,,,,,
1999-04-26,,,,,,,,,109.73,,,,,,,,
1999-04-27,,,,,,,,,108.94,,,,,,,,
1999-04-28,,,,,,,,,110.86,,,,,,,,
1999-04-29,,,,,,,,,110.18,,,,,,,,
1999-04-30,,,,,,,,,109.46,,,,,,,,
1999-05-03,,,,,,,,,110.59,,,,,,,,
1999-05-04,,,,,,,,,110.94,,,,,,,,
1999-05-05,,,,,,,,,111.34,,,,,,,,
1999-05-06,,,,,,,,,110.59,,,,,,,,
1999-05-07,,,,,,,,,110.22,,,,,,,,
1999-05-10,,,,,,,,,109.8,,,,,,,,
1999-05-11,,,,,,,,,109.31,,,,,,,,
1999-05-12,,,,,,,,,109.31,,,,,,,,
1999-05-13,,,,,,,,,108.65,,,,,,,,
1999-05-14,,,,,,,,,108.69,,,,,,,,
1999-05-17,,,,,,,,,106.73,,,,,,,,
1999-05-18,,,,,,,,,105.09,,,,,,,,
1999-05-19,,,,,,,,,106.73,,,,,,,,
1999-05-20,,,,,,,,,109.08,,,,,,,,
1999-05-21,,,,,,,,,109.08,,,,,,,,
1999-05-24,,,,,,,,,109.49,,,,,,,,
1999-05-25,,,,,,,,,109.45,,,,,,,,
1999-05-26,,,,,,,,,109.51,,,,,,,,
1999-05-27,,,,,,,,,109.89,,,,,,,,
1999-05-28,,,,,,,,,108.42,,,,,,,,
1999-05-31,,,,,,,,,108.44,,,,,,,,
1999-06-01,,,,,,,,,109.81,,,,,,,,
1999-06-02,,,,,,,,,109.44,,,,,,,,
1999-06-03,,,,,,,,,109.13,,,,,,,,
1999-06-04,,,,,,,,,110.79,,,,,,,,
1999-06-07,,,,,,,,,111.0,,,,,,,,
1999-06-08,,,,,,,,,111.91,,,,,,,,
1999-06-09,,,,,,,,,112.73,,,,,,,,
1999-06-10,,,,,,,,,112.52,,,,,,,,
1999-06-11,,,,,,,,,111.26,,,,,,,,
1999-06-14,,,,,,,,,111.33,,,,,,,,
1999-06-15,,,,,,,,,109.74,,,,,,,,
1999-06-16,,,,,,,,,109.96,,,,,,,,
1999-06-17,,,,,,,,,111.48,,,,,,,,
1999-06-18,,,,,,,,,111.58,,,,,,,,
1999-06-21,,,,,,,,,112.43,,,,,,,,
