,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Spain,Hong Kong,Italy,Singapore,Denmark,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,China,Taiwan,India,Korea,Brazil,Russia,South Africa,Mexico,Malaysia,Thailand,Indonesia,Turkiye,Chile,Poland,Argentina,Saudi Arabia,Greece,United Arab Emirates,Qatar,Kuwait,Philippines,Peru,Hungary,Czechia,Egypt,Colombia,Pakistan,Jordan,Sri Lanka,Venezuela,Marocco
1999-01-01,48.23,10.74,10.66,2.28,3.91,3.35,3.89,1.36,1.53,1.2,1.26,1.13,1.89,0.39,0.3,0.45,0.34,0.4,0.16,0.1,0.12,0.1,0.1,0.08,1.01,0.36,0.33,0.87,0.33,0.65,0.71,0.33,0.09,0.1,0.17,0.21,0.03,0.2,0.0,0.14,0.0,0.0,0.0,0.08,0.07,0.07,0.05,0.0,0.05,0.04,0.01,0.01,0.08,0.0
2000-01-01,49.71,10.17,10.88,2.26,3.71,3.29,3.57,1.49,1.55,1.2,1.32,1.01,1.87,0.38,0.3,0.45,0.38,0.4,0.15,0.1,0.11,0.1,0.1,0.12,0.89,0.32,0.46,0.72,0.3,0.63,0.61,0.3,0.09,0.08,0.14,0.17,0.04,0.12,0.0,0.1,0.0,0.0,0.0,0.06,0.06,0.07,0.04,0.0,0.04,0.03,0.01,0.01,0.06,0.0
2001-01-01,51.16,9.6,11.09,2.25,3.51,3.23,3.25,1.62,1.56,1.2,1.38,0.88,1.84,0.36,0.3,0.45,0.42,0.4,0.15,0.1,0.09,0.1,0.1,0.17,0.76,0.28,0.6,0.57,0.26,0.6,0.51,0.28,0.08,0.07,0.11,0.14,0.04,0.08,0.0,0.07,0.0,0.0,0.0,0.05,0.04,0.06,0.04,0.01,0.02,0.03,0.01,0.0,0.04,0.01
2002-01-01,52.62,9.02,11.3,2.22,3.31,3.17,2.93,1.75,1.58,1.2,1.44,0.76,1.82,0.35,0.3,0.45,0.46,0.4,0.14,0.1,0.08,0.1,0.1,0.21,0.64,0.24,0.73,0.42,0.23,0.58,0.41,0.25,0.08,0.05,0.08,0.1,0.05,0.04,0.0,0.03,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.01,0.01,0.02,0.01,0.0,0.02,0.01
2003-01-01,54.06,8.45,11.51,2.2,3.1,3.1,2.6,1.88,1.6,1.2,1.5,0.64,1.8,0.33,0.3,0.45,0.5,0.4,0.13,0.1,0.07,0.1,0.1,0.26,0.51,0.2,0.86,0.27,0.19,0.56,0.31,0.22,0.07,0.04,0.05,0.06,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.01
2004-01-01,51.65,8.49,11.14,2.49,3.33,3.31,2.83,2.06,1.54,1.22,1.58,0.72,1.74,0.36,0.32,0.44,0.5,0.44,0.15,0.12,0.07,0.1,0.1,0.57,0.63,0.35,1.01,0.52,0.38,0.6,0.35,0.23,0.09,0.07,0.08,0.07,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.02,0.01,0.01,0.01,0.0,0.01,0.01
2005-01-01,49.23,8.52,10.77,2.8,3.55,3.51,3.05,2.25,1.48,1.24,1.66,0.8,1.68,0.39,0.34,0.43,0.5,0.48,0.17,0.14,0.07,0.1,0.1,0.88,0.75,0.5,1.16,0.77,0.57,0.64,0.39,0.24,0.1,0.1,0.11,0.09,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.05,0.03,0.01,0.01,0.01,0.0,0.01,0.01
2006-01-01,46.8,8.56,10.39,3.09,3.77,3.71,3.27,2.44,1.42,1.26,1.74,0.89,1.62,0.42,0.36,0.42,0.5,0.52,0.2,0.16,0.06,0.1,0.1,1.18,0.88,0.64,1.32,1.01,0.77,0.68,0.43,0.26,0.12,0.13,0.13,0.1,0.13,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.07,0.06,0.05,0.02,0.02,0.01,0.0,0.0,0.02
2007-01-01,44.37,8.6,10.01,3.39,3.99,3.91,3.49,2.62,1.36,1.28,1.83,0.97,1.56,0.45,0.38,0.41,0.5,0.56,0.22,0.18,0.06,0.1,0.1,1.49,1.0,0.79,1.47,1.26,0.96,0.72,0.47,0.27,0.13,0.16,0.16,0.12,0.16,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.08,0.08,0.07,0.02,0.02,0.01,0.0,0.0,0.02
2008-01-01,41.94,8.63,9.63,3.68,4.21,4.11,3.71,2.8,1.3,1.3,1.91,1.05,1.5,0.48,0.4,0.4,0.5,0.6,0.24,0.2,0.06,0.1,0.1,1.81,1.12,0.94,1.63,1.51,1.15,0.76,0.51,0.28,0.15,0.19,0.19,0.13,0.19,0.05,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.09,0.09,0.09,0.03,0.02,0.01,0.0,0.0,0.03
2009-01-01,43.1,8.41,9.3,3.81,4.0,3.9,3.55,2.9,1.2,1.29,1.72,1.06,1.37,0.53,0.39,0.37,0.5,0.55,0.23,0.2,0.06,0.1,0.09,1.9,1.16,0.91,1.69,1.55,1.07,0.81,0.53,0.32,0.17,0.22,0.19,0.15,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.08,0.08,0.07,0.06,0.0,0.0,0.0,0.0,0.03
2010-01-01,44.24,8.19,8.96,3.94,3.78,3.68,3.39,3.01,1.1,1.27,1.53,1.07,1.23,0.57,0.39,0.35,0.5,0.5,0.23,0.2,0.06,0.09,0.08,1.98,1.21,0.88,1.76,1.57,0.99,0.86,0.56,0.35,0.2,0.26,0.2,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.07,0.07,0.07,0.05,0.08,0.0,0.0,0.0,0.0,0.03
2011-01-01,45.38,7.97,8.62,4.07,3.55,3.45,3.23,3.11,1.0,1.25,1.35,1.07,1.07,0.62,0.38,0.32,0.49,0.44,0.22,0.19,0.05,0.09,0.08,2.07,1.26,0.85,1.82,1.6,0.92,0.91,0.58,0.39,0.22,0.29,0.2,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.06,0.06,0.05,0.11,0.0,0.0,0.0,0.0,0.02
2012-01-01,46.5,7.75,8.27,4.19,3.33,3.23,3.07,3.22,0.9,1.22,1.15,1.08,0.93,0.66,0.38,0.3,0.49,0.39,0.22,0.19,0.05,0.08,0.07,2.15,1.31,0.82,1.89,1.62,0.84,0.96,0.61,0.42,0.25,0.33,0.21,0.22,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.08,0.05,0.05,0.04,0.13,0.0,0.0,0.0,0.0,0.02
2013-01-01,47.64,7.53,7.93,4.32,3.11,3.01,2.91,3.32,0.8,1.2,0.96,1.09,0.79,0.71,0.37,0.27,0.49,0.34,0.21,0.19,0.05,0.08,0.06,2.24,1.35,0.79,1.95,1.65,0.76,1.01,0.63,0.46,0.27,0.36,0.21,0.24,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.04,0.04,0.04,0.16,0.0,0.0,0.0,0.0,0.01
2014-01-01,48.99,7.36,7.43,4.13,3.06,2.95,2.83,3.14,0.84,1.2,0.92,1.05,0.78,0.66,0.41,0.28,0.46,0.33,0.22,0.19,0.06,0.08,0.06,2.44,1.4,0.87,1.92,1.52,0.71,0.94,0.58,0.43,0.26,0.33,0.19,0.22,0.16,0.0,0.0,0.0,0.06,0.06,0.0,0.11,0.07,0.04,0.04,0.04,0.14,0.0,0.0,0.0,0.0,0.0
2015-01-01,50.4,7.2,6.95,3.96,3.01,2.89,2.76,2.97,0.88,1.2,0.87,1.02,0.76,0.61,0.45,0.29,0.44,0.32,0.22,0.19,0.06,0.08,0.06,2.63,1.46,0.94,1.89,1.39,0.66,0.87,0.53,0.39,0.26,0.3,0.17,0.2,0.15,0.0,0.0,0.01,0.06,0.06,0.0,0.11,0.06,0.04,0.03,0.03,0.12,0.0,0.0,0.0,0.0,0.0
2016-01-01,51.82,7.04,6.46,3.79,2.96,2.82,2.69,2.79,0.91,1.2,0.83,0.98,0.74,0.56,0.49,0.29,0.41,0.3,0.23,0.19,0.06,0.08,0.06,2.83,1.52,1.02,1.86,1.27,0.62,0.8,0.48,0.36,0.25,0.28,0.15,0.17,0.14,0.0,0.0,0.01,0.06,0.06,0.0,0.1,0.06,0.04,0.03,0.03,0.11,0.0,0.0,0.0,0.0,0.0
2017-01-01,53.24,6.88,5.97,3.61,2.91,2.76,2.61,2.61,0.95,1.2,0.78,0.94,0.73,0.52,0.52,0.3,0.38,0.29,0.24,0.18,0.07,0.08,0.06,3.02,1.58,1.1,1.83,1.14,0.57,0.72,0.43,0.32,0.24,0.25,0.13,0.15,0.14,0.0,0.0,0.02,0.07,0.06,0.0,0.1,0.05,0.04,0.02,0.02,0.09,0.02,0.0,0.0,0.0,0.0
2018-01-01,54.66,6.72,5.48,3.43,2.86,2.7,2.53,2.44,0.99,1.21,0.74,0.9,0.72,0.47,0.56,0.31,0.35,0.28,0.24,0.18,0.08,0.08,0.05,3.22,1.64,1.18,1.8,1.02,0.52,0.65,0.38,0.29,0.24,0.22,0.11,0.13,0.13,0.0,0.0,0.02,0.07,0.07,0.0,0.09,0.04,0.03,0.02,0.02,0.07,0.02,0.0,0.0,0.0,0.0
2019-01-01,55.88,6.53,4.98,3.25,2.8,2.62,2.45,2.25,1.03,1.2,0.7,0.86,0.7,0.42,0.6,0.32,0.32,0.26,0.25,0.18,0.08,0.08,0.05,3.41,1.68,1.25,1.76,0.9,0.48,0.58,0.33,0.25,0.23,0.2,0.09,0.1,0.12,0.04,0.3,0.02,0.08,0.07,0.0,0.08,0.04,0.03,0.02,0.02,0.05,0.02,0.0,0.0,0.0,0.0
2020-01-01,57.26,6.37,4.49,3.08,2.75,2.56,2.38,2.08,1.06,1.2,0.65,0.83,0.68,0.37,0.64,0.32,0.3,0.25,0.25,0.18,0.08,0.08,0.05,3.6,1.74,1.32,1.73,0.77,0.43,0.51,0.28,0.22,0.23,0.17,0.07,0.08,0.11,0.02,0.33,0.03,0.08,0.07,0.06,0.08,0.03,0.03,0.01,0.01,0.04,0.01,0.0,0.0,0.0,0.0
2021-01-01,58.64,6.2,4.0,2.9,2.7,2.5,2.3,1.9,1.1,1.2,0.61,0.79,0.67,0.32,0.68,0.33,0.27,0.24,0.26,0.18,0.09,0.08,0.05,3.8,1.8,1.4,1.7,0.65,0.38,0.44,0.23,0.18,0.22,0.14,0.05,0.06,0.1,0.02,0.36,0.03,0.09,0.08,0.07,0.07,0.02,0.03,0.01,0.01,0.02,0.01,0.0,0.0,0.0,0.0
2022-01-01,59.12,6.17,3.96,2.96,2.86,2.46,2.21,1.96,1.1,1.1,0.64,0.74,0.68,0.38,0.73,0.3,0.28,0.24,0.26,0.18,0.09,0.08,0.06,3.56,1.81,1.5,1.55,0.6,0.0,0.42,0.26,0.18,0.24,0.18,0.07,0.06,0.09,0.0,0.4,0.04,0.12,0.09,0.09,0.08,0.02,0.02,0.02,0.01,0.02,0.0,0.0,0.0,0.0,0.0
2023-01-01,59.38,6.11,3.91,3.0,3.0,2.4,2.1,2.0,1.1,1.0,0.66,0.7,0.69,0.43,0.77,0.27,0.29,0.24,0.25,0.19,0.09,0.08,0.06,3.3,1.8,1.6,1.4,0.55,0.0,0.39,0.3,0.18,0.27,0.23,0.09,0.07,0.08,0.0,0.43,0.04,0.14,0.1,0.1,0.09,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0
