,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,46.56,,,,,53.99,,,,,41.8,,,,,47.45,,,,,,,,58.6,,59.3,63.23
Japan,11.26,,,,,8.44,,,,,8.6,,,,,7.5,,,,,,,,6.2,,6.1,5.53
United Kingdom,10.4,,,,,11.5,,,,,9.6,,,,,7.9,,,,,,,,4,,3.9,3.44
Canada,2.29,,,,,2.2,,,,,3.67,,,,,4.3,,,,,,,,2.9,,3,2.87
France,4.1,,,,,3.1,,,,,4.2,,,,,3.1,,,,,,,,2.7,,3,2.63
Switzerland,3.4,,,,,3.1,,,,,4.1,,,,,3,,,,,,,,2.5,,2.4,2.72
Germany,4.2,,,,,2.6,,,,,3.7,,,,,2.9,,,,,,,,2.3,,2.1,1.98
Australia,1.22,,,,,1.88,,,,,2.79,,,,,3.31,,,,,,,,1.9,,2,1.69
Netherlands,1.5,,,,,1.6,,,,,1.3,,,,,0.8,,,,,,,,1.1,,1.1,1.4
Sweden,1.2,,,,,1.2,,,,,1.3,,,,,1.2,,,,,,,,1.2,,1,0.72
Spain,1.2,,,,,1.5,,,,,1.9,,,,,0.96,,,,,,,,0.61,,0.66,0.61
Hong Kong,1.25,,,,,0.64,,,,,1.05,,,,,1.09,,,,,,,,0.79,,0.7,0.44
Italy,1.9,,,,,1.8,,,,,1.5,,,,,0.79,,,,,,,,0.67,,0.69,0.56
Singapore,0.41,,,,,0.33,,,,,0.48,,,,,0.71,,,,,,,,0.32,,0.43,0.36
Denmark,0.3,,,,,0.3,,,,,0.4,,,,,0.37,,,,,,,,0.68,,0.77,0.84
Finland,0.45,,,,,0.45,,,,,0.4,,,,,0.27,,,,,,,,0.33,,0.27,0.26
Belgium,0.3,,,,,0.5,,,,,0.5,,,,,0.49,,,,,,,,0.27,,0.29,0.18
Norway,0.4,,,,,0.4,,,,,0.6,,,,,0.34,,,,,,,,0.24,,0.24,0.14
Israel,0.17,,,,,0.13,,,,,0.24,,,,,0.21,,,,,,,,0.26,,0.25,0.14
Ireland,0.1,,,,,0.1,,,,,0.2,,,,,0.19,,,,,,,,0.18,,0.19,0.06
New Zealand,0.13,,,,,0.07,,,,,0.06,,,,,0.05,,,,,,,,0.09,,0.09,0.06
Austria,0.1,,,,,0.1,,,,,0.1,,,,,0.08,,,,,,,,0.08,,0.08,0.06
Portugal,0.1,,,,,0.1,,,,,0.1,,,,,0.06,,,,,,,,0.05,,0.06,0.06
China,0.03,,,,,0.26,,,,,1.8,,,,,2.23,,,,,,,,3.8,,3.3,2.46
Taiwan,1.14,,,,,0.51,,,,,1.12,,,,,1.34,,,,,,,,1.8,,1.8,1.62
India,0.4,,,,,0.2,,,,,0.94,,,,,0.79,,,,,,,,1.4,,1.6,1.77
Korea,0.2,,,,,0.86,,,,,1.62,,,,,1.94,,,,,,,,1.7,,1.4,1.23
Brazil,1.02,,,,,0.27,,,,,1.51,,,,,1.64,,,,,,,,0.65,,0.55,0.72
Russia,0.37,,,,,0.19,,,,,1.15,,,,,0.76,,,,,,,,0.38,0,0,0
South Africa,0.67,,,,,0.56,,,,,0.76,,,,,1.01,,,,,,,,0.44,,0.39,0.32
Mexico,0.81,,,,,0.31,,,,,0.51,,,,,0.63,,,,,,,,0.23,,0.3,0.27
Malaysia,0.36,,,,,0.22,,,,,0.28,,,,,0.46,,,,,,,,0.18,,0.18,0.16
Thailand,0.1,,,,,0.07,,,,,0.15,,,,,0.27,,,,,,,,0.22,,0.27,0.16
Indonesia,0.11,,,,,0.04,,,,,0.19,,,,,0.36,,,,,,,,0.14,,0.23,0.19
Turkiye,0.2,,,,,0.05,,,,,0.19,,,,,0.21,,,,,,,,0.05,,0.09,0.07
Chile,0.25,,,,,0.06,,,,,0.13,,,,,0.24,,,,,,,,0.06,,0.07,0.05
