,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,99.2458,96.9335,96.7485,100.0097,99.9064,99.0629,99.0756,99.8852,100.2445,96.1053,98.2175,100.91,99.6363,98.1436,98.5048,98.8487,97.5938,98.6333,101.4669,98.6023,101.0613,99.0163,,,103.235,96.6257,,97.3707,97.2201,,109.5589,97.5785,,101.0974,98.8539,94.8645,90.7925,,99.7165
1999-02-01,99.5515,97.0535,97.0416,100.1427,99.8678,99.2759,98.8978,99.7976,100.2558,96.379,97.8524,100.9259,99.6179,98.2956,98.7687,98.9769,97.801,99.6929,101.9774,98.5283,100.4835,98.9351,,,102.79,96.7982,,97.2964,98.3587,,107.8031,97.5132,,100.9395,98.72,95.0393,90.6089,,100.1547
1999-03-01,99.7789,97.1964,97.5758,100.272,99.7866,99.3333,98.7964,99.938,100.2437,96.6377,97.7383,101.0936,99.6967,98.5514,99.0718,99.0781,98.0787,100.0284,102.4013,98.3996,100.1614,98.9215,,,101.9289,97.0032,,97.2511,99.3926,,105.4027,97.5498,,100.9895,98.4801,95.1155,90.7618,,100.6824
1999-04-01,99.9621,97.3539,98.3827,100.4343,99.8712,99.4227,98.7672,100.1843,100.2429,96.8124,97.8762,101.1248,99.8508,98.9829,99.5474,99.0648,98.3868,100.2394,102.6676,98.2355,100.1952,98.985,,,100.8867,97.3386,,97.2808,100.1918,,103.5635,97.7035,,101.2324,97.8833,95.8211,91.4477,,101.1785
1999-05-01,100.171,97.5214,99.1423,100.6578,100.0907,99.4988,98.8125,100.3771,100.2581,97.0664,98.3143,101.1341,100.205,99.2068,99.8998,98.9967,98.6771,100.7786,102.8081,98.1852,100.3628,99.1512,,,99.9885,97.9297,,97.3773,100.6648,,102.6663,97.747,,101.2663,97.4873,96.8308,92.3474,,101.7199
1999-06-01,100.3056,97.7016,99.2905,100.9104,100.5029,99.5805,98.9474,100.4054,100.3415,97.4548,98.8506,101.118,100.6325,99.4546,100.0932,98.9688,98.9187,101.4641,102.8258,98.5562,100.72,99.4354,,,99.4799,98.6116,,97.5462,101.001,,102.7331,97.9087,,101.1741,97.7509,97.8736,93.486,,102.0727
1999-07-01,100.331,97.899,99.3938,101.1506,101.138,99.7247,99.1185,100.3443,100.4392,98.0391,99.336,101.1612,100.9364,99.9028,100.294,99.0529,99.1421,102.2345,102.6894,99.4242,100.9802,99.771,,,99.2126,99.2224,,97.8058,101.1855,,102.9962,98.3183,,101.1667,98.3634,98.5894,94.9494,,102.2269
1999-08-01,100.4751,98.1015,99.9406,101.3507,101.7937,99.901,99.3168,100.303,100.5543,98.6654,99.705,101.3349,101.1413,100.4099,100.6044,99.2007,99.3943,103.0185,102.45,99.9744,101.0019,100.119,,,99.0104,99.5988,,98.1153,101.3614,,103.0039,98.7472,,101.4996,98.999,99.1346,96.4762,,102.2779
1999-09-01,100.7153,98.2934,100.4964,101.531,102.311,100.1425,99.5126,100.3613,100.7728,99.0995,99.9998,101.6927,101.3576,100.7528,101.1192,99.3469,99.7116,103.7974,102.136,100.3095,101.0722,100.4895,,,98.7812,99.8325,,98.4372,101.3915,,102.6036,98.9542,,102.0987,99.5784,100.5177,97.566,,102.2882
1999-10-01,100.9009,98.4632,100.7247,101.7251,102.5903,100.3678,99.7165,100.4868,101.0248,99.2131,100.2622,101.9995,101.6081,101.13,101.6162,99.4492,100.0644,104.8692,101.7513,100.4596,101.3412,100.8372,,,98.5769,99.981,,98.7489,101.1995,,102.1818,99.0592,,102.7558,100.0444,101.4365,97.7338,,102.3198
1999-11-01,101.0003,98.622,100.7576,101.9643,102.7281,100.5271,99.9368,100.6287,101.1439,99.2688,100.4576,102.0195,101.8557,101.5072,101.8171,99.5303,100.4112,106.1007,101.3475,100.5714,101.5412,101.1044,,,98.5245,100.0244,,99.043,101.0665,,101.9325,99.2639,,102.9687,100.3413,102.1504,97.7312,,102.4886
1999-12-01,100.9597,98.7838,100.769,102.2489,102.6854,100.6915,100.1522,100.7435,101.1391,99.3824,100.5756,101.8551,102.1051,101.8493,101.8692,99.6307,100.7169,106.1019,100.9782,100.9794,101.8337,101.2861,,,98.7441,100.0294,,99.3051,101.2546,,101.9028,99.5517,,103.0137,100.4822,102.3668,97.8013,,102.5499
2000-01-01,100.8035,98.9572,100.649,102.5841,102.7357,100.8861,100.3161,100.8056,101.138,99.615,100.6675,101.8301,102.3242,102.1149,101.9045,99.783,100.9772,105.0651,100.6724,101.3815,102.1873,101.4444,,,99.1036,100.0716,,99.5092,101.5809,,101.8358,99.629,,103.2642,100.5672,102.1962,98.2263,,102.361
2000-02-01,100.6082,99.1336,100.3643,102.9701,102.9734,101.1637,100.4822,100.7746,101.1905,99.9698,100.83,102.0263,102.4696,102.3905,102.0802,99.9677,101.1743,104.0853,100.3727,101.7531,102.4775,101.6584,100.5442,,99.4401,100.2296,,99.6452,101.883,,101.6328,99.6354,,103.7349,100.6429,102.2655,99.082,,102.0324
2000-03-01,100.4149,99.2984,99.9931,103.3423,103.2646,101.445,100.6292,100.6166,101.2703,100.3259,101.0405,102.2507,102.5891,102.4161,102.2659,100.1589,101.278,103.5756,99.995,102.0803,102.6157,101.8656,100.4232,,99.6409,100.4744,,99.6761,101.9223,,101.5721,99.7748,,103.9486,100.5685,102.6524,99.9746,,101.8393
2000-04-01,100.2249,99.439,99.5862,103.5977,103.5075,101.6028,100.7307,100.4175,101.3305,100.6367,101.1547,102.3677,102.6609,102.4253,102.3484,100.3386,101.3095,103.2918,99.4811,102.2593,102.7719,102.0051,100.3587,,99.7481,100.7882,,99.562,101.766,,101.3883,99.9921,,103.8435,100.8376,103.1866,100.5263,,101.7123
2000-05-01,99.9936,99.565,99.3603,103.6355,103.7027,101.7127,100.8078,100.279,101.3928,101.0357,101.2197,102.4659,102.704,102.5989,102.3419,100.5043,101.2774,103.3967,98.9297,102.3786,102.8751,102.1101,100.4401,100.7941,99.8345,101.1806,,99.3909,101.6624,,101.4552,100.1747,,103.8229,101.1007,104.0527,100.8262,,101.9559
2000-06-01,99.776,99.6865,99.2592,103.514,103.8313,101.812,100.8522,100.2557,101.4572,101.2853,101.3591,102.5261,102.6756,102.7735,102.1755,100.6536,101.1862,103.7573,98.4981,102.3545,102.7882,102.1501,100.7094,101.4688,99.9635,101.5652,,99.2672,101.7448,,101.7302,100.2517,,103.8938,101.0598,104.5134,101.0129,,102.3044
2000-07-01,99.6257,99.8072,99.3845,103.2754,103.8312,101.8684,100.9132,100.2312,101.5163,101.3931,101.5636,102.4602,102.6119,102.9222,101.8662,100.7843,101.1072,103.7166,98.3402,102.3193,102.7182,102.1325,100.9352,102.0839,100.1786,101.8013,,99.2574,102.0715,,101.6769,100.3275,,103.8622,100.8847,104.0433,101.1063,,102.549
2000-08-01,99.4131,99.9222,99.5536,102.9297,103.7785,101.9524,100.9713,100.0241,101.4911,101.5471,101.6381,102.4425,102.4875,103.039,101.6857,100.9092,101.1208,103.213,98.4267,102.307,102.7299,102.0998,100.7772,102.5173,100.5627,101.7257,,99.2891,102.2584,,101.0363,100.4108,,103.7615,100.7688,103.4137,101.2229,,102.7641
2000-09-01,99.22,100.0158,99.8944,102.5561,103.6812,102.0884,100.983,99.4958,101.465,101.6751,101.55,102.3097,102.4023,102.8866,101.6191,101.038,101.2455,102.3893,98.7673,102.3729,102.6647,102.0532,99.995,102.6408,101.1988,101.507,,99.2567,102.1347,,99.4299,100.2405,,103.5026,100.8617,103.2873,100.9735,,102.9072
2000-10-01,98.9751,100.0648,100.2542,102.2356,103.497,102.2097,100.976,98.8397,101.4617,101.5312,101.4566,102.1078,102.3229,102.6822,101.4173,101.1645,101.275,101.3257,99.3903,102.3523,102.7027,101.9672,99.0398,102.5587,101.9734,101.304,,99.0867,102.0826,,97.4687,99.9332,,103.1215,101.1667,102.9101,100.674,,102.9176
2000-11-01,98.6034,100.0638,100.5525,102.0124,103.1451,102.226,100.908,98.3235,101.3951,101.3057,101.1675,102.0673,102.2444,102.4022,101.1982,101.25,100.8757,101.3566,100.0672,102.2851,102.6122,101.8355,98.5344,102.3603,102.7453,101.2248,,98.8664,102.1963,,96.0006,99.6426,,103.0963,101.3995,102.3195,100.5055,,102.7633
2000-12-01,98.049,99.987,100.8154,101.8019,102.656,102.0722,100.7799,98.1586,101.2568,101.0863,100.5147,102.0818,102.0859,102.0019,101.0948,101.2221,99.7781,102.0025,100.5067,102.0814,102.2561,101.6262,98.9262,102.0773,103.3855,101.2688,,98.7247,102.1159,,95.6331,99.3059,,103.1748,101.2894,101.7737,100.5209,,102.3442
2001-01-01,97.6024,99.8008,100.523,101.4757,102.2991,101.7954,100.5853,98.2298,101.0757,100.9175,99.6562,101.9629,101.7387,101.2788,100.8651,101.0156,98.3982,102.3577,100.4941,101.7746,101.7418,101.3189,99.6901,101.7581,103.8108,101.3894,,98.762,101.6085,,95.6553,98.9356,,103.1033,101.0255,101.6413,100.3591,,101.7693
2001-02-01,97.4354,99.5513,99.7158,100.9353,102.0401,101.4747,100.2863,98.412,100.8545,100.8352,98.9287,101.6417,101.3317,100.1244,100.4565,100.7254,97.2861,102.1092,100.2685,101.4541,101.0837,100.9082,100.0949,101.4376,103.8608,101.3624,,98.9033,100.9408,,94.9434,98.6145,,102.9879,100.8823,101.525,99.9054,,101.2785
2001-03-01,97.4932,99.282,99.0188,100.3004,101.6908,101.1615,99.9366,98.651,100.6289,100.6296,98.398,101.2875,101.0275,99.1876,99.8851,100.4663,96.8558,101.0888,100.1327,100.8949,100.506,100.4477,99.5961,101.1416,103.3798,101.0996,,99.0533,100.1956,,96.8578,98.3795,,102.721,100.7068,101.5893,99.1061,,100.6629
2001-04-01,97.595,99.0147,98.7405,99.7343,101.3231,100.821,99.5917,98.9325,100.4254,100.0384,97.9903,101.0023,100.9093,98.8439,99.33,100.3155,96.8487,99.0594,100.275,100.1823,100.2558,100.0293,98.5895,100.8946,102.685,100.7282,,99.1483,99.09,,101.7905,98.1773,,102.4189,100.2075,101.4609,98.315,,100.2753
2001-05-01,97.7086,98.7502,98.694,99.3633,101.0854,100.4702,99.3406,99.2782,100.3024,99.58,97.6882,100.8619,100.9023,98.8525,99.0031,100.225,96.9387,97.4138,100.5026,99.6618,100.1247,99.7549,97.6069,100.7262,102.1655,100.1933,,99.1992,98.2774,,105.3511,97.9779,,102.191,99.5424,101.0714,97.749,,100.0452
2001-06-01,97.9594,98.4816,98.7987,99.1281,100.8812,100.2075,99.1558,99.6986,100.23,99.354,97.5605,100.7313,100.8459,98.7452,98.8359,100.1264,96.9151,96.4555,100.511,99.3306,100.1519,99.5362,97.0213,100.6293,102.0958,99.474,,99.2288,97.9121,,105.9918,97.8066,,101.972,99.0174,100.6826,97.3265,,100.129
2001-07-01,98.251,98.2057,98.7482,98.9621,100.5215,100.0313,99.0261,100.082,100.1355,99.3153,97.6283,100.5616,100.6846,98.5316,98.6027,99.9771,96.7671,96.7052,100.0688,99.0695,100.121,99.3121,96.7266,100.4402,102.2735,98.7012,,99.2531,97.4528,,105.0078,97.6507,,101.9852,98.6606,100.7192,96.7601,,100.308
