,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,20.8485,-904.925,2.08,0.081,3.8075,-1.2917,5.573,1.461,-0.2431,-2.4093,1.774,1.21,2.1421,-0.279,0.336,3.077,,0.2559,0.04,0.5252,0.346,,,,335.7,0.2583,,-3.323,16.1667,,-0.5381,0.1183,-96.7585,,63.986,-3.513,,,
1999-04-01,8.7778,-964.55,0.491,0.918,2.9785,-0.8371,1.586,1.534,0.0405,0.2886,3.516,1.142,0.1348,0.061,-0.035,0.363,,-0.1358,0.581,0.5765,0.4991,,,,-727.3,2.5151,,4.289,18.244,,0.6054,1.5509,-76.1875,,76.259,-0.993,,,
1999-07-01,10.129,-844.225,-0.153,0.938,-1.1962,-1.4063,4.883,1.979,0.6225,1.4412,-4.314,1.239,0.1879,-0.065,0.207,0.871,,0.0784,0.468,0.7229,0.3692,,,,4267.9,-1.501,,3.067,22.682,,0.2604,2.7541,51.1111,,40.139,-4.842,,,
1999-10-01,21.0602,-963.15,3.594,3.041,1.3664,2.5167,7.67,0.035,0.9352,0.2797,4.602,1.211,0.6224,0.234,0.667,9.861,,0.2397,0.254,0.4969,0.504,,,,2156.0,2.7876,,3.5,24.3283,,1.2384,3.5396,105.7266,,62.035,4.195,,,
2000-01-01,4.0392,-363.725,3.269,2.953,2.345,1.5273,4.918,0.196,0.3449,2.3453,2.388,1.143,0.0856,0.056,0.838,3.633,,0.1037,0.198,0.2485,0.1573,,,,1327.3,1.63,,0.8358,23.8998,,0.4514,1.243,79.6591,,64.054,3.654,,,
2000-04-01,22.611,310.35,-1.61,2.915,3.1023,-4.0742,5.369,-0.149,0.3105,2.5993,9.617,1.215,1.6496,0.326,0.971,6.727,,0.0257,0.396,-0.0871,0.3492,,,,1808.6,0.4509,,0.6722,19.2782,,0.6362,1.9198,317.0809,,42.846,6.481,,,
2000-07-01,14.3082,-297.35,3.389,3.334,4.4539,-0.0163,8.418,-0.097,-0.3157,-0.27,7.463,1.125,-0.4801,0.304,1.345,9.58,,0.3245,0.221,0.0221,0.0755,,,,1448.3,3.0803,,3.5842,16.0762,,0.2155,1.6514,86.7102,,120.023,4.099,,,
2000-10-01,13.586,23.05,1.659,2.026,5.759,0.8594,10.06,0.821,-0.0302,6.5238,-3.208,1.049,2.5432,0.415,0.587,10.418,,0.3747,0.326,0.5466,0.4114,,,,2867.0,2.0168,,1.9978,13.9329,,1.281,1.856,314.1286,,114.505,3.583,,,
2001-01-01,-7.6578,501.025,-0.222,-0.672,2.9239,1.8838,6.116,1.063,1.1036,0.0941,7.648,1.007,0.4692,0.866,0.309,0.318,,0.3072,0.435,0.3619,0.0712,,,,381.5,2.0052,,0.363,13.8826,,0.6829,-2.9763,207.3784,,99.624,12.617,,,
2001-04-01,-2.89,515.375,3.418,-0.096,3.2926,2.8394,7.478,-0.476,0.7543,0.0848,6.045,1.106,-0.4581,-0.097,0.538,8.411,,-0.3642,0.098,0.4875,0.4056,,,,3015.4,-0.6682,,-3.7312,11.9183,,-0.8622,0.6584,157.791,,116.572,6.972,,,
2001-07-01,-7.529,-577.225,1.577,-1.403,2.4038,0.7977,6.729,0.501,1.1187,3.9581,-0.598,1.015,2.0811,0.545,-0.189,3.237,,0.4624,0.035,0.1308,0.3125,,,,2513.3,2.0816,,1.9075,8.5018,,0.4415,1.5024,214.3149,,39.881,-0.536,,,
2001-10-01,-20.2072,-256.725,1.582,-3.327,1.6113,-1.8668,4.709,-0.088,-0.1265,3.0201,-5.439,0.95,-0.9964,-0.877,-0.132,4.392,,-0.02,0.759,-0.1367,0.2642,,,,102.9,0.8413,,3.9148,11.0421,,-0.0765,1.4044,254.4944,,-43.14,7.082,,,
2002-01-01,0.0732,-843.35,2.912,-4.187,3.7413,1.5986,1.966,-0.075,-0.3237,1.0894,-0.171,0.984,-0.5009,0.05,-0.735,0.826,,-0.0947,0.965,-0.1363,-0.0274,,,,-593.1,1.7136,,3.3655,13.2229,,1.2278,-3.0186,96.1574,,69.601,-4.678,,,
2002-04-01,5.2922,-627.025,3.038,0.362,1.3796,-0.9158,3.85,0.25,-0.0758,4.164,-2.569,0.979,2.5328,0.102,-0.152,1.348,,0.289,-0.122,0.2772,0.0474,,,,2703.1,2.8503,,2.7345,22.3345,,1.9795,0.9657,113.1878,,-30.683,5.526,,,
2002-07-01,6.3582,-392.625,-0.102,-0.136,1.0913,-2.5785,5.184,-1.716,-0.0935,3.1952,5.117,0.928,-0.0069,0.697,0.261,5.308,,0.3306,0.621,0.1566,0.0459,,,,1205.9,-2.7359,,4.9345,26.726,,0.9764,1.2591,410.4988,,37.259,14.478,,,
