,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,100.2277,98.0818,99.924,99.051,99.8606,,99.3272,100.3444,,,,103.4588,99.5406,,,,,,,,,,99.4127,99.6008,100.9672,97.3988,,97.0917,99.4654,93.4387,93.939,,,,,,,,
1999-02-01,100.4384,98.4838,100.409,99.3251,99.8209,,99.2993,100.4452,,,,103.3895,99.5452,,,,,,,,,,99.544,100.0272,101.8878,97.6951,,97.2562,99.6669,94.276,94.9391,,,,,,,,
1999-03-01,100.628,98.8811,100.9006,99.5571,99.8562,,99.3286,100.5297,,,,103.2868,99.5648,,,,,,,,,,99.7523,100.4993,102.8057,98.0879,,97.5025,99.8479,95.184,95.979,,,,,,,,
1999-04-01,100.7941,99.2587,101.3218,99.7323,99.9948,,99.4156,100.6067,,,,103.1759,99.6147,,,,,,,,,,100.0055,101.0085,103.6556,98.5444,,97.8224,100.0318,96.1926,96.8665,,,,,,,,
1999-05-01,100.9364,99.5971,101.6462,99.8565,100.2247,,99.5696,100.6739,,,,103.0835,99.7402,,,,,,,,,,100.252,101.4116,104.3947,99.0173,,98.1971,100.2222,97.258,97.5031,,,,,,,,
1999-06-01,101.0446,99.9038,101.8647,99.9454,100.5342,,99.7775,100.7334,,,,103.026,99.9289,,,,,,,,,,100.4132,101.8303,104.9965,99.4458,,98.603,100.4488,98.2474,97.9783,,,,,,,,
1999-07-01,101.1221,100.177,101.9537,100.0185,100.8967,,100.0094,100.7752,,,,103.0123,100.1475,,,,,,,,,,100.4143,102.2556,105.4296,99.7949,,99.0222,100.7228,99.0503,98.46,,,,,,,,
1999-08-01,101.1786,100.4173,101.8946,100.1044,101.2509,,100.2647,100.7924,,,,103.0536,100.389,,,,,,,,,,100.2939,102.6758,105.6553,100.0521,,99.4203,101.0315,99.6507,99.0914,,,,,,,,
1999-09-01,101.2282,100.6255,101.7181,100.2151,101.5641,,100.5304,100.7906,,,,103.152,100.6539,,,,,,,,,,100.1255,103.0785,105.6751,100.2379,,99.7708,101.3749,100.1497,99.9951,,,,,,,,
1999-10-01,101.2794,100.8147,101.4699,100.3576,101.8374,,100.7924,100.7803,,,,103.2922,100.9117,,,,,,,,,,99.9665,103.4459,105.5173,100.3708,,100.0666,101.7873,100.6483,101.144,,,,,,,,
1999-11-01,101.3328,100.9941,101.2273,100.5308,102.0753,,101.028,100.7595,,,,103.4406,101.1352,,,,,,,,,,99.8545,103.7566,105.2362,100.4701,,100.3021,102.2176,101.1555,102.4576,,,,,,,,
1999-12-01,101.3703,101.1593,101.0276,100.712,102.2808,,101.2287,100.7008,,,,103.5706,101.3148,,,,,,,,,,99.7909,103.9901,104.8461,100.5617,,100.4778,102.5761,101.613,103.8228,,,,,,,,
2000-01-01,101.3655,101.311,100.8721,100.8724,102.4717,,101.403,100.5922,,,,103.6669,101.458,,,,,,,,,,99.7714,104.1289,104.3833,100.662,,100.5915,102.8475,101.9651,105.0711,,,,,,,,
2000-02-01,101.3018,101.417,100.7564,101.0056,102.6554,,101.5785,100.4342,,,,103.703,101.5695,,,,,,,,,,99.765,104.1663,103.8968,100.783,,100.6522,102.9902,102.1706,106.0545,,,,,,,,
2000-03-01,101.2068,101.4701,100.6777,101.1032,102.8196,,101.7558,100.2261,,,,103.6532,101.6527,,,,,,,,,,99.7297,104.1035,103.4559,100.9154,,100.6654,103.0207,102.1826,106.6104,,,,,,,,
2000-04-01,101.0894,101.4733,100.6041,101.1534,102.9459,,101.9383,99.9954,,,,103.5075,101.7006,,,,,,,,,,99.6078,103.9496,103.084,101.0474,,100.6477,103.019,102.0123,106.7012,,,,,,,,
2000-05-01,100.9441,101.4307,100.5425,101.1633,103.0299,,102.1091,99.7722,,,,103.2782,101.7062,,,,,,,,,,99.4071,103.7185,102.7436,101.1761,,100.6171,103.009,101.7059,106.4455,,,,,,,,
