,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,102.1401,99.1435,101.7541,,101.261,101.1871,100.6101,101.2546,100.9713,99.2922,100.0566,103.743,102.6695,100.8688,100.9883,,,103.3417,100.213,100.2056,102.3972,101.8991,98.6694,,99.2915,98.033,,99.0372,,,,,,102.4108,100.5777,96.8928,,,90.73
1999-02-01,102.3481,99.2312,102.0954,,101.22,101.0203,100.5014,101.5505,100.8948,99.3709,100.0407,103.6054,102.4073,100.8328,101.0153,,,103.2414,100.5123,100.2296,102.4463,101.7642,98.7624,,99.6535,97.545,,99.1853,,,,,,102.4456,100.5633,96.5433,,,91.17
1999-03-01,102.3834,99.2597,102.3881,,101.101,100.9045,100.2873,101.5725,100.8735,99.5448,100.1129,103.4442,101.9934,100.9684,100.9539,,,103.3015,100.7013,100.2922,102.3904,101.5241,98.7858,,100.0058,97.0596,,99.3347,,,,,,102.5219,100.3547,96.3416,,,91.5
1999-04-01,102.3786,99.2836,102.5045,,101.0117,100.8438,100.0628,101.5487,100.9705,99.6947,100.2788,103.3002,101.6649,101.2349,100.8204,,,103.3763,100.7234,100.4434,102.3467,101.3041,98.8457,,100.4078,96.9257,,99.4587,,,,,,102.7474,100.0164,96.3999,,,91.72
1999-05-01,102.4221,99.3388,102.5095,,101.0529,100.8618,99.9174,101.4575,101.0961,99.8707,100.5546,103.2821,101.5948,101.5303,100.5471,,,103.4782,100.6546,100.568,102.3413,101.2103,98.9743,,100.8497,97.1994,,99.5512,,,,,,102.9117,99.8121,96.483,,,91.87
1999-06-01,102.4333,99.4186,102.5193,,101.249,100.9922,99.87,101.2696,101.2434,100.2042,100.8552,103.4016,101.7867,101.6887,100.2144,,,103.5887,100.5793,100.6079,102.3923,101.2695,99.1058,,101.1921,97.7877,,99.6065,,,,,,102.974,99.6996,96.7138,,,91.97
1999-07-01,102.3778,99.5096,102.5447,,101.5338,101.1912,99.9184,101.1487,101.4199,100.629,101.0729,103.5353,101.8994,101.6372,100.2455,,,103.7035,100.5561,100.7274,102.4759,101.4124,99.1918,,101.4511,98.2866,,99.6307,,,,,,102.9249,99.6574,96.6828,,,92.12
1999-08-01,102.3162,99.6033,102.608,,101.7917,101.4212,99.9712,101.0936,101.6737,100.9819,101.3759,103.6421,101.9795,101.5393,100.5295,,,103.7708,100.5901,100.8815,102.515,101.5808,99.3506,,101.6341,98.4916,,99.6899,,,,,,102.9303,99.8699,96.5266,,,92.45
1999-09-01,102.3059,99.6965,102.6165,,101.9966,101.6662,100.0492,101.1681,101.9604,100.8065,101.6091,103.7425,102.1037,101.5445,100.9372,,,103.8375,100.6923,100.969,102.5115,101.7812,99.4657,,101.7627,98.4873,,99.8862,,,,,,103.1746,100.2692,96.6536,,,93.12
1999-10-01,102.2854,99.7886,102.7271,,102.112,101.9156,100.1757,101.2295,102.1923,100.4909,101.6723,103.8675,102.3263,101.6602,101.3485,,,103.9657,100.8804,100.9842,102.5073,102.027,99.552,,101.8232,98.3695,,100.2983,,,,,,103.5135,100.5176,97.2017,,,93.97
