,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,-2.5856,2.3288,-2.817,-0.1468,3.7576,2.0488,-1.9899,-5.6255,,,3.0037,-2.309,0.9013,1.9582,,0.7578,-2.0419,,-3.3227,-2.1642,-7.6211,,0.8677,-0.3016,5.9927,-5.0414,,1.6362,,,3.2567,,,,-7.8299,-2.9088,,,
1999-04-01,-2.8535,2.4604,-2.1573,-0.2523,3.55,10.1612,-0.7914,-5.9295,,,3.9096,-3.2456,1.2329,6.3927,,3.8475,-1.2829,,-3.9135,-2.4633,-8.381,,1.1107,-0.9635,4.3539,-4.343,,-1.0132,,,-1.2266,,,,-9.3325,-1.8839,,,
1999-07-01,-3.1437,2.5761,-2.247,0.7242,2.2614,11.7396,-1.3592,-5.6529,,,3.987,-3.7885,0.6808,5.3072,,6.4413,-0.7071,,-4.7087,-2.9806,-9.509,,3.4458,-0.6969,3.7893,-4.0948,,-0.2435,,,-0.8913,,,,-8.3765,-0.5894,,,
1999-10-01,-3.3003,2.5239,-1.2731,0.36,3.72,10.0689,-1.7366,-4.7011,,,4.3069,-3.6557,0.2634,5.9133,,9.2788,-1.0529,,-7.5272,-1.85,-10.1856,,1.598,-0.8582,3.5053,-3.8344,,-1.8341,,,-1.3361,,,,-8.1374,-3.1151,,,
2000-01-01,-3.7901,2.6198,-1.5966,2.0864,1.0562,8.595,-1.1893,-4.8383,,,3.1542,-4.0651,0.583,6.5472,,10.9869,-1.7534,,-4.5934,-0.7009,-11.734,,1.958,-1.9021,1.5878,-3.2841,,-0.3277,,,-2.775,,,,-8.1085,-3.7479,,,
2000-04-01,-3.7625,2.8467,-1.5769,2.2451,1.5609,10.7667,-1.2484,-4.8902,,,3.3231,-4.3281,-0.6439,7.0623,,11.6065,-0.8543,,-3.1927,-0.4762,-11.0839,,1.9553,-1.3974,1.2533,-4.152,,0.3405,,,-4.1398,,,,-6.7268,-3.7167,,,
2000-07-01,-4.0501,2.7614,-2.0053,2.7528,0.1033,9.7632,-2.3057,-3.2831,,,3.5405,-4.6423,-0.5542,9.1121,,15.8604,0.4616,,-3.2,-0.9467,-10.083,,2.0329,-1.1338,2.6297,-3.8039,,-1.2341,,,-3.8934,,,,-9.1775,-4.8198,,,
2000-10-01,-4.0737,2.2915,-2.1379,3.0842,1.6948,12.6855,-2.6335,-3.3821,,,5.5451,-4.2967,-0.5224,6.1426,,18.0357,-3.688,,-2.0438,-0.2194,-10.398,,1.2214,0.6153,1.562,-5.0998,,0.9108,,,-3.4553,,,,-11.0684,-5.6778,,,
2001-01-01,-4.093,2.1212,-1.0133,3.715,1.7609,5.8404,-1.2442,-2.3752,,,3.6403,-4.2715,0.4953,8.2796,,14.8983,-2.8274,,-1.0205,-2.0563,-10.1468,,2.664,-0.5267,1.7728,-4.7858,,0.2112,,,0.2703,,,,-7.9538,-6.4093,,,
2001-04-01,-3.5947,1.655,-2.1151,2.5439,0.8417,6.1958,-0.8244,-2.0909,,,3.674,-4.8414,-0.2857,7.9327,,15.0225,-2.1707,,0.1391,-1.322,-11.4858,,0.6192,1.6824,1.2038,-4.7031,,1.2854,,,3.6659,,,,-7.5354,-5.3356,,,
2001-07-01,-3.9039,1.8982,-2.0883,1.4401,1.3942,4.2116,-0.0544,-1.7087,,,5.3565,-4.3391,-0.4255,8.0913,,16.7829,-0.5488,,-0.314,0.0349,-10.8356,,1.2943,-0.39,-0.6499,-4.6325,,-0.7014,,,1.7197,,,,-3.7144,-4.6503,,,
2001-10-01,-3.3118,2.2991,-1.8641,1.1308,2.1078,9.908,0.3344,-2.7518,,,5.9189,-4.0895,0.7142,8.2199,,14.5877,-0.0982,,-2.0259,0.2093,-9.18,,1.0775,0.5843,-0.694,-3.6837,,0.329,,,2.1791,,,,-5.5852,-2.5177,,,
2002-01-01,-3.8061,2.735,-1.8076,2.4467,1.3944,3.2266,1.1477,-2.6527,,,4.9107,-3.7227,0.2416,8.2735,,12.1808,-0.6429,2.278,-3.3096,2.6346,-8.8053,,3.5592,0.9099,1.3964,-2.6421,,1.6033,,,0.297,,,-6.8062,-5.9053,-5.4722,,,
2002-04-01,-4.2129,2.6703,-2.7371,1.8636,1.0081,6.3148,1.8635,-3.5584,,,4.997,-3.7064,-0.5938,7.7782,,12.9754,-2.2859,-3.0578,-0.9297,0.8769,-9.1662,,2.2439,1.6302,0.5659,-3.4755,,0.5792,,,-0.3547,,,-6.6065,-5.3537,-4.6069,,,
2002-07-01,-4.1826,2.4532,-1.5566,1.4038,1.0099,8.4501,2.6717,-3.8864,,,4.1143,-3.2134,-0.4204,8.6504,,11.031,-0.463,0.4801,-2.1266,2.1074,-8.7841,,1.5537,2.0852,0.5271,-0.9959,,0.6224,,,-0.4855,,,-5.7227,-5.5277,-5.3264,,,
