,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,69.3199,99.8727,71.8,72.2939,77.97,91.3508,78.272,,72.25,72.6511,81.9127,68.0795,72.4623,75.8417,72.5453,72.4,74.6197,69.4742,,72.6258,70.5261,,71.0786,34.825,64.6178,34.0689,66.6454,43.4152,46.1696,32.36,7.24,61.7514,59.1056,68.1409,45.1245,69.3,43.5144,,14.599
1999-02,69.4043,99.4655,71.9,72.3729,78.21,91.6595,78.3653,,72.61,73.2075,81.9063,68.1198,72.5954,76.0254,72.7038,72.5,74.0859,69.8729,,72.765,70.549,,71.36,34.4104,64.8918,34.4267,66.5124,43.4152,46.7901,32.7724,7.4698,62.1031,59.1481,67.812,45.7235,69.3,44.2487,,15.202
1999-03,69.6153,99.5673,72.3,72.689,78.47,91.7553,78.3653,,73.24,73.5553,82.2159,68.4202,72.7285,76.2092,72.7633,73.0,73.8724,70.0723,,72.765,70.8505,,71.0035,34.3275,65.0004,34.8053,66.4459,43.4152,47.2248,32.7099,7.7726,62.7361,59.5241,69.314,46.2643,69.3,44.6647,,15.6261
1999-04,70.1216,100.0764,72.6,73.084,78.69,91.9084,78.7385,,73.4,73.764,82.3978,68.6732,72.9281,76.768,73.0408,73.2,74.0859,70.471,,72.765,71.3013,,70.6561,34.4104,65.1649,35.0002,66.3794,43.5072,47.6582,32.4912,8.1509,63.2284,59.7478,70.035,46.7967,69.4,45.0155,,16.0996
1999-05,70.1216,100.0764,72.8,73.242,78.7,91.7022,78.7385,,73.42,73.9031,82.5542,68.671,73.0612,76.9591,73.1696,73.1,74.5129,70.77,,72.9041,71.3859,,69.953,34.742,65.0552,35.1053,66.7119,43.4612,47.9449,32.3975,8.3906,63.6504,59.8184,69.9986,47.1045,69.4,45.2358,,16.457
1999-06,70.1216,99.7709,72.7,73.4001,78.69,91.8098,78.8318,,73.14,74.1118,82.6754,68.6857,73.0612,76.915,73.0309,73.2,74.7264,70.9693,,72.765,71.4954,,69.0422,34.825,64.6726,35.1719,66.5789,43.6911,48.2599,32.2912,8.6635,63.791,59.9018,70.001,47.3375,69.4,45.3581,,16.7713
1999-07,70.3325,99.3637,72.4,73.5581,78.48,91.833,79.205,,73.06,73.9726,82.3148,68.9834,73.2608,76.7827,73.1399,73.0,74.94,70.77,,72.765,71.4795,,68.6293,35.1566,64.4523,35.5552,66.5789,43.7371,48.5788,31.9476,8.9944,63.58,59.9435,68.6387,47.6703,70.0,45.4968,,17.2443
1999-08,70.5013,99.6691,72.6,73.7161,78.61,92.2875,79.1117,,73.46,74.3552,82.3148,69.2772,73.3273,76.8341,73.0507,72.7,75.2602,71.1687,,72.8246,71.368,,69.1756,35.3225,65.1111,35.7542,66.4459,43.5532,48.8523,31.6539,9.3727,63.9317,60.0617,68.5767,47.845,70.1,45.7252,,17.4443
1999-09,70.8388,99.9745,72.8,73.9531,78.74,92.4618,78.9251,,73.8,74.703,82.8988,69.4105,73.4604,77.0915,73.2093,73.4,75.4737,71.3681,,72.8246,71.3521,,70.7785,35.5712,65.2756,35.8651,66.3794,43.7371,49.3243,31.4352,9.9337,64.846,60.1978,69.9032,48.1029,70.0,45.8802,,17.7025
1999-10,70.9654,100.1782,72.8,74.0321,78.79,92.4609,78.8318,,73.86,74.8421,82.9946,69.3844,73.7266,77.2532,73.3084,73.7,76.0075,71.4677,,73.1228,71.5481,,70.7783,36.2345,65.7689,36.292,66.5124,43.8291,49.6367,31.454,10.5622,65.5493,60.4114,70.0969,48.3857,70.1,46.0352,,17.945
1999-11,71.0076,99.5673,72.9,73.9531,78.82,92.3727,79.0184,,73.95,74.9812,82.768,69.496,73.8597,77.2459,73.467,74.0,75.9007,71.5674,,73.1825,71.9651,,70.0799,36.3175,65.6582,36.6368,66.3794,43.9211,50.0781,31.4852,11.006,66.112,60.5126,70.276,48.5604,70.3,46.2555,,18.1657
1999-12,71.0076,99.2619,73.1,74.0321,79.17,92.6846,79.2983,,73.7,75.0508,82.9563,69.8094,73.9262,77.5473,73.6949,74.1,75.9007,72.4645,,73.6795,72.1442,,70.0118,35.737,65.5486,36.8565,66.5789,44.059,50.5798,32.0351,11.6606,66.6747,60.6725,70.7251,48.9514,70.4,46.5002,,18.3946
2000-01,71.2185,99.1601,72.6,73.8741,79.17,92.799,79.4848,,73.55,74.9464,82.2797,70.039,74.0593,77.562,73.8337,74.5,75.4737,72.2651,,73.4608,72.0029,,70.9365,35.737,65.8395,37.0851,66.6454,44.5649,51.259,32.4537,12.2268,67.8703,60.7789,69.9334,49.6669,71.6,47.1039,,18.8232
2000-02,71.6404,98.8547,72.8,74.3482,79.27,93.1478,79.5781,,74.0,75.4039,82.669,70.1381,74.3254,78.1396,74.1111,74.8,75.2602,72.8632,,73.9578,71.8387,,71.8595,35.6541,66.0409,37.1333,66.1798,44.427,51.7137,32.4787,12.6797,68.433,61.1174,69.7852,50.2591,71.8,48.1889,,19.019
2000-03,72.2311,99.0583,73.0,74.9012,79.64,93.116,79.5781,,74.66,75.9376,83.0648,70.4161,74.5251,78.6065,74.3986,74.9,74.94,73.3616,,74.1765,71.9472,,70.8615,35.9858,66.373,37.215,65.9138,44.8869,52.0003,32.3287,13.0499,69.0659,61.5624,71.4932,50.7032,71.8,49.0129,,19.1407
2000-04,72.2733,99.2619,73.3,74.6642,79.64,93.1974,79.5781,,74.78,76.0138,82.9914,70.7089,74.5916,78.7964,74.5373,75.1,75.367,73.86,,74.1169,72.7861,,70.4441,36.3175,66.1063,37.3714,65.8473,45.4848,52.2962,32.5099,13.3532,69.3473,61.8584,71.8386,51.1473,71.7,49.5024,,19.3111
2000-05,72.3577,99.3637,73.5,74.9802,79.8,93.1516,79.4848,,75.02,76.3188,83.3871,70.8264,74.8578,79.0338,74.7553,75.2,75.9007,74.458,,74.1765,73.1962,,70.023,36.4833,65.7731,37.3751,65.7142,45.6687,52.4917,32.7849,13.6494,69.8396,61.9894,72.0476,51.3694,71.8,49.7553,,19.649
2000-06,72.7374,99.1601,73.6,75.4543,80.0,93.4983,79.858,,74.94,76.5475,83.3711,71.0408,75.0574,79.2237,75.0328,75.6,76.221,74.9564,,74.7531,73.5624,,69.3874,36.6491,66.1063,37.4611,65.7807,45.9447,52.8026,32.9473,13.742,70.3319,62.1315,71.7704,51.6654,72.3,49.7471,,20.1501
2000-07,72.9062,98.8547,73.3,75.6913,79.87,93.5676,80.2312,,74.75,76.2425,82.9754,71.4723,75.1905,78.9705,75.1815,75.3,76.4345,75.1557,,74.8127,73.8042,,68.9724,36.8979,66.373,38.0644,65.5812,46.3586,53.0086,33.3722,14.0505,70.8242,62.214,70.5187,52.1836,72.7,49.7308,,20.5107
2000-08,72.9062,99.1601,73.3,75.6123,80.02,93.3255,80.0446,,75.08,76.1663,83.0329,71.7721,75.257,79.287,75.1518,75.3,75.9007,75.5544,,74.8127,73.8331,,69.3832,36.732,66.705,38.563,65.6477,46.5425,53.2999,33.5409,14.3557,70.6132,62.3748,70.6286,52.4796,72.8,49.8858,,20.7117
2000-09,73.2859,99.0583,73.8,75.9284,80.43,93.7932,80.2312,,75.99,76.7,83.6201,71.9577,75.3901,79.9596,75.677,76.0,75.4737,75.8535,,75.0314,73.7664,,70.7785,36.815,67.5705,38.6516,65.5812,46.7725,53.6892,33.5222,14.7971,71.3166,62.7542,72.0997,53.0718,72.8,50.0979,,20.9851
2000-10,73.4125,99.0583,73.8,76.0864,80.33,93.6927,80.1379,,76.12,76.8525,83.802,72.1416,75.6563,80.0308,75.4887,76.0,75.9007,76.3519,,75.1706,74.0669,,70.7783,37.2295,67.5041,38.7057,65.5147,46.9105,54.0589,33.9096,15.2557,71.8792,63.1336,72.922,53.3679,73.0,50.1713,,21.4279
2000-11,73.4546,98.7529,74.0,76.3234,80.51,94.1394,80.2312,,76.11,76.9287,83.8498,72.3212,75.8559,80.0071,75.7365,76.4,75.9007,76.6509,,75.4489,74.6521,,70.991,37.3125,67.1046,38.8296,65.3817,47.0025,54.5212,34.3594,15.8219,72.1605,63.3471,73.2589,53.738,73.1,50.3426,,21.7536
2000-12,73.4125,98.8547,74.0,76.4024,80.47,94.0687,80.8842,,75.66,76.8525,83.7669,72.5715,75.9224,79.8884,75.5383,76.3,75.9007,76.6509,,75.5881,74.9298,,71.0619,36.9808,67.3702,39.0585,65.3817,47.1404,55.1114,35.028,16.2121,72.3012,63.4186,73.4874,53.886,73.2,50.5711,,22.1104
2001-01,73.8766,98.8547,73.5,76.0864,80.13,94.0012,80.6043,,76.31,76.7,83.5179,72.5971,76.2551,79.833,75.459,76.9,75.367,76.0528,,75.6703,75.2054,,71.7877,36.8979,68.1039,39.2813,65.3152,47.7383,55.4169,35.1405,16.6184,72.8639,63.6321,72.3143,54.7002,74.6,51.1013,,22.7206
