,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,1.7671,-3.1846,-0.2738,11.1397,2.5688,-0.9709,-0.4279,3.4129,8.1007,10.0671,6.2254,8.1548,-5.8625,2.1481,0.4771,-2.5128,9.3348,14.635,8.9534,3.4849,3.1198,,,17.5362,4.3188,0.8471,,1.1687,6.4456,-43.7356,-6.3549,-6.384,6.6306,27.6032,7.722,-4.6848,,,
1999-04-01,4.1793,-0.3341,-0.2048,10.0582,2.3063,-0.3227,3.0436,1.2042,8.5001,14.3649,7.5445,4.9538,-5.1782,9.0479,2.7807,1.381,5.5717,16.5872,7.9525,2.953,2.0211,,,42.7209,11.1266,0.4634,,-5.7118,4.0059,-37.4547,-13.3143,-5.7211,7.0647,34.6068,7.8444,5.5181,,,
1999-07-01,7.8129,3.5578,6.1862,11.6218,5.4672,6.4687,6.5276,5.614,8.2034,6.929,7.9887,8.4835,-0.0471,14.1933,5.6088,6.0491,18.2928,14.801,7.3079,6.4782,2.044,,,3.2324,15.3431,2.8372,,2.6217,9.1362,-38.6284,-12.6153,1.428,6.7546,11.7046,12.2078,8.3122,,,
1999-10-01,6.1694,7.8803,8.308,10.3624,8.3666,7.6069,10.6199,8.5584,9.9823,14.0064,5.76,10.7151,6.3437,20.3651,10.5014,7.182,21.8946,22.4913,9.1869,10.8155,6.9502,,,13.2882,18.1563,18.7147,,7.1649,7.9136,12.3186,-9.235,0.5646,7.5023,26.4494,19.1027,10.8436,,,
2000-01-01,8.0588,13.4212,9.9454,10.0182,12.2726,12.2657,15.1947,12.1005,11.0108,7.5235,9.9118,8.8559,12.2534,19.1465,15.3008,6.1192,25.8506,22.9524,8.8111,13.2334,9.772,,,19.3702,19.2901,14.4698,,5.7518,11.7893,14.7285,7.9059,20.5572,8.3427,29.1636,23.7167,16.3557,,,
2000-04-01,9.9861,16.0087,13.4446,11.4932,14.9436,15.182,13.4785,13.26,11.1922,12.3289,12.4953,12.6344,12.7555,16.2204,13.9298,3.4014,25.7408,25.5836,12.2536,14.8736,7.2824,,,16.1979,17.6519,13.5171,,12.9183,18.007,32.9446,22.8146,24.4813,2.197,25.1415,26.0915,12.1454,,,
2000-07-01,9.3283,13.072,7.5373,8.6366,13.2658,10.4683,12.8774,14.9269,13.282,16.1792,13.1371,9.8446,14.8362,16.5425,11.4111,3.5974,36.714,23.9128,4.4227,14.4476,7.7118,,,21.001,21.4083,24.9831,,4.5745,15.6282,26.7047,26.8133,13.8435,8.9109,19.7946,24.5254,12.9777,,,
2000-10-01,5.9695,10.0697,8.3522,5.9191,13.6413,12.1154,16.4127,6.4159,15.1045,14.192,13.6457,10.4245,12.2363,12.8851,9.2324,2.5827,10.1628,23.4718,5.4733,14.6393,9.3349,,,22.7259,10.2515,5.7279,,10.3811,14.3991,31.2149,18.5193,35.6597,4.9921,14.4369,25.5966,20.0859,,,
2001-01-01,3.1508,0.6817,10.8715,0.788,10.3813,8.4006,10.8598,7.2499,7.4044,12.9443,7.334,9.1126,6.4772,6.1148,4.6898,4.5552,1.5916,28.3046,2.995,10.3191,3.3779,,,13.1876,7.633,11.7692,,2.5845,12.858,18.9767,11.1136,5.6973,7.4984,6.6266,17.3,15.8209,,,
2001-04-01,-2.8329,-6.0743,2.7428,-1.9706,4.1584,-1.5583,7.3663,6.3784,3.4334,5.9875,0.771,4.0888,7.148,2.4431,0.8033,3.0062,-8.4561,14.8427,3.8543,7.3248,5.0568,,,13.5152,-1.2359,14.8755,,10.3921,2.7809,3.4581,5.7829,-0.339,12.5208,-0.7246,12.247,11.0108,,,
2001-07-01,-9.9698,-9.6352,-0.1342,-4.837,1.9986,-2.7999,5.3376,-0.5315,0.8434,-1.4929,-2.2632,3.6551,-0.6281,-3.1821,-1.1844,5.4228,-23.6897,12.4915,6.7279,4.6655,0.7442,,,4.237,-6.9761,2.9346,,1.0159,-0.6801,-5.5587,3.2833,13.82,4.376,-4.5826,7.8889,8.0599,,,
2001-10-01,-12.2215,-10.9808,-1.5121,-4.6677,-4.2435,-3.0071,1.2673,-0.5023,-5.2079,-2.7189,-2.2039,-0.7515,-3.4997,2.1887,-2.5385,5.3115,-12.1506,9.5503,-0.1799,0.849,0.1973,,,-1.8603,-5.7593,2.9874,,-3.946,-5.7308,-10.9003,-0.03,-5.4371,6.2851,-1.3391,-0.4527,3.5724,,,
