,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,9631172.0,4362626.714,1593851.052,788190.393,1554426.45,464956.846,2285019.608,497843.023,465395.168,184532.987,268469.085,660962.348,1303843.519,140814.938,268843.406,157048.217,129049.651,102952.286,78961.628,226174.846,132701.409,7402055.957,1454268.402,305795.758,522968.913,326943.708,161717.04,72552.391,380798.433,98741.812,39475.706,178944.157,58798.913,148440.319,41661.983,91589.329,60950.313,,84925.9
2000-01-01,10250952.0,4423330.247,1681704.382,864938.171,1640509.117,489972.14,2340062.542,531445.553,501507.593,197225.012,285500.467,718799.036,1377474.566,151384.158,284452.921,187140.477,142905.247,120376.921,83571.192,236999.143,142477.482,7791582.632,1610281.532,329115.634,576181.935,360422.761,189514.91,82541.272,442736.363,113573.507,63049.144,198562.939,64536.731,156715.674,47699.612,97008.547,71161.237,,128635.403
2001-01-01,10581929.0,4392235.775,1751039.518,895022.95,1706652.728,502541.876,2410461.135,568290.537,534653.181,203856.304,296832.039,777760.77,1446956.591,160466.63,293282.979,194280.211,145664.897,135459.512,89758.887,244675.419,150644.123,8156911.306,1780221.624,356085.681,625155.61,395489.416,184137.518,91382.317,469269.468,134539.224,90906.409,207334.66,69419.634,168861.025,55126.775,104847.848,77621.06,,157475.64
2002-01-01,10929108.0,4332958.17,1820253.96,933458.616,1761716.744,500921.187,2438842.475,603346.011,556017.961,209615.124,308048.018,831637.606,1498129.655,164747.131,303180.943,193962.385,152434.414,150891.045,94270.123,251565.649,158165.792,8433121.058,1954518.208,383365.415,693876.445,447499.261,189605.919,106645.222,493918.871,148882.206,133128.13,215469.956,74036.355,181361.825,62412.569,109395.071,84935.412,,190700.479
2003-01-01,11456450.0,4328744.001,1922454.651,981201.546,1809244.947,506666.645,2453765.424,649158.832,568969.305,213551.001,320521.875,890124.469,1547430.084,168367.472,311995.247,201396.507,153858.055,161518.93,100770.237,257254.388,162064.171,8676761.649,2206700.12,429492.721,740406.869,516381.051,215807.654,116812.181,521163.186,164559.678,173592.02,224738.559,80867.438,198497.133,68484.731,114780.304,96507.084,,232809.603
2004-01-01,12217196.0,4373622.713,2020695.341,1044530.349,1890631.046,521898.821,2510295.105,695251.123,587249.64,223843.884,335536.148,953556.43,1611366.652,176144.047,329325.283,221736.861,161321.002,173372.807,107783.609,268888.518,168921.549,9046366.9,2598803.603,490059.444,803251.419,588460.321,258742.262,129512.023,583558.442,187617.413,214283.445,247537.074,92324.629,214930.203,75573.229,125177.377,109614.735,52540.393,300122.909
2005-01-01,13039197.0,4399354.673,2136977.559,1111671.361,1959294.361,541207.835,2538909.443,750952.079,611211.79,235732.184,347497.369,1028914.546,1657207.619,182722.349,343990.714,247643.319,169844.162,188957.551,113626.109,281899.521,175916.269,9369308.306,3007936.422,558252.185,846585.334,652433.692,328205.691,143977.689,630958.525,226717.268,250100.63,262774.904,104671.18,221061.913,80889.141,133567.803,123262.185,63091.787,380895.811
2006-01-01,13815583.0,4421285.536,2248946.861,1170331.675,2050547.358,575366.059,2646277.005,818143.616,648561.322,250042.138,370092.105,1113754.558,1722726.02,191831.45,360759.781,275895.959,181957.212,205166.955,119949.093,297154.68,184468.134,9867106.753,3523707.734,649144.21,889163.338,724231.794,376397.603,161266.953,701661.324,272884.428,292556.843,283706.327,124712.628,241720.218,87155.662,143539.042,139181.031,77536.0,474445.188
2007-01-01,14474228.0,4455252.516,2359861.995,1233717.564,2153963.945,612111.996,2773282.946,886212.628,686977.096,258452.642,393638.489,1193324.385,1791685.574,207558.795,381249.599,292674.259,194547.083,218651.035,130178.699,315077.218,194701.096,10414812.423,4337098.214,753797.902,963488.918,817655.881,415687.273,183922.139,760130.645,322871.288,326364.57,315030.641,137832.38,258177.65,92155.041,156899.558,156287.426,97147.422,586023.874
2008-01-01,14769862.0,4360593.569,2434666.576,1295792.053,2210571.293,638424.397,2825363.481,947675.027,718074.524,267760.829,404542.666,1231050.042,1817048.595,215539.522,390263.504,325158.83,203595.475,207792.884,132084.59,325932.626,198716.844,10673696.188,5126377.851,850983.263,1020570.272,934743.753,519796.738,204690.412,815720.833,404412.197,368659.321,341045.497,143500.482,268491.457,97553.79,164352.254,173811.798,124512.4,727549.725
