,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999,9631172.0,528069900.0,1044150.0,1007927.0,1400999.0,447465.787,2059480.0,662160.0,419459.0,1241520.747,2264494.0,595723.0,1175149.5,126916.0,242307.6,1266463.0,501594.484,92790.527,113229.0,203850.58,119603.305,6671446.559,9056440.0,19617392.505,591453000.0,1087710.456,606438.9,925690.947,5738466.369,1322094901.398,107374.258,674530.0,38461785.405,133788.728,11637546.0,2252983.0,167112451.297,,5175184.778
2000,10250952.0,535417700.0,1101143.0,1106071.0,1478585.0,471540.038,2109090.0,706896.0,452007.0,1326911.504,2408151.0,647851.0,1241512.9,136442.0,256376.4,1509132.0,555448.876,108495.288,119839.0,213606.48,128414.445,7022525.559,10028010.0,21113407.856,651634400.0,1199092.064,710680.913,1053138.387,6693683.014,1520682588.518,171494.21,748483.0,42215029.917,141247.276,13324052.0,2386289.0,195108574.343,,7838739.204
2001,10581929.0,531653900.0,1145323.0,1144543.0,1538200.0,483636.918,2172540.0,756034.0,481881.0,1371526.218,2503731.0,700993.0,1304136.8,144628.0,264334.9,1566708.0,566175.179,122089.174,128712.0,220525.08,135775.009,7351794.986,11086310.0,22843588.818,707021300.0,1315755.47,690515.692,1165940.666,7069377.272,1801401225.119,247266.207,781548.0,45409054.801,152193.838,15398700.0,2579126.0,212819999.565,,9596195.477
2002,10929108.0,524478700.0,1191515.0,1193694.0,1587829.0,482077.197,2198120.0,802694.0,501137.0,1410271.027,2598336.0,749552.0,1350258.9,148486.0,273255.9,1564145.0,592487.161,135997.559,135181.0,226735.22,142554.263,7600741.848,12171740.0,24593636.795,784741300.0,1488787.253,711022.198,1360679.013,7455459.195,1993445339.808,362109.648,812214.0,48428963.17,163460.764,17433859.0,2690982.0,232874354.916,,11620839.088
2003,11456450.0,523968600.0,1259675.0,1254747.0,1630666.0,487606.519,2211570.0,863620.0,512810.0,1436751.24,2703551.0,802266.0,1394693.2,151749.0,281200.2,1624095.0,598020.616,145576.434,144502.0,231862.46,146067.858,7820334.241,13742200.0,27552793.16,837365000.0,1717950.381,809278.704,1490398.538,7868809.553,2203357478.932,472171.775,847152.0,52897338.9,178904.756,19130011.0,2823452.0,264601353.319,,14186870.113
2004,12217196.0,529400900.0,1323420.0,1335731.0,1704019.0,502265.68,2262520.0,924926.0,529286.0,1506000.798,2830194.0,859437.0,1452319.0,158758.0,296819.7,1788123.0,627027.846,156260.291,154559.0,242348.26,152248.388,8153458.132,16184020.0,31438266.258,908439200.0,1957751.22,970283.483,1652434.949,8828367.434,2512087021.458,582852.799,933091.0,60391763.165,193715.824,21110059.0,3079207.0,300539671.878,485115.195,18288784.81
2005,13039197.0,532515600.0,1399643.0,1421590.0,1765905.0,520848.315,2288310.0,998904.0,550883.0,1585984.17,2931085.0,927357.0,1493635.3,164687.0,310037.6,1997037.0,660155.95,170306.765,162937.0,254075.03,158552.704,8444524.066,18731890.0,35812963.159,957447800.0,2170584.509,1230771.34,1837001.383,9562648.113,3035611121.253,680275.847,990530.0,68467939.844,199242.312,22594966.0,3285601.0,337958000.0,582538.173,23210895.641
2006,13815583.0,535170200.0,1472837.0,1496604.0,1848151.0,553721.552,2385080.0,1088284.0,584546.0,1682260.207,3121668.0,1003823.0,1552686.8,172897.0,325151.5,2224871.0,707237.358,184916.243,172004.0,267824.45,166260.469,8893188.025,21943850.0,41643863.314,1005601500.0,2409449.928,1411491.013,2057593.909,10630939.426,3653762286.149,795757.109,1069431.0,81577533.476,217861.568,24345409.0,3530881.0,381604000.0,715904.272,28911574.845
2007,14474228.0,539281700.0,1545792.0,1577661.0,1941360.0,589085.155,2499550.0,1179153.0,619170.0,1738845.296,3320278.0,1075539.0,1614839.8,187072.0,343618.9,2360174.0,756172.087,197069.396,186673.0,283977.97,175483.401,9386833.186,27009230.0,48357601.157,1089660200.0,2720262.935,1558827.275,2346649.864,11504075.512,4323057002.697,887714.414,1187508.0,90159479.206,232694.593,25741898.0,3859533.0,428506000.0,896980.174,35710917.788
2008,14769862.0,527823800.0,1594737.0,1657041.0,1992380.0,614407.719,2546490.0,1261261.0,647198.0,1801469.912,3412253.0,1109541.0,1637699.4,194265.0,351743.1,2622135.0,791341.681,187282.983,189406.0,293761.91,179102.781,9620164.199,31924460.0,54592231.004,1154216500.0,3109803.087,1949237.766,2611630.825,12353845.281,5414841900.0,1002756.496,1285571.0,93867121.298,241990.39,27249944.0,4042860.0,476554000.0,1149646.091,44335170.558
