,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,46594.9,,34884.5,36811.3,35776.0,54306.5,38826.6,36608.1,42787.7,43465.4,36919.7,30476.4,37586.9,35364.6,38097.8,53179.7,26873.3,42804.1,28088.1,41556.2,27861.6,,,,19700.9,,,,,,,14511.7,13691.5,27526.6,17632.2,22153.5,,,
1999-04-01,46855.7,,35019.0,37048.1,35946.3,54585.3,38821.3,36652.5,43203.6,43657.0,37157.2,30812.9,37728.6,35533.2,38592.6,53116.2,27599.9,43037.1,28274.5,42067.3,27972.3,,,,20526.0,,,,,,,14816.8,13674.3,27765.8,17840.6,22260.6,,,
1999-07-01,47326.4,,35548.3,37521.6,36429.5,54852.4,39240.6,36961.9,43715.6,43885.6,37394.8,31181.6,38063.4,35692.3,39126.3,53876.8,27505.8,44572.8,28663.7,42751.8,28207.6,,,,21053.2,,,,,,,15114.8,13912.6,27853.9,18193.4,22464.0,,,
1999-10-01,47958.7,,36027.0,37934.0,36856.7,56047.1,39562.9,37488.2,44246.8,44466.0,38105.3,31488.2,38590.1,35974.4,39566.4,54538.6,27810.7,45413.4,28888.1,42866.4,28325.1,,,,21617.2,,,,,,,15339.8,14231.1,28281.0,18414.9,22719.8,,,
2000-01-01,48010.8,,36439.4,38485.3,37097.0,56342.6,40121.7,37508.2,44452.2,44865.9,38354.9,31968.4,39058.7,37038.7,39824.4,55481.8,27986.1,45787.9,29553.6,43254.8,28896.8,,,,21984.0,,,,,,,15442.9,14318.1,28359.0,18594.4,23037.6,,,
2000-04-01,48764.3,,36676.5,38851.5,37410.3,56526.6,40445.4,37771.1,44872.3,45334.2,39326.6,32332.4,39317.4,37303.9,40091.4,54729.5,28850.4,46902.5,29266.2,43540.0,28689.1,,,,22228.3,,,,,,,15614.4,14298.6,28581.2,18783.9,23262.6,,,
2000-07-01,48681.6,,36876.7,39132.5,37658.5,57060.2,40423.8,37749.2,45149.0,45416.8,39581.0,32638.9,39585.1,37861.8,40253.8,55072.4,29567.3,47729.6,29357.5,43768.8,29054.6,,,,22785.7,,,,,,,15666.6,14467.4,29074.3,18963.6,23565.3,,,
2000-10-01,48842.8,,37077.9,39084.7,37811.5,57709.5,40303.0,37504.2,45635.6,45818.0,39438.4,32927.9,40194.6,38255.4,40611.7,55029.2,29425.2,47776.6,29508.7,44320.8,29197.2,,,,22662.4,,,,,,,15958.4,14593.1,29445.6,19337.4,23683.8,,,
2001-01-01,48571.2,,37372.4,39253.1,37916.7,57528.4,41106.3,37722.7,45605.2,45278.2,39541.1,33245.7,40397.7,38421.8,40599.0,55724.1,28960.8,48413.9,29209.1,44169.3,29047.1,,,,22900.5,,,,,,,15899.4,14646.3,29771.1,19473.0,24053.3,8781.2,,
2001-04-01,48759.7,,37501.2,39266.3,37910.3,57723.7,41076.9,37946.8,45764.3,45465.3,39549.2,33455.3,40278.3,38441.0,40574.7,55592.6,28556.4,49142.6,30127.7,44016.5,29283.4,,,,23158.0,,,,,,,15849.4,14738.4,29657.4,19639.6,24119.1,8775.6,,
2001-07-01,48437.5,,37660.6,39099.8,38083.9,57650.4,40978.4,38261.9,45752.5,45839.2,39655.2,33721.5,40105.3,38654.2,40446.2,56085.8,28093.4,48749.9,30001.9,43994.3,29281.1,,,,23428.8,,,,,,,15928.6,14654.8,30101.8,19827.2,24238.1,8815.3,,
