,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999,58.9933,130.901,48.3823,92.9906,74.0152,54.0269,61.3423,24.3416,68.5976,67.0955,68.2686,68.2492,122.4308,53.0201,127.9483,29.3496,,50.3985,,70.7253,69.6842,,,,,,,,,,,45.9024,,102.9808,67.2503,23.7113,,,
2000,53.1315,140.8035,48.2279,85.1469,72.4292,53.7102,62.994,21.9099,62.4123,60.4558,58.4619,65.4641,118.4488,53.6096,121.6124,32.7765,,38.6717,,71.0499,67.711,,,,,,,,,,,45.9486,,112.5661,61.5558,24.3157,,,
2001,53.1071,146.8432,43.9211,85.8131,71.4731,51.8042,61.6828,21.357,58.4648,58.277,60.0084,60.9152,117.3584,50.8567,120.0078,31.8327,88.5332,35.5011,,72.1219,69.6822,,,,,,,,,,,44.5729,,116.2653,59.4908,28.2779,,,
2002,55.358,157.0952,44.4183,84.0377,75.1616,57.0102,64.5265,19.5133,58.9182,58.1475,59.99,59.5807,116.2924,50.6223,119.3914,39.111,91.8136,34.0558,,74.0246,71.8193,,,,,,,,,,,54.0213,,117.5052,60.6349,30.5848,,,
2003,58.2759,166.3147,44.2713,80.5492,79.0776,56.1668,67.3354,16.2257,59.9569,56.0691,59.0588,54.9466,113.9346,51.5331,115.6105,48.3993,96.6567,32.7876,,72.5322,75.641,,,,,,,,37.2235,,,56.2048,23.9559,111.0322,61.3885,33.3166,,,
2004,65.6193,171.6765,47.6849,79.9347,80.5494,56.9557,69.24,14.2662,60.2714,52.3359,58.563,53.0648,114.5841,51.6012,111.2318,50.2183,94.7715,31.4213,,71.7653,80.5745,,,,,,,,37.0136,,,53.7719,20.8274,115.3293,64.6818,32.9016,,,
2005,64.8063,172.3258,49.5829,77.8084,82.1422,54.9573,71.8239,12.9165,59.4438,45.1194,59.167,50.4799,117.2784,48.6559,108.8614,47.213,92.3197,31.3141,,76.2518,83.8655,,,,,,,,38.6965,,,55.252,16.4329,116.8701,67.5711,32.4013,,,
2006,63.4354,172.6969,49.3239,75.2713,77.2693,48.952,69.1885,11.4403,53.0928,40.4927,53.1352,46.0956,114.6952,45.1153,100.948,58.0448,82.5123,27.6379,,72.6864,82.9819,,,,,,,,42.0887,,,54.9618,13.2322,115.5393,70.8722,31.9721,,,
2007,63.5432,174.2457,50.4708,71.3255,75.9418,45.3946,66.5436,12.1989,50.4693,34.5938,47.6077,42.3528,110.2992,41.0847,94.5187,55.8464,78.8444,27.4756,,68.9646,80.5119,,,,,,,,45.7034,,,51.5554,11.3334,113.001,71.8629,30.5615,,,
2008,72.2326,178.1565,44.6279,74.3193,82.5035,43.5991,71.0818,15.286,62.6881,41.9399,46.3306,47.6848,112.5892,40.3222,102.2608,54.462,79.8114,47.2915,,74.1928,84.4994,,,,37.6971,,,,49.0986,,,53.8774,12.4811,117.6431,75.7464,32.9654,,,
