,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,10.0517,-3.6585,6.2706,4.2176,5.1905,-1.69,7.0441,4.1262,6.8348,2.15,3.9272,14.4648,2.2451,1.0372,1.9578,-3.7629,8.2973,9.7487,6.3138,0.5561,9.4688,,,-5.8369,22.3918,-18.7613,,-8.6639,4.0992,-52.5869,-16.1275,6.2486,-14.2995,11.2439,11.6826,-0.5276,,,
1999-04-01,10.6759,2.659,5.05,5.6004,4.6586,2.9469,7.6493,5.8468,9.2038,1.3258,3.5162,14.9384,2.2254,1.934,1.928,-1.6795,12.8432,16.4798,9.5003,1.9638,6.5618,,,-13.5044,23.268,-15.0602,,-9.0035,10.5182,-44.7959,-0.2327,3.8637,-14.6244,22.1164,11.7949,5.9148,,,
1999-07-01,13.1501,5.0844,8.0784,10.6348,6.3389,8.0031,9.5921,11.089,9.8638,1.4103,5.9545,14.2537,5.5482,4.3579,2.9489,0.2276,18.7791,15.0867,12.6268,5.2919,10.1344,,,0.7227,28.5393,-18.6261,,-9.8377,15.8702,-43.1295,-3.6417,-1.3991,-10.8983,14.4151,12.0976,3.7894,,,
1999-10-01,12.4061,10.8813,10.1378,11.8255,9.348,7.5352,10.069,12.3708,12.0777,5.274,6.5985,11.3627,7.1202,9.8472,6.5835,-2.105,19.0503,13.5654,20.4021,7.9745,9.8969,,,13.2704,24.2602,-7.8161,,-5.9355,16.2769,-9.0146,7.5883,-3.5672,1.4276,11.4847,17.2577,10.8066,,,
2000-01-01,13.4442,7.6075,8.2743,12.0597,13.1193,11.5997,9.2612,13.0324,11.3313,10.0383,10.3075,14.0086,8.3074,11.2925,13.5471,6.9857,17.7923,23.3388,3.9592,9.0851,8.5451,,,31.4446,32.7246,2.7986,,7.1376,21.9851,7.3423,27.1881,13.5821,9.2879,21.7409,22.5178,13.6092,,,
2000-04-01,13.7901,9.8641,10.393,10.6295,16.616,6.0604,9.4528,11.6831,11.9493,16.4795,13.9233,10.3871,12.7519,18.1516,14.3266,4.3287,10.8373,25.2115,2.6225,11.1447,7.381,,,10.5876,23.8255,6.9253,,4.2355,19.249,8.1309,20.2588,11.585,13.6774,33.6116,18.4814,11.7963,,,
2000-07-01,13.7715,9.9878,8.6714,9.0806,18.2713,7.9538,10.3089,6.3086,10.35,14.7164,14.9383,8.9788,14.9812,13.2238,14.0127,0.2282,8.4871,23.2895,0.4165,9.4534,3.7796,,,8.8284,23.4521,18.3021,,5.3769,22.1513,28.689,22.2178,9.4376,9.7531,26.7929,23.0222,16.4572,,,
2000-10-01,11.0962,10.6838,10.358,2.818,16.931,6.5665,15.9547,1.6075,12.2825,13.6527,10.6789,5.4386,11.807,16.7288,11.6852,-0.1361,10.2592,28.054,-8.9335,12.9166,2.7298,,,5.9274,10.474,14.0793,,4.6224,19.1996,57.9375,17.9182,26.9971,9.6565,9.2694,28.18,17.2516,,,
2001-01-01,5.6736,10.8483,11.2914,-2.0116,10.5638,7.8665,7.8512,-4.6203,8.4673,7.0995,7.4101,6.3083,6.8092,10.9549,5.2609,0.1529,3.8474,29.6011,2.8392,11.946,-1.2091,,,-5.0761,-1.5716,22.6534,,-0.1939,9.7488,39.2695,-10.7677,-3.5726,11.8847,1.434,16.1482,19.3448,,,
2001-04-01,-0.8667,4.2612,8.437,-3.2573,4.5818,8.4446,4.7909,-6.6737,3.5151,4.4975,-1.0555,4.8267,4.9149,1.4734,0.1338,1.8223,-1.7352,11.1006,0.1914,7.7108,3.5046,,,11.5622,-5.9018,12.5932,,4.9106,3.896,31.8831,-30.8169,-4.8808,4.3118,1.2573,13.0642,11.4961,,,
2001-07-01,-6.4803,-1.4416,4.7728,-6.3945,-0.7629,-2.2702,-0.6177,-6.577,2.6829,-0.1974,-6.3384,3.1615,-0.2029,-0.9671,-3.9061,2.5934,-8.0134,10.8979,2.1298,3.0497,2.5321,,,5.0625,-5.1877,-4.8196,,-1.6896,-5.9768,-5.5575,-25.3621,2.7813,4.287,-4.0599,0.4328,8.6951,,,
