,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,3.6382,-6.2062,4.3376,5.4537,1.4156,,0.4005,,1.0858,1.8066,1.8826,4.284,-1.6181,3.4642,-0.5517,-2.2018,1.1494,24.2026,,2.8689,5.4243,1.2458,,5.5559,10.1375,-1.0622,,,,,-5.9908,-4.1235,-5.3578,5.3072,13.4454,-8.7027,-14.4379,,-2.2439
1999-02-01,4.0588,-3.6999,3.4843,4.0721,0.4129,,-1.2048,,3.1938,0.8584,3.5477,0.5372,-2.0243,2.2701,-2.6785,-1.756,-2.9221,12.0721,,0.1346,3.0592,-0.3382,,3.5647,13.5872,-4.3903,,,,,-5.5172,-5.1703,-4.8663,2.6222,5.548,-7.6562,-17.852,,-9.3602
1999-03-01,4.2431,-0.3151,3.8062,2.6716,1.542,,-1.8494,,3.8377,1.0526,3.7404,0.4046,-1.2205,1.7917,-0.3093,-2.468,-3.6264,6.4286,,2.6738,1.2895,-0.2255,,4.6662,20.3954,-3.8576,,,,,-4.9774,1.8323,-3.4553,-5.5786,8.502,-9.6097,-22.5638,,-5.8613
1999-04-01,4.1228,-1.7895,3.0999,3.7534,1.041,,-0.2667,,0.8677,0.3337,0.7609,1.4487,-2.7441,1.6648,-0.3942,-6.7446,0.224,11.9048,,4.3127,2.5243,0.1124,,5.0018,20.6293,-2.9952,,,,,-4.388,-0.037,-5.3748,-2.1619,8.0107,-7.0478,-19.8936,,-5.7712
1999-05-01,4.0753,0.5302,4.9769,4.3937,0.1746,,-0.1326,,-0.2148,3.5437,3.5359,1.0771,-3.3145,2.1205,-0.3445,-0.5602,-0.6704,11.9565,,4.8064,-0.0308,-0.112,,7.441,25.7768,-3.1411,,,,,-3.386,3.2203,-3.4312,3.5668,4.4271,-1.8452,-20.1074,,-1.1373
1999-06-01,4.6231,-0.2121,4.3829,5.8918,2.2062,,0.6684,,4.6943,-8.284,1.7279,2.2093,-1.6194,4.1855,-1.9855,-3.3454,-2.2801,14.2857,,4.6358,5.9,1.1249,,4.7298,28.4436,-2.4361,,,,,1.182,0.1216,-1.2568,2.3786,6.8564,-3.8158,-14.7325,,0.4029
1999-07-01,5.6657,0.5313,5.787,8.184,1.8535,,-0.6545,,2.9032,-13.3396,0.6431,3.7482,-0.7299,2.5756,-0.0642,0.6464,1.2182,17.2775,,3.1746,1.8113,0.8909,,6.4217,35.1869,-4.4749,,,,,-1.4052,4.0404,-6.0181,4.1033,7.732,-5.107,-15.8856,,6.0988
1999-08-01,3.981,3.355,5.9839,6.4827,2.5692,,2.5435,,3.6997,-10.9019,-2.1186,2.7048,1.3158,1.9144,2.1917,7.3746,1.4333,8.1667,,5.741,5.1014,2.1445,,6.8332,29.8548,-1.239,,,,,-7.907,3.737,-2.6577,0.7374,10.6274,-1.6574,-10.4194,,7.3835
1999-09-01,3.6533,2.7778,6.1927,7.5951,3.4813,,2.8302,,2.5974,-4.7,2.6853,3.5978,0.2431,5.0963,2.2822,-1.4639,3.6504,16.8634,,3.6269,0.8394,2.6997,,6.9866,29.0662,0.4846,,,,,-6.4368,9.1548,-2.7687,4.2036,12.7877,-1.8587,-9.0568,,14.2749
1999-10-01,4.2582,3.2223,5.5046,6.7804,4.7405,,3.2129,,1.9231,9.7424,2.6853,2.92,1.876,3.1461,2.6216,-1.2082,2.9736,19.0,,5.0715,2.274,3.5915,,8.4613,26.2998,5.256,,,,,-3.8095,9.6004,2.0947,2.8499,14.6341,0.5749,-9.9263,,4.5835
