,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,0.2441,-0.5,-0.4,0.2191,-0.2814,0.205,-0.119,,0.0554,-0.0956,0.039,0.3674,0.0919,-0.2128,0.3427,0.4161,-0.4274,-0.8535,,-0.0821,-0.3291,,0.5086,-2.0979,-0.0848,0.7002,-0.12,0.7471,2.5253,2.9622,4.8028,1.5,-0.3328,-1.0097,2.5137,0.7267,2.2231,,8.38
1999-02-01,0.1217,-0.4,0.2,0.1093,0.3078,0.338,0.1192,,0.4983,0.7659,-0.0078,0.0591,0.1837,0.2423,0.2186,0.1381,-0.7153,0.5739,,0.1916,0.0325,,0.3958,-1.1905,0.4242,1.0501,-0.1996,0.0,1.3439,1.2744,3.1731,0.6,0.072,-0.4827,1.3274,0.0,1.6873,,4.13
1999-03-01,0.304,0.1,0.5,0.4367,0.3324,0.1046,0.0,,0.8676,0.4751,0.3779,0.4409,0.1833,0.2418,0.0818,0.6897,-0.2882,0.2853,,0.0,0.4274,,-0.4996,-0.241,0.1673,1.0999,-0.1,0.0,0.9291,-0.1907,4.0541,1.0,0.6357,2.215,1.1827,0.0,0.9403,,2.79
1999-04-01,0.7273,0.5,0.5,0.5435,0.2804,0.1668,0.4762,,0.2185,0.2837,0.2213,0.3698,0.2745,0.7332,0.3814,0.274,0.289,0.569,,0.0,0.6363,,-0.4893,0.2415,0.253,0.5599,-0.1001,0.2119,0.9177,-0.6686,4.8672,0.8,0.3759,1.0403,1.1509,0.1443,0.7854,,3.03
1999-05-01,0.0,0.0,0.2,0.2162,0.0127,-0.2243,0.0,,0.0272,0.1886,0.1898,-0.0032,0.1825,0.249,0.1764,-0.1366,0.5764,0.4243,,0.1913,0.1186,,-0.995,0.9639,-0.1682,0.3003,0.501,-0.1057,0.6016,-0.2885,2.9408,0.7,0.1182,-0.052,0.6578,0.0,0.4893,,2.22
1999-06-01,0.0,-0.3,-0.1,0.2157,-0.0127,0.1173,0.1185,,-0.3814,0.2824,0.1469,0.0214,0.0,-0.0573,-0.1896,0.1368,0.2865,0.2817,,-0.1909,0.1534,,-1.3021,0.2387,-0.5882,0.1897,-0.1994,0.5291,0.657,-0.3279,3.2528,0.2,0.1394,0.0035,0.4945,0.0,0.2705,,1.91
1999-07-01,0.3008,-0.4,-0.4,0.2153,-0.2669,0.0253,0.4734,,-0.1094,-0.1877,-0.4362,0.4334,0.2732,-0.1721,0.1493,-0.2732,0.2857,-0.2809,,0.0,-0.0223,,-0.598,0.9524,-0.3407,1.0897,0.0,0.1053,0.6609,-1.0642,3.8188,-0.3,0.0696,-1.9461,0.703,0.8646,0.3058,,2.82
1999-08-01,0.24,0.3,0.3,0.2148,0.1656,0.4949,-0.1178,,0.5475,0.5172,0.0,0.426,0.0908,0.067,-0.122,-0.411,0.4274,0.5634,,0.082,-0.1559,,0.7961,0.4717,1.0222,0.5599,-0.1998,-0.4206,0.5629,-0.9192,4.206,0.6,0.1973,-0.0904,0.3665,0.1429,0.5021,,1.16
1999-09-01,0.4788,0.3,0.3,0.3215,0.1654,0.1889,-0.2358,,0.4628,0.4677,0.7095,0.1924,0.1815,0.3349,0.2171,0.9629,0.2837,0.2801,,0.0,-0.0223,,2.317,0.7042,0.2526,0.3102,-0.1001,0.4224,0.9663,-0.6909,5.986,1.4,0.2266,1.9344,0.539,-0.1427,0.339,,1.48
1999-10-01,0.1787,0.2,-0.1,0.1068,0.0635,-0.001,-0.1182,,0.0813,0.1862,0.1155,-0.0376,0.3623,0.2098,0.1354,0.4087,0.7072,0.1397,,0.4095,0.2748,,-0.0003,1.8648,0.7558,1.1903,0.2004,0.2103,0.6334,0.0596,6.3265,1.1,0.3547,0.277,0.588,0.1429,0.3378,,1.37
