,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,1.6677,-0.1021,2.0,0.7692,0.2564,0.276,0.1989,1.194,2.145,2.0213,-0.0635,1.8712,1.3941,0.6815,1.0566,2.2525,7.2531,1.4486,-0.0912,0.4669,2.8039,,-1.4337,8.9878,0.709,2.3032,-1.6252,8.4642,18.5994,55.749,64.4218,6.2333,3.8173,3.5937,9.4719,3.0739,15.3158,,102.6092
1999-04-01,2.1094,-0.2708,1.8,1.6076,0.3827,0.5812,0.5159,1.0386,2.2119,2.2775,0.1898,2.2567,1.4484,1.1772,0.9215,2.4743,5.9777,1.381,-0.3633,0.3654,2.5224,,-2.1671,7.088,0.5931,3.2672,-1.7608,7.2885,17.8749,30.8624,63.7,6.4,3.919,2.4208,9.1137,2.3599,10.0278,,116.8237
1999-07-01,2.346,0.0,1.6,2.1898,0.52,0.9663,0.673,1.7778,2.2082,2.6408,0.6645,2.3951,1.7225,1.1409,0.9163,2.0494,5.9649,1.3738,-0.507,0.4664,2.0482,,-1.1639,2.8135,0.6513,5.5015,-1.1303,3.337,16.4767,6.6396,64.8775,7.1667,3.1888,2.0296,10.5965,1.2042,9.1299,,98.2201
1999-10-01,2.6225,-1.0111,1.5,2.3679,0.9895,1.4029,0.9531,1.9174,2.0642,3.0438,1.0594,2.713,2.0852,1.6456,1.5892,2.6852,1.7644,2.319,0.5084,0.9765,1.9976,,-0.8328,0.4615,1.2962,8.3616,-0.8122,1.9566,13.6984,1.6995,66.0618,9.2333,2.4515,2.5291,10.7763,1.9342,9.4013,,47.4685
2000-01-01,3.2402,-0.6131,1.1,2.6536,1.4618,1.564,1.5482,2.8024,1.8845,3.1329,0.8042,2.9194,2.3526,2.7323,1.9865,2.8912,1.3909,4.3313,1.485,1.5766,1.823,,0.1009,3.6829,1.9245,7.8726,-0.4332,2.7895,10.5493,-0.5939,68.8272,10.2667,3.1955,2.8962,9.8582,3.5113,8.9694,,25.438
2000-04-01,3.3293,-0.7128,1.0,2.4452,1.4232,1.6073,1.1054,3.0837,2.1731,3.202,0.857,3.1773,2.4909,2.7799,2.319,2.9157,1.8642,5.2137,2.0,2.1116,2.5035,,0.0969,5.2632,1.587,6.5828,-1.1659,4.9278,9.5421,1.093,61.6523,10.0,3.6281,2.6767,9.1642,3.6503,9.8779,,19.8309
2000-07-01,3.5081,-0.6469,1.2,2.7143,1.9039,1.4838,1.3763,6.1135,2.4964,2.7252,0.8484,3.6264,2.6308,3.2546,3.0129,3.4231,0.9461,6.215,2.988,2.8582,3.3633,,0.264,4.1439,2.9817,7.5619,-1.3009,6.5988,9.0234,5.6805,52.6575,10.8667,3.9621,2.9589,9.8295,3.9029,9.1991,,18.737
2000-10-01,3.4271,-0.7831,1.4,3.0605,1.9132,1.5792,1.7309,5.7887,2.8802,2.5613,1.0855,3.9986,2.6735,3.3958,2.8544,3.1109,-0.0469,6.568,3.9761,2.8287,3.7056,,0.9301,2.9862,2.54,6.2016,-1.6005,7.0133,8.9137,8.7632,42.3155,9.2333,4.5721,4.0599,10.3458,4.0323,8.8579,,19.7899
2001-01-01,3.3935,-0.4112,1.3,2.762,1.3063,1.0167,1.7201,6.0258,3.9512,2.3917,1.5184,3.7901,2.8955,2.8199,2.1841,3.5236,0.2365,5.3376,3.0602,2.7807,4.7931,,0.6637,2.9344,3.6934,6.2117,-1.5395,7.4201,7.4564,9.3344,35.6306,6.7333,4.0054,3.3161,10.2703,4.0428,8.1124,,22.1949
2001-04-01,3.3773,-0.7179,1.8,3.5802,2.0506,1.5043,2.5381,6.1254,4.3917,2.5428,2.7243,4.1374,3.0528,3.1244,2.9468,3.9398,0.8916,5.4911,3.2353,3.0822,4.5973,,1.5672,2.7273,5.0434,6.9977,-1.0448,6.4072,6.8761,11.1556,52.2909,6.5667,3.6031,3.6857,10.5137,4.9583,7.9223,,24.41
