,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,1.6708,0.2,2.0,0.6601,0.2443,0.0729,0.2389,,2.1779,1.704,-0.2216,1.5388,1.4911,0.4968,0.9655,2.4045,7.7042,1.4556,,0.4952,2.6969,,-1.2,9.375,1.4633,1.6454,-1.6579,8.8812,19.015,70.6425,65.9017,6.9,3.5949,3.6965,9.7531,3.5874,17.1793,,96.9186
1999-02,1.6059,-0.1,1.9,0.6593,0.1793,0.288,0.1192,,2.1094,2.0359,-0.0973,1.8369,1.3941,0.76,0.9773,2.1127,7.0988,1.5942,,0.4942,2.7764,,-1.3,8.6387,0.1692,2.2421,-1.8542,8.6306,18.5392,53.4074,63.9271,5.6,3.8041,3.6893,9.3949,2.9718,15.3797,,103.2425
1999-03,1.7263,-0.4,2.1,0.9879,0.3453,0.467,0.2387,,2.1478,2.3222,0.1283,2.2385,1.2975,0.7876,1.2271,2.2409,6.9552,1.2968,,0.4115,2.9381,,-1.8,8.9474,0.5069,3.0167,-1.3617,7.8857,18.2552,45.4167,63.5374,6.2,4.0523,3.3996,9.2749,2.6667,13.495,,107.5844
1999-04,2.2769,-0.1,2.0,1.6484,0.4211,0.5938,0.5959,,2.1146,2.3649,0.0581,2.3627,1.4815,1.0647,1.1668,2.521,5.9542,1.4347,,0.1916,2.8584,,-1.3,8.3551,0.4207,3.3459,-2.3013,7.6223,18.2343,37.9676,63.855,6.3,4.0334,2.806,9.3932,2.5111,11.1604,,113.0646
1999-05,2.0885,-0.4,1.7,1.5334,0.4083,0.5758,0.4762,,2.242,2.0653,0.0774,2.226,1.4787,1.3654,0.8469,2.5245,6.079,1.4286,,0.4933,2.3427,,-2.2,7.7121,0.7625,3.1404,-1.3911,7.0215,18.0055,30.7363,62.9667,6.4,3.9669,2.3726,8.8637,2.5111,9.998,,116.7111
1999-06,1.9632,-0.3,1.8,1.6411,0.3187,0.5741,0.4756,,2.2794,2.4027,0.4342,2.1817,1.385,1.1017,0.752,2.3776,5.9002,1.2802,,0.4115,2.3682,,-2.68,5.2632,0.5969,3.3156,-1.5877,7.2235,17.3933,24.5301,64.2696,6.5,3.7575,2.0861,9.0874,2.0588,8.9555,,120.6737
1999-07,2.1446,-0.1,1.7,1.86,0.3837,0.735,0.5924,,1.9679,2.358,0.2176,2.247,1.662,1.1819,0.6547,2.0979,6.3636,1.1396,,0.4115,2.133,,-1.4,3.163,0.2542,4.5669,-1.2492,4.8512,17.0406,13.4961,65.0035,6.3,3.3879,2.0859,10.0653,1.0101,8.7771,,126.5116
1999-08,2.2644,0.3,1.6,2.0788,0.4857,0.946,0.7126,,2.5119,2.7391,0.7342,2.4083,1.6605,1.1028,0.9173,1.9635,6.3348,1.5647,,0.4938,1.9563,,-1.7,3.1477,0.9364,5.6911,-0.7639,3.2715,16.5787,5.7841,65.4046,7.2,3.2419,1.9798,10.8733,1.4472,9.2806,,121.0274
1999-09,2.6284,-0.2,1.6,2.6316,0.6905,1.2174,0.7143,,2.1453,2.8243,1.0425,2.5295,1.845,1.1381,1.1779,2.0862,5.2083,1.4164,,0.4938,2.0554,,-0.8,2.1429,0.7616,6.2528,-1.3756,1.9293,15.8266,1.2477,64.27,8.0,2.9385,2.0232,10.8512,1.1561,9.3313,,62.0304
1999-10,2.561,-0.7,1.5,2.2926,0.806,1.2366,0.7151,,2.0025,2.9665,0.9432,2.4819,2.0258,1.3308,1.301,2.5035,2.7417,1.5581,,0.7947,1.9715,,-0.6,0.9238,1.1823,7.4961,-1.178,1.7076,14.9135,1.5738,64.6954,8.7,2.4866,2.2497,10.5073,1.4472,9.3181,,57.1171
