,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,-19.33,6.663,-5.147,2.1335,-0.5219,0.2726,4.8394,-0.5919,0.9979,0.2589,1.3036,-1.9998,0.4549,0.7744,1.1608,0.3749,-0.3571,1.7008,-0.1357,-0.6858,-0.9628,,1.475,-0.702,0.6308,-0.7985,,-0.0271,-0.5479,1.2456,-0.315,-1.1086,-0.0169,-1.4617,-0.1482,-0.0085,-0.0603,-0.362,1.629
1999-02,-20.57,7.9806,-4.6097,1.6839,0.7161,-0.202,6.1865,-0.5556,0.8504,0.3407,1.3967,-1.8558,1.0939,0.6385,0.9261,0.2656,-0.9682,1.8897,0.0156,-0.5042,-1.1159,,2.273,-0.428,1.7034,0.0282,,0.0059,-0.3232,1.3863,-0.5424,-1.133,0.1613,-1.5149,-0.2737,-0.0911,-0.071,-0.332,1.763
1999-03,-23.183,10.8864,-4.1132,1.2992,1.6246,-0.3062,6.1252,-0.8632,1.2343,0.3339,1.4616,-2.1728,1.3245,0.7364,1.5983,0.3237,-0.6332,1.9038,0.0498,-0.5507,-1.3822,,0.445,-0.415,2.353,-0.3086,,0.1339,-0.3355,1.9766,-0.593,-1.5865,0.3755,-2.2169,-0.189,-0.263,0.059,-0.08,2.108
1999-04,-22.697,8.6601,-4.6311,1.3066,1.3932,0.0845,6.0272,-0.8325,1.0169,0.3751,1.4057,-2.5101,1.0117,0.7052,1.2308,0.5482,-0.6709,1.4686,0.0213,-0.5377,-1.3166,,0.958,-0.593,2.3989,-0.0556,,-0.052,-0.4128,1.7642,-1.341,-1.4643,0.3275,-1.4639,-0.4243,-0.1098,-0.0408,0.161,2.925
1999-05,-24.476,6.7151,-3.3423,1.7645,-0.401,0.0912,3.4519,-0.5148,0.6407,0.5633,1.1378,-2.6777,1.1417,0.7866,0.8533,0.7417,-0.6998,1.9532,0.0479,-0.2958,-1.2306,,1.865,-0.985,1.9667,0.2104,,0.1731,-0.2514,2.0821,-1.1497,-1.4626,0.0479,-1.6055,-0.2126,-0.0187,0.1441,0.289,1.988
1999-06,-30.055,9.6189,-4.7354,1.9046,1.2834,0.075,7.0697,-0.8191,1.2464,0.3219,1.7521,-2.3212,1.77,0.9475,1.6109,0.9143,-0.653,2.1901,-0.0999,-0.252,-1.292,,0.792,-0.909,2.6161,-0.2418,,0.1538,-0.3124,1.6988,-1.4366,-1.5156,0.0049,-1.651,-0.2417,-0.0814,0.1497,-0.083,1.177
1999-07,-33.777,10.364,-5.2384,2.2496,3.5161,-0.0063,7.3504,-0.6734,0.5656,0.4584,1.4216,-2.4726,4.2371,0.705,1.9778,0.8982,-0.5925,2.2561,-0.0775,-0.343,-1.0438,,3.401,-1.064,1.9743,-0.0025,,0.1056,-0.2306,2.2268,-1.332,-1.6438,0.0759,-1.401,-0.2355,-0.1965,0.1039,-0.337,2.717
1999-08,-32.31,6.1463,-3.8911,2.4893,-0.6285,-0.3333,3.205,-0.9851,0.7638,0.5055,0.8473,-2.5922,1.6763,0.628,0.3818,1.2922,-1.1434,1.7626,-0.2246,-0.8663,-1.2351,,4.873,-1.006,1.515,-0.2817,,-0.4078,-0.4331,2.58,-1.2045,-1.4542,-0.1624,-1.4184,-0.2301,-0.0752,0.2141,-0.232,2.729
1999-09,-30.813,12.7913,-3.3107,1.9999,0.7776,0.1778,5.8302,-1.0195,1.2371,0.6079,1.5462,-3.5267,-0.2732,1.0782,2.0305,1.0567,-0.2433,2.759,-0.276,-0.3364,-1.2799,,3.313,-1.459,1.8397,-0.1415,,0.0064,-0.2982,2.3822,-1.3306,-1.6553,0.0007,-1.6395,-0.2635,0.0303,0.1692,-0.336,2.955
1999-10,-31.487,11.0271,-4.0741,2.104,1.8455,0.4724,6.0349,-1.4544,1.1428,0.6977,1.2895,-2.5586,1.6836,1.4557,1.3624,1.527,-0.5702,2.1072,-0.222,-0.4606,-1.3728,,4.439,-1.009,2.092,-0.2411,,-0.1403,-0.5969,2.5901,-0.8647,-1.723,-0.0146,-1.8279,-0.2702,-0.1746,0.042,-0.312,3.304
