,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,68.014,,,76.9272,79.5,,82.8707,,66.0137,71.2601,80.1096,,,89.9,,54.8667,,96.1918,,,66.1441,,,,,,,,,,6.7958,75.2595,,65.3046,62.4846,85.287,,,
1999-02-01,67.8523,,,76.5004,79.5,,82.7845,,65.7417,71.1857,78.9041,,,89.6,,55.1817,,97.1477,,,66.1441,,,,,,,,,,6.9988,75.6859,,65.3046,62.5564,85.6615,,,
1999-03-01,68.0679,,,77.354,79.7,,82.8707,,66.412,71.1857,79.0137,,,89.8,,55.3706,,98.0071,,,66.876,,,,,,,,,,7.2694,76.1028,,65.7365,62.9151,86.0266,,,
1999-04-01,68.6607,,,77.354,80.0,,83.1982,,66.8104,71.5668,79.5616,,,90.6,,55.6226,,98.8665,,,68.6727,,,,,,,,,,7.6237,76.5198,,66.6173,62.2694,86.3075,,,
1999-05-01,68.8224,,,77.4607,80.1,,83.112,,67.0144,71.7899,79.7808,,,90.8,,56.1896,,99.2527,,,70.0701,,,,,,,,,,7.9738,76.8515,,66.685,62.6281,86.4011,,,
1999-06-01,68.8763,,,77.5674,80.1,,83.2843,,67.4127,72.171,80.0,,,90.5,,56.1266,,100.2955,,,70.9352,,,,,,,,,,8.3275,76.9367,,66.9052,63.3455,86.3075,46.2835,,
1999-07-01,69.1458,,,78.741,80.6,,83.5342,,68.4813,72.5521,80.3288,,,91.6,,56.9455,,100.7783,,,71.4675,,,,,,,,,,8.8933,77.3537,,67.7098,63.8477,86.6726,46.8148,,
1999-08-01,69.523,,,78.8477,80.7,,83.698,,68.9477,72.7009,80.6575,,,92.0,,57.7644,,100.199,,,73.5304,,,,,,,,,,9.2621,78.1023,,68.1417,64.3498,87.0471,47.3655,,
1999-09-01,69.9003,,,79.2745,80.8,,83.9479,,69.6083,73.1564,80.9863,,,91.7,,58.5203,,101.1549,,,75.0609,,,,,,,,,,9.7899,78.8604,,68.3619,65.2107,86.9535,47.8389,,
1999-10-01,70.1698,,,79.2745,81.1,,84.1116,,69.9483,72.8496,81.2055,,,92.3,,58.8352,,100.1121,,,75.2605,,,,,,,,,,10.2015,79.5237,,68.5143,65.8564,87.7867,48.631,,
1999-11-01,70.2237,,,79.3812,81.5,,84.2753,,70.8129,73.2307,81.6438,,,93.2,,59.3392,,101.5411,,,76.791,,,,,,,,,,10.7064,80.1112,,68.8785,66.6455,88.0582,49.201,,
1999-12-01,70.3314,,,79.8079,82.0,,84.439,,71.5513,73.4538,82.3014,,,94.1,,60.0321,,103.1633,,,78.5211,,,,,,,,,,11.647,80.6893,,69.5306,67.0042,88.5263,49.5005,,
2000-01-01,70.4931,,,79.8079,82.6,,84.9647,,73.3,73.9,82.8493,74.0,79.6,94.8,,60.4101,,104.0613,,84.8975,80.3178,82.5,,,,,,,,,12.2388,81.4,,69.7,67.7216,93.9,50.1477,,
2000-02-01,71.2476,,,80.5548,83.1,,85.2232,,74.1,74.2,82.9589,74.3,79.9,96.7,,61.1102,,104.7083,,85.0909,80.5649,82.9,,,,,,,,,12.5961,81.8,,70.8,68.5109,94.2,50.766,,
2000-03-01,71.6249,,,81.195,83.5,,85.3955,,74.7,74.6,82.7397,74.9,80.3,97.4,,61.7103,,105.2393,,85.2843,80.9768,83.3,,,,,,,,,12.9106,82.1,,71.6,69.3791,94.6,51.1621,,
2000-04-01,71.4632,,,81.195,83.8,,85.5679,,75.2,74.8,82.6301,75.3,80.3,97.8,,61.5103,,106.2049,,85.381,82.0477,83.4,,,,,,,,,13.1137,82.6,,71.3,69.7737,95.8,51.9059,,
2000-05-01,71.7327,,,81.5151,84.3,,85.9126,,76.3,75.4,83.0685,75.8,80.6,97.7,,62.4104,,107.2767,,85.7677,82.0477,83.9,,,,,,,,,13.4005,83.2,,72.2,70.7209,96.0,52.6691,,
2000-06-01,72.3255,,,81.5151,84.7,,86.0849,,76.5,75.8,83.3973,75.8,80.9,98.0,,62.7105,,106.3111,,86.1545,82.4596,84.1,,,,,,,,,13.6512,84.0,,72.6,70.9577,96.1,53.1618,,
2000-07-01,72.1638,,,81.5151,85.0,,86.3434,,77.0,76.0,83.5068,76.4,81.1,98.4,,62.8105,,106.9581,,86.1545,82.7067,84.4,,,,,,,,,13.8657,84.5,,72.7,71.6681,96.0,53.6352,,
2000-08-01,71.9483,,,81.5151,85.3,,86.5158,,77.6,76.3,83.8356,76.2,81.2,97.9,,63.3106,,108.0299,,86.4446,83.0362,84.6,,,,,,,,,14.0422,84.7,,73.0,72.4573,96.5,53.8187,,
2000-09-01,72.595,,,81.8352,86.1,,87.0328,,79.0,76.8,84.3836,77.5,81.8,98.7,,64.3107,,108.9858,,87.4115,83.1186,85.4,,,,,,,,,14.3134,85.3,,74.8,73.4045,97.1,54.2148,,
2000-10-01,72.7028,,,82.582,86.8,,87.1189,,79.5,77.1,85.0411,78.2,81.9,99.1,,64.7108,,110.2797,,87.4115,83.5305,85.7,,,,,,,,,14.6044,85.8,,75.9,74.0359,97.2,54.2824,,
2000-11-01,72.7028,,,83.1155,86.9,,87.1189,,79.5,77.0,85.589,78.2,81.9,99.1,,64.5108,,109.5265,,87.4115,83.7776,85.7,,,,,,,,,14.8895,85.7,,75.6,74.9042,97.0,54.3211,,
2000-12-01,72.3794,,,82.6887,86.5,,86.8604,,78.1,76.1,85.2603,77.9,81.7,98.5,,63.8106,,108.561,,87.1214,83.9424,85.3,,,,,,,,,15.0732,84.8,,74.5,74.6674,96.6,54.7171,,
2001-01-01,72.6489,,,82.2619,86.4,,86.8604,,77.7,76.5,85.0411,77.1,81.7,98.1,75.0,63.0105,,107.8078,,86.8314,84.519,85.2,,,,,,,,,15.2769,84.2,,73.7,75.141,96.4,55.2871,,
2001-02-01,72.6489,,,82.6887,86.6,,87.0328,,78.1,77.0,84.7123,77.4,81.8,96.5,74.8,63.7106,,108.3485,,86.7347,84.6838,85.4,,,,,,,,,15.6391,84.0,,74.4,75.6935,96.4,56.0793,,
