,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,107.113,112.1293,85.005,104.7186,,98.6268,122.0981,107.6567,169.5339,73.6694,85.5,124.6185,135.8152,113.491,109.3908,68.0665,,101.4268,76.4141,,161.421,123.1552,,,41.8855,,,45.1781,,,22.5595,,,393.4795,,,,,
1999-02-01,113.17,112.6388,58.2981,111.0695,,86.7584,112.8924,104.667,143.5993,73.2594,86.6451,131.5747,148.7908,116.9415,87.5589,69.4727,,133.0177,77.3751,,174.8879,120.6594,,,42.1762,,,44.3093,,,21.0998,,,296.7068,,,,,
1999-03-01,111.5096,111.8324,106.0206,107.0831,,109.0537,119.4261,113.289,142.2885,75.6211,88.7498,135.2814,151.8873,122.9031,94.0276,67.9504,,138.994,77.0524,,161.1734,123.9126,,,37.4646,,,44.8306,,,29.5106,,,333.7,,,,,
1999-04-01,112.9441,106.219,95.6814,110.251,,87.1873,124.5039,113.338,147.3024,65.3889,82.7718,126.6997,149.7021,134.5588,90.9647,66.7626,,128.1851,80.6038,,158.8606,125.8286,,,36.9997,,,45.1781,,,44.2336,,,321.4259,,,,,
1999-05-01,116.3711,109.0316,90.2812,107.2179,,89.0806,118.22,109.4604,135.5043,70.3145,88.2773,138.0336,151.3827,123.689,94.6284,65.0697,,136.6898,80.6204,,154.0122,124.1724,,,40.8902,,,49.4353,,,37.3353,,,333.5663,,,,,
1999-06-01,114.7108,105.6861,98.6913,110.2072,,98.8107,119.5899,109.0409,140.785,71.7061,89.9463,139.3197,158.8715,127.2825,101.0674,69.07,,142.9712,79.5551,,152.0079,121.2874,,,36.3852,,,46.0469,,,32.9903,,,336.6866,,,,,
1999-07-01,116.8227,104.0459,114.5895,112.7452,,102.4582,124.7411,102.8843,140.7303,72.3701,97.2383,137.9422,155.7052,129.2416,99.5501,72.019,,146.7539,79.1555,,159.6275,137.045,,,43.2053,,,48.6533,,,31.0046,,,327.214,,,,,
1999-08-01,117.6596,104.4354,18.2315,111.8493,,95.2668,115.4083,101.5677,122.631,64.0493,89.5052,137.1013,137.7618,126.0083,100.8402,69.0153,,152.8237,79.6631,,156.8273,126.2101,,,42.0539,,,51.2598,,,27.8622,,,322.147,,,,,
1999-09-01,113.5684,107.5613,108.9973,113.9039,,98.9954,117.7248,99.7874,134.3707,64.055,91.1796,138.4788,143.2553,133.3725,100.3167,73.4525,,174.9652,80.3999,,152.344,123.2365,,,46.1749,,,51.1729,,,29.7441,,,277.7078,,,,,
1999-10-01,116.7032,105.0747,90.1262,120.238,,99.67,115.5378,100.7521,127.874,65.0425,96.7214,140.6361,149.119,127.3534,98.7472,72.8586,,162.3848,80.5431,,147.6075,125.4652,,,53.4344,,,49.7828,,,30.1522,,,382.4396,,,,,
1999-11-01,117.0884,107.3875,86.9536,119.1416,,91.9851,107.9955,103.5298,120.2838,64.6787,98.0179,142.4252,143.2975,124.5837,97.428,75.992,,169.4977,81.0749,,144.2928,121.6484,,,48.1581,,,48.1321,,,32.2394,,,417.9001,,,,,
1999-12-01,119.2004,106.7406,82.3034,129.7585,,94.5155,116.9023,107.4027,107.6673,72.8494,107.8404,136.0279,141.3476,114.0947,99.3536,74.5175,,173.2609,79.3237,,108.8815,124.2618,,,45.9185,,,50.7385,,,34.59,,,373.0766,,,,,
2000-01-01,123.6236,115.0044,90.6944,115.0138,,91.4354,106.0948,101.0667,164.0636,65.4409,91.0146,145.0484,160.6585,134.4643,107.2008,86.4296,,155.9593,78.3631,,191.8012,128.4373,,,42.9105,,,48.2189,,,42.5413,,,385.9819,,,,,
2000-02-01,127.0638,107.7659,60.9798,117.5198,,98.6192,110.8276,102.3716,148.8573,63.7432,93.7963,142.3712,157.2167,134.7614,107.6468,71.8005,,186.4767,78.0501,,150.3907,132.2932,,,45.6069,,,53.0843,,,46.5104,,,400.0073,,,,,
2000-03-01,119.1472,107.3908,102.5908,123.7377,,101.5971,108.1986,99.2957,157.8796,61.2083,99.2614,134.6369,156.8473,123.002,107.092,70.8653,,183.3217,78.6014,,144.6288,122.7939,,,38.697,,,55.3432,,,45.3469,,,387.0181,,,,,
2000-04-01,118.2573,112.9207,88.612,119.977,,100.4122,101.885,95.7257,144.9167,61.1274,99.0668,149.2992,153.5873,121.6974,111.7409,71.2681,,196.4414,75.7361,,144.3562,125.3947,,,35.0399,,,55.3432,,,54.5061,,,393.8464,,,,,
2000-05-01,117.9119,107.9175,96.7114,116.612,,100.2319,114.7382,94.2459,140.9892,57.299,105.371,132.2836,155.3019,133.6641,109.6598,75.1045,,189.0667,73.759,,133.5752,128.9558,,,38.0235,,,56.907,,,41.4769,,,377.1011,,,,,
2000-06-01,116.2649,112.1587,93.395,114.3704,,84.0963,96.7908,75.5827,112.3517,47.8637,95.8554,135.8232,137.9609,117.6091,90.9354,69.5068,,195.4507,72.5435,,139.8311,115.1826,,,44.3645,,,57.8627,,,48.2827,,,377.106,,,,,
2000-07-01,114.1927,105.7178,93.2222,118.0823,,98.2572,105.3428,142.7065,113.9575,57.0334,99.6251,134.0222,155.6478,115.95,100.25,70.7902,,181.7771,70.7596,,130.3818,119.3048,,,54.3796,,,53.6056,,,48.8736,,,372.0924,,,,,
2000-08-01,114.1927,106.7624,23.2527,124.2042,,100.5458,104.552,121.0838,126.9565,49.7231,101.659,134.0538,158.9872,115.2124,95.8923,69.8482,,186.7525,71.074,,168.6268,122.0337,,,47.1157,,,55.8645,,,48.8826,,,392.0237,,,,,
2000-09-01,118.9214,109.17,89.7053,128.8255,,101.1563,105.3053,111.2943,120.5986,48.5566,100.229,135.9938,158.8557,114.0536,96.4041,67.8822,,196.8962,70.8649,,136.5854,120.5799,,,45.8372,,,57.7758,,,54.6874,,,394.2524,,,,,
2000-10-01,114.1662,112.2607,91.027,118.6448,,96.5437,98.4291,114.058,115.878,47.8175,92.0736,120.5296,147.5279,113.8619,97.9841,66.4896,,176.1232,70.6724,,135.7179,115.0343,,,42.2197,,,57.9496,,,54.9345,,,360.866,,,,,
2000-11-01,109.3711,113.3744,96.5791,116.2853,,74.4945,102.947,111.1778,122.4084,46.0448,91.8428,127.6069,146.6267,108.7986,97.3897,69.0904,,167.9772,66.1853,,143.5171,117.3064,,,36.0985,,,55.4301,,,48.9308,,,354.9101,,,,,
2000-12-01,106.0238,116.3016,95.7049,116.8562,,111.5299,107.2033,126.5996,131.1907,50.9877,99.7094,117.0105,146.5493,138.5672,97.7921,75.0909,,166.0216,67.9119,,130.9843,117.2156,,,40.9691,,,55.3432,,,34.3554,,,357.8579,,,,,
2001-01-01,115.6937,109.0311,95.5245,115.9653,,98.6045,102.855,101.5327,111.0328,43.5734,86.1344,128.8605,155.7943,93.0453,96.337,69.8618,,121.7077,69.5146,,170.8085,119.6397,,,40.0089,,,55.6907,,,25.4366,,,345.5955,,,,,
2001-02-01,117.9518,111.921,76.7526,113.0955,,100.9116,101.5747,101.2438,118.1271,48.3084,86.3732,140.6805,153.2762,100.1354,89.3872,66.6397,,143.0341,70.9184,,133.7392,120.4492,,,64.0685,,,62.1199,,,23.1217,,,368.1592,,,,,
2001-03-01,109.743,110.4383,97.3432,114.9565,,98.7981,104.5191,102.2971,133.4613,47.0784,85.2266,141.2049,155.1138,102.829,89.0197,66.906,,136.7297,73.0105,,141.5631,119.8906,,,67.4959,,,61.5986,,,17.8385,,,364.8926,,,,,
2001-04-01,110.3673,111.5386,93.5071,119.8186,,97.048,105.7988,103.8024,114.2115,52.7373,83.5437,143.8429,155.7389,96.4035,91.4421,66.0049,,132.8475,77.2667,,127.7575,122.4112,,,67.9355,,,59.3397,,,16.7957,,,350.3455,,,,,
2001-05-01,110.3009,111.9574,97.4966,123.1196,,99.2623,107.2356,100.0647,119.8728,47.2747,82.2222,140.869,154.0315,100.1904,99.6556,67.1176,,132.3923,76.2283,,153.6205,125.5753,,22.3562,68.8103,,,56.1251,,,13.4385,,,392.4311,,,,,
2001-06-01,110.5665,116.253,100.5282,123.0185,,92.3482,103.8447,100.1532,117.1637,47.6385,84.1645,144.5997,157.3509,102.9255,99.1878,68.9676,,134.7553,80.681,,156.5378,124.6728,,21.1286,72.5027,,,63.1625,,,20.8326,,,390.8086,,,,,
2001-07-01,104.4033,117.7486,96.6668,122.8484,,95.7854,102.0898,107.6707,123.9671,44.7225,79.4892,140.0314,147.0813,101.79,107.059,69.0153,,130.0168,80.3075,,144.8359,120.5096,,20.8103,70.0548,,,58.9922,,,19.0845,,,381.5814,,,,,
2001-08-01,102.7562,116.229,31.9286,123.4547,,98.5598,105.991,101.0247,124.1526,46.9052,81.057,139.3975,153.5516,100.0885,101.7068,71.7664,,126.4055,81.4232,,140.1454,120.819,,22.6898,68.0386,,,53.9531,,,15.2474,,,386.5767,,,,,
2001-09-01,102.8093,109.6767,106.2217,120.6489,,93.566,102.8793,101.5817,114.6671,43.0652,77.8963,137.2107,141.2524,100.017,98.5274,70.2851,,120.5932,77.1421,,138.7648,117.204,,20.6871,81.2934,,,54.04,,,10.6782,,,368.087,,,,,
2001-10-01,137.8628,105.9778,106.7806,123.9128,,91.4236,103.6631,101.1459,116.3993,44.0295,76.293,130.4795,150.5812,97.9686,98.093,70.2714,,123.6884,79.9679,,136.7727,118.5011,,18.7542,66.8292,,,59.6003,,,7.8915,,,351.4029,,,,,
2001-11-01,110.7658,107.7957,108.4063,129.8511,,96.5923,105.1041,103.4948,115.4801,44.9477,77.4968,131.6351,146.8754,98.8267,99.1484,66.8445,,123.772,85.2542,,130.9567,118.4624,,20.5636,73.7582,,,61.9461,,,11.0214,,,340.2364,,,,,
2001-12-01,98.0541,115.0463,101.9789,132.214,,91.2907,100.8496,111.7557,107.3394,43.608,78.3625,130.6458,150.4861,107.3763,101.8656,69.1519,,124.8418,88.2049,,135.0059,115.9848,,19.9711,59.0583,,,66.2902,,,16.1657,,,326.5062,,,,,
2002-01-01,101.574,112.3628,105.8492,134.5465,,92.452,104.4547,108.5026,113.0938,47.8002,78.5117,133.9987,143.4349,91.1007,94.121,68.1825,,107.1033,84.1254,,137.6979,117.104,,22.3703,78.851,,,60.4692,,,7.5786,,,313.2969,,,,,
2002-02-01,106.2762,111.1244,99.3112,129.7501,,95.7975,101.9838,104.625,119.4463,55.0297,81.3744,127.9375,135.9643,102.4761,103.3336,70.838,,121.7137,86.9468,,140.2261,116.3156,,23.9209,75.3164,,,59.6003,,,8.2475,,,349.1488,,,,,
2002-03-01,107.1395,110.4392,98.4985,130.2856,,91.5651,104.3932,103.101,111.2185,55.9305,80.6802,131.4774,133.9301,107.715,101.3165,71.2954,,127.7762,92.8971,,128.5961,116.579,,24.0797,82.9979,,,54.9088,,,4.8977,,,354.141,,,,,
2002-04-01,111.9479,114.9369,106.9093,130.6831,,91.6243,100.0237,105.0258,105.8009,52.1483,80.5706,123.4786,134.0164,103.8129,96.8055,71.5275,,119.7128,81.9348,,123.4573,112.1228,,20.5428,85.9409,,,56.7333,,,7.4193,,,394.4255,,,,,
2002-05-01,103.9384,119.4883,101.894,131.9209,,88.2743,91.5118,105.7156,108.1031,56.6639,80.2771,131.7524,135.9583,111.4437,89.612,67.8412,,128.6022,77.6512,,141.2386,112.0524,,21.1148,95.2596,,,57.6021,,,9.5189,,,322.7807,,,,,
2002-06-01,106.6879,115.3472,93.6644,129.9235,,91.0926,109.1664,102.8727,110.646,55.4917,80.788,124.5648,135.4055,110.014,89.2771,69.0563,,119.8087,80.8508,,137.6388,115.9049,,23.0615,79.3411,,,55.6038,,,9.0964,,,332.3061,,,,,
2002-07-01,114.206,114.1224,104.4856,128.6958,,90.3244,100.5311,103.7931,107.1805,55.0759,81.5573,127.5748,135.6863,111.9125,89.4728,71.3022,,124.3295,82.1527,,134.4323,113.4161,,23.2264,79.3706,,,56.7333,,,9.7063,,,365.7354,,,,,
2002-08-01,113.3825,122.6691,44.665,132.7259,,85.6263,105.0343,104.914,111.2062,55.7342,83.9014,129.007,150.4721,117.3378,84.3141,73.3979,,126.1064,82.8479,,121.561,114.8131,,26.4715,87.2256,,,56.1251,,,10.0049,,,349.1568,,,,,
2002-09-01,105.0276,119.6101,101.2897,133.0022,,89.818,101.1216,104.5481,111.6183,55.4108,84.303,126.041,140.5469,106.4035,96.1035,71.623,,132.2202,83.4118,,118.9281,114.4597,,25.2442,79.6264,,,55.7776,,,10.5631,,,403.6771,,,,,
2002-10-01,100.2059,121.3975,103.9442,132.3874,,87.7382,102.0333,107.4517,115.9363,53.7536,82.5187,131.1455,144.9792,109.1405,87.4309,72.1009,,128.4421,83.9208,,117.6901,115.1275,,24.1302,82.4672,,,54.6481,,,10.0451,,,359.3375,,,,,
2002-11-01,104.1775,123.2548,100.6458,123.4631,,83.38,99.4818,107.2629,116.9698,50.5142,84.5827,124.5949,150.3769,112.4737,85.0638,67.5477,,128.3462,86.2238,,103.6225,113.9479,,24.1166,76.7188,,,56.1251,,,9.844,,,335.2397,,,,,
2002-12-01,107.3122,120.0355,105.8203,136.7948,,88.7111,97.9058,106.198,134.9185,50.3178,80.121,135.4526,212.536,101.5634,81.9976,65.1038,,146.8761,87.9958,,98.392,123.1372,,23.8309,65.6508,,,55.8645,,,12.6061,,,330.5946,,,,,
2003-01-01,107.0598,117.9245,98.2453,127.8891,,83.4746,103.1825,107.9061,106.7893,45.2191,89.6443,125.0009,124.29,105.5697,85.1252,66.5305,,119.8637,91.4163,,108.05,110.5415,,25.4983,85.3791,,,60.3823,,,13.2772,88.3062,,341.4909,261.5979,55.3317,,,
2003-02-01,98.8776,120.2676,98.9367,136.1448,,81.2909,102.3228,106.1094,107.2534,48.1062,85.9348,120.0166,147.1193,133.7916,85.7905,69.4386,,122.2254,90.5925,,107.9046,113.0814,,20.2165,76.4965,,,54.4744,,,10.6427,90.9845,,331.8792,276.5195,66.9321,,,
2003-03-01,100.6177,121.6758,99.0214,126.6142,,77.6507,99.3699,112.4361,105.0341,43.8448,87.2407,120.0168,171.9511,125.9705,88.4104,64.0047,,116.5893,91.5508,,101.8663,114.5769,,27.7189,76.205,,,55.1694,,,11.6056,89.5943,,306.4546,285.1926,76.9717,,,
2003-04-01,98.1736,109.3989,99.8074,116.7535,,81.7578,98.8462,113.7621,105.755,42.4127,81.3685,137.7333,128.086,129.7981,83.2372,68.244,,118.3502,90.6082,,106.9453,110.7048,,27.8563,70.7283,,,60.0348,,,11.4924,98.2993,,319.1524,259.4733,63.2223,,,
2003-05-01,96.3671,124.8893,99.1398,125.7519,,83.4614,102.5719,116.9709,115.5474,44.8149,85.5038,128.4342,124.2238,133.9252,86.2061,67.8617,,110.8321,95.872,,93.3904,110.9294,,30.1883,68.7538,,,53.8662,,,15.4004,102.4218,,328.0335,266.6714,63.6996,,,
2003-06-01,101.4146,114.7308,103.7504,117.1813,,84.6452,100.9073,115.4865,116.0634,43.966,84.1351,132.3769,139.1916,143.1587,90.0869,70.3875,,112.0096,98.6352,,99.4987,112.7771,,30.3832,63.1459,,,57.8627,,,19.4263,98.6697,,339.9895,266.8508,68.4718,,,
2003-07-01,100.4583,115.1023,102.6997,121.1828,,85.9855,103.1646,117.148,109.7194,47.9099,86.3418,135.7562,146.4473,147.4386,91.4795,68.3327,,115.4121,98.1889,,108.9209,116.306,,33.1615,63.4902,,,61.5117,,,16.4855,98.3244,,323.8916,263.6637,66.6505,,,
2003-08-01,103.686,116.2408,55.586,119.5862,,83.1457,102.6623,118.6324,114.8458,46.4144,84.88,137.9199,140.2119,151.0096,97.5465,66.9879,,117.1466,97.1038,,110.7015,113.7604,,29.1508,57.2826,,,64.7263,,,20.6793,101.6299,,346.6807,303.5142,65.9593,,,
