,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,,,,31.9401,136.9679,,179.815,64.2354,59.1031,,20.325,917.0236,,119.6,92.2697,51.6707,65.693,,87.5554,,1457.8,258.0215,,,25.2049,,,50.8891,,,71.5542,,29.8145,1376.2,171.9857,,23.9943,,
1999-02-01,,,,35.2742,91.9776,,161.4135,66.2941,46.8075,,17.8048,973.9188,,109.9,86.0368,46.2511,79.0488,,88.2197,,1391.1,254.2212,,,31.1529,,,38.062,,,97.207,,31.3052,1300.9,175.7854,,33.4067,,
1999-03-01,,,,34.765,81.1959,,176.0147,64.4271,52.5895,,24.1665,1132.9056,,103.3,97.1182,56.9928,67.9299,,95.6599,,1499.7,285.8238,,,32.0231,,,43.1684,,,49.6838,,36.7654,1457.2,201.9832,,29.7125,,
1999-04-01,,,,37.3204,85.7207,,176.2147,63.2817,61.5801,,24.2713,1128.8059,,114.9,85.9707,52.8305,39.7633,,97.7414,,1466.9,284.9237,,,34.2893,,,38.6873,,,141.5955,,23.1814,1309.2,225.1812,,30.0431,,
1999-05-01,,,,37.4368,85.8009,,179.1149,61.5106,67.0556,,24.1782,1273.6939,,104.7,101.1956,55.6271,63.3042,,103.2329,,1558.8,309.5258,,,47.017,,,36.0033,,,68.7,,29.961,1310.6,236.4803,,17.9781,,
1999-06-01,,,,38.5089,80.6425,,179.715,71.5722,58.0607,,24.5274,1206.4995,,115.5,101.2841,72.5797,81.177,,94.287,,1438.9,300.8251,,,39.8493,,,51.4207,,,70.6153,,51.6771,1393.0,211.0824,,31.3558,,
1999-07-01,,,,38.3925,75.3246,,180.015,69.2006,72.3248,,32.6178,884.6263,,132.5,93.2687,74.7909,87.8875,,106.9088,,1453.5,252.521,,,41.4826,,,38.8713,,,61.9579,,29.259,1329.9,237.2802,,30.0334,,
1999-08-01,,,,37.933,89.3451,,170.4142,74.2264,65.4548,,29.143,1034.9138,,97.5,106.8104,66.1303,78.8534,,106.023,,1552.7,274.3229,,,49.0674,,,40.1593,,,65.0106,,77.9712,1163.2,225.9812,,21.0733,,
1999-09-01,,,,36.5498,89.6774,,173.0144,69.6295,57.2844,,30.8018,1043.0131,,153.5,96.6782,75.8423,56.572,,106.5988,,1496.2,278.0232,,,53.8303,,,38.0057,,,61.2451,,57.5505,1020.0,244.8796,,37.9916,,
1999-10-01,,,,40.0334,90.9386,,177.2148,75.4476,52.5136,,25.3073,1039.6134,,126.5,108.3199,65.3607,75.5307,,99.2914,,1482.1,280.7234,,,61.6683,,,38.5032,,,46.5023,,57.5146,1036.0,225.0812,,38.4262,,
