,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,0.9394,-1.3708,0.6929,1.8138,0.6639,0.1018,1.1576,0.7353,1.6668,0.906,1.0867,1.0035,0.6313,1.6494,1.045,1.0201,0.0632,6.2951,1.1616,0.6123,1.3292,,,1.6242,3.0346,0.3087,,0.9611,0.8637,5.6477,-1.6858,0.8045,0.0192,0.7623,-0.0272,0.0263,,-1.2459,
1999-04-01,0.8347,0.3779,0.4744,0.8365,0.617,0.6499,0.0,0.3442,1.1129,0.5164,0.6774,1.1924,0.3822,0.5312,1.3682,0.0378,3.2971,0.7649,0.7945,1.2842,0.5221,,,2.5822,4.3832,0.3243,,0.7959,0.7481,-0.055,-0.5637,2.0946,0.2728,0.9332,1.1034,0.4539,,-1.1299,
1999-07-01,1.3259,0.5343,1.5998,1.5647,1.4991,0.6267,1.1074,1.141,1.3772,0.6181,0.7077,1.3304,0.8927,0.5332,1.4524,1.7051,0.3685,3.9187,2.7854,1.6815,0.9804,,,1.2453,2.7812,0.0622,,1.0919,0.9548,0.2734,-1.6866,2.0008,2.1095,0.3828,1.918,0.9237,,-0.2882,
1999-10-01,1.6407,0.0296,1.4329,1.4067,1.3408,2.3172,0.8276,1.7009,1.4069,1.3988,1.9114,1.1218,1.3885,0.8529,1.1842,1.4325,1.9431,2.2746,1.2167,0.3218,0.5743,,,1.6508,2.8863,1.4461,,1.1,0.9936,0.1072,2.9874,1.4806,2.6341,1.5989,1.1386,1.1188,,1.6728,
2000-01-01,0.3628,1.7093,1.2325,1.5997,0.8323,0.6642,1.4274,0.4102,0.6227,0.9751,0.6438,1.605,1.2294,2.9824,0.7111,1.8658,1.2549,1.0822,1.4538,0.9599,2.2255,,,2.0995,1.8951,1.111,,1.1688,2.0831,3.1475,1.5749,0.6611,0.9448,0.3797,0.8927,1.3299,,-0.34,
2000-04-01,1.8213,0.4649,0.7362,1.1886,1.0257,0.463,0.8092,0.9244,1.1168,1.1384,2.5913,1.2583,0.6775,0.7706,0.7196,-1.2019,3.6991,2.7531,0.0422,0.7238,-0.5285,,,0.1349,1.3325,1.2886,,0.92,1.2512,-0.5749,3.8934,1.1026,0.2217,0.922,0.9613,0.9572,,-1.6089,
2000-07-01,0.1019,0.0301,0.643,1.017,0.8458,1.0528,-0.0472,0.2424,0.8252,0.2762,0.7602,1.0801,0.6965,1.5659,0.4637,0.8058,3.1622,2.1483,0.3825,0.6006,1.4649,,,1.3277,2.7546,1.3106,,0.9904,1.1068,2.4364,1.4893,0.3269,1.5559,1.8684,0.9032,1.3011,,-0.2552,
2000-10-01,0.597,0.9647,0.6431,0.1712,0.5888,1.2468,-0.2953,-0.3627,1.2997,0.9778,-0.2927,1.0186,1.5557,1.0631,0.9777,0.0327,0.2307,0.6002,0.1839,1.3478,0.6694,,,0.0419,-0.3245,1.2794,,0.851,-1.1359,2.8756,1.4366,1.8595,1.1736,1.4189,1.9223,0.4735,,0.3069,
2001-01-01,-0.3278,0.7519,0.8898,0.5297,0.4613,-0.2067,2.0108,1.0251,0.1085,-1.0857,0.2941,1.0668,0.5217,0.4892,0.0564,1.3528,-1.0047,1.6299,0.3279,-0.2462,-0.3127,,,0.5407,1.2256,0.2124,,0.6145,0.6241,-0.7126,-5.1251,-0.3723,0.6967,1.2379,0.6642,1.1843,,0.1636,
2001-04-01,0.6245,-0.7575,0.4416,0.2695,0.166,0.4472,-0.0348,0.8529,0.5057,0.4882,0.0992,0.7454,-0.2783,0.1195,0.018,-0.1474,-0.9036,1.9064,1.4065,-0.2402,0.9674,,,2.0814,1.2989,-0.501,,0.4997,-0.7319,1.0229,-4.844,-0.3169,0.9687,-0.2636,0.8027,0.2344,,-0.8298,
2001-07-01,-0.4006,-1.0806,0.532,-0.0666,0.642,0.0557,-0.2091,1.1149,0.1738,0.8978,0.3808,0.932,-0.4119,0.6322,-0.1906,1.0214,-1.0711,-0.3715,0.7502,0.066,0.1463,,,1.2369,1.3502,-0.4074,,0.2657,-0.1976,0.0207,1.2518,0.4921,-0.2351,1.6216,0.8926,0.4343,,-4.6459,
2001-10-01,0.2748,-0.3561,0.3261,0.6088,-0.439,-0.42,-0.0931,1.2401,0.3225,-0.1972,0.8313,0.6805,-0.1808,-0.2812,-0.0997,0.7225,-0.3739,1.9428,1.4842,0.4614,1.399,,,2.2959,1.7626,-0.3393,,0.7693,-0.8711,1.4163,-1.6829,0.029,0.6246,0.2649,0.7524,0.7342,,-5.6949,
2002-01-01,0.8364,0.1833,0.2602,1.4842,0.5897,0.0333,-0.5126,0.7431,-0.6102,-0.0336,-0.1417,0.4308,0.2244,0.6542,0.8597,-0.5335,0.8469,1.4712,0.88,1.032,0.1778,,,0.8071,2.5445,2.1668,,1.086,-0.61,1.2191,3.7776,0.6552,0.8374,0.817,2.2949,-0.1924,,-4.931,
2002-04-01,0.6127,0.7987,0.4894,0.5894,0.4131,0.2721,0.4333,1.7613,0.3483,-0.0099,1.5476,0.821,0.3531,0.9891,0.8559,1.7207,0.0367,1.3914,1.3122,0.4353,-0.464,,,0.6238,1.8121,0.8641,,1.2689,1.0329,1.2854,4.3164,0.7118,0.8135,2.2383,0.5284,0.5016,,0.424,
2002-07-01,0.4065,0.3248,0.6732,0.8654,0.4938,-0.0073,0.4897,0.2494,0.1553,0.3401,0.6243,0.6169,0.1794,-0.234,0.5354,-1.2334,0.0204,1.7823,1.1941,0.3235,-0.4536,,,0.5936,2.0218,0.9975,,1.1318,0.9721,1.2835,1.3665,0.9654,1.0893,0.577,0.91,0.6324,,0.0745,
2002-10-01,0.1236,0.2695,0.7775,0.5486,-0.0097,-0.4768,-0.1392,0.8207,0.1497,-0.33,0.1511,0.7483,0.3307,1.1381,0.3739,0.9361,-0.0178,1.668,1.375,-0.4557,-0.7464,,,0.0782,1.0974,1.0857,,0.832,0.2093,1.0811,2.1336,0.4893,1.4533,0.771,1.2161,0.6664,,1.0191,
2003-01-01,0.5266,0.0676,0.7264,0.5533,0.0975,-0.4486,-1.4845,0.1804,0.0173,0.5359,1.1808,0.9367,-0.2993,-0.7066,-0.2635,0.1488,1.4164,-0.6618,0.6109,0.7579,0.1051,,,2.2511,-0.6592,-0.3619,,0.6348,-0.0625,1.3051,0.0836,0.3915,1.4211,2.082,0.7654,1.0567,,3.695,
2003-04-01,0.8856,0.6818,0.9296,-0.1475,-0.2539,-0.2251,0.1062,0.4474,-0.3453,-0.93,-0.6064,0.527,-0.1061,1.4383,0.2137,-0.3942,-0.5235,0.8885,0.4948,0.0911,-0.8888,,,2.5332,-0.1541,-0.9514,,0.4884,0.1728,1.1339,0.3363,1.7038,1.0587,1.7712,1.0713,1.0513,,3.1643,1.1154
2003-07-01,1.6632,0.3015,0.8907,0.3737,0.9675,1.1076,0.7659,1.672,0.0887,0.3435,1.4614,0.6598,-0.068,1.1962,0.409,1.1622,0.7452,0.3884,2.1455,0.3013,0.8874,,,2.6321,1.9327,0.8782,,0.5427,0.0352,1.0476,2.8512,1.2727,0.6592,0.6273,1.1899,1.069,,2.4436,1.6882
2003-10-01,1.1607,1.086,0.7891,0.69,0.4285,1.1494,0.2806,1.7515,0.5354,1.863,0.6239,0.8524,0.9292,0.1833,0.6956,0.0265,0.6573,5.7837,1.332,0.1517,0.3778,,,3.2832,2.6395,1.1228,,0.5769,0.91,0.9856,3.023,0.7417,0.5426,2.1372,0.9976,0.8221,,1.8765,1.8238
2004-01-01,0.5667,0.7331,0.3802,0.7203,0.9934,0.4985,-0.1749,0.7368,0.9052,0.4816,1.8596,0.6084,0.2362,1.2766,1.4987,3.6536,1.463,-0.7566,1.712,1.0365,0.9029,,,0.3645,1.2548,1.4603,,1.5138,1.3308,1.175,2.7543,2.2912,2.1063,1.8286,1.6674,1.0611,,3.2084,1.8787
2004-04-01,0.775,0.0162,0.5835,1.1878,0.5718,0.8309,0.514,0.7034,0.4768,0.5954,0.3614,0.9831,0.3304,0.8597,0.9615,0.1705,1.3265,2.9154,0.8676,0.8171,0.5721,,,2.3782,0.7635,2.6871,,1.3974,1.3377,1.1959,2.3283,0.8395,1.9224,-0.0186,1.102,1.2329,,-1.0369,1.9272
