,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,4.8163,-0.8382,2.3399,4.1803,2.783,1.0297,0.7938,5.2669,4.2134,2.3111,4.2244,4.2353,0.8562,5.9343,1.9048,0.8748,1.0472,9.6361,2.8114,2.8163,4.8093,,8.9,6.1985,6.5834,0.6698,,0.9795,2.2881,-6.4079,-4.09,2.1001,-2.2375,2.3617,2.5228,0.3953,,-2.1765,
1999-04-01,4.7219,-0.0272,2.1742,4.984,2.6089,0.576,1.2206,4.6059,4.6244,3.6219,3.5189,4.2954,0.6437,4.3902,2.9567,-0.029,4.9185,8.2985,3.0837,3.0274,3.7631,,7.9,7.5314,12.1613,-0.4383,,1.6395,2.3015,1.497,-3.8649,4.2241,-3.606,2.862,2.0513,0.5752,,-5.1406,
1999-07-01,4.7911,0.3255,3.4709,5.6667,3.5406,1.1737,1.8595,3.8327,5.1676,2.3813,3.8015,4.6928,1.4185,3.6449,4.1476,3.2179,4.1768,8.5653,5.8548,3.9819,3.6316,,7.6,6.93,13.3012,-0.4598,,2.9748,2.764,2.9213,-4.1375,5.2989,-0.9069,2.8964,3.0402,1.4733,,-5.1249,
1999-10-01,4.8236,-0.4396,4.2619,5.7146,4.1818,3.733,3.1243,3.9743,5.6801,3.4815,4.4507,4.7295,3.3328,3.6104,5.1456,4.2537,5.759,13.8371,6.0865,3.9513,3.4476,,6.7,7.2889,13.7325,2.1527,,4.0074,3.6077,5.9918,-1.0176,6.5294,5.1053,3.7243,4.1874,2.5429,,-1.0144,
2000-01-01,4.2247,2.6695,4.8207,5.4656,4.3561,4.3158,3.3992,3.6387,4.5949,3.5523,3.9931,5.3532,3.947,4.9692,4.7982,5.1265,7.0186,8.2543,6.387,4.3105,4.3626,,8.7,7.7908,12.4746,2.9698,,4.2214,4.855,3.4834,2.2652,6.3778,6.0779,3.3304,5.1462,3.8794,,-0.1064,
2000-04-01,5.2445,2.7584,5.0938,5.834,4.78,4.1221,4.236,4.2379,4.5989,4.1931,5.97,5.4218,4.2528,5.2192,4.1277,3.8237,7.4352,10.3903,5.5791,3.7334,3.2719,,9.1,5.2192,9.1875,3.9595,,4.3497,5.3837,2.9451,6.8491,5.3442,6.0238,3.3189,4.9984,4.3998,,-0.5904,
2000-07-01,3.9732,2.2431,4.1041,5.2688,4.1055,4.563,3.0456,3.3118,4.0293,3.8392,6.0252,5.1614,4.05,6.3,3.113,2.9056,10.4255,8.5097,3.1273,2.6307,3.7673,,8.8,5.3048,9.1592,5.2566,,4.245,5.5428,5.1657,10.3008,3.6154,5.449,4.848,3.953,4.7903,,-0.5575,
2000-10-01,2.9056,3.1989,3.2935,4.0198,3.3329,3.4691,1.8981,1.2155,3.9194,3.4081,3.7321,5.0541,4.2216,6.5215,2.9025,1.4855,8.5706,6.7332,2.0668,3.6802,3.8654,,7.5,3.6381,5.7528,5.0836,,3.9882,3.3175,8.074,8.6399,4.0023,3.9485,4.6623,4.7585,4.1215,,-1.8935,
2001-01-01,2.1975,2.2275,2.9439,2.9927,2.9527,2.574,2.4842,1.8354,3.3883,1.2976,3.3717,4.4976,3.4929,3.9427,2.2335,0.9744,6.1478,7.3116,0.9527,2.4416,1.2866,,9.5,2.0557,5.0579,4.1498,,3.4184,1.8456,4.0296,1.4739,2.9346,3.693,5.5571,4.5212,3.9718,,-1.3977,
2001-04-01,0.9963,0.9837,2.6428,2.1148,2.0766,2.5579,1.6261,1.7632,2.7635,0.6463,0.8607,3.9682,2.5104,3.2711,1.5214,2.0522,1.4363,6.4273,2.3453,1.4611,2.8098,,8.6,4.0395,5.0231,2.3096,,2.9877,-0.1531,5.7014,-7.0601,1.4894,4.4659,4.3171,4.3569,3.2275,,-0.617,
2001-07-01,0.4892,-0.1376,2.5295,1.0076,1.8704,1.5459,1.4616,2.6491,2.0996,1.2702,0.481,3.8159,1.3821,2.3217,0.8601,2.2705,-2.7261,3.802,2.6987,0.922,1.4738,,8.0,3.9462,3.5877,0.5746,,2.2488,-1.4422,3.2087,-7.2776,1.6565,2.6236,4.0643,4.346,2.3442,,-4.9917,
2001-10-01,0.1673,-1.444,2.2066,1.4128,0.8295,-0.1258,1.6673,4.3003,1.1147,0.0918,1.6137,3.4684,-0.3514,0.9607,-0.216,2.9758,-3.3129,5.1874,4.0263,0.0393,2.2093,,7.5,6.2882,5.7566,-1.0328,,2.166,-1.1779,1.7447,-10.1291,-0.1703,2.0667,2.8802,3.1483,2.6098,,-10.6764,
2002-01-01,1.3373,-2.0001,1.5688,2.3197,0.9584,0.1144,-0.8477,4.0092,0.3887,1.1565,1.1722,2.8173,-0.6461,1.1264,0.5851,1.0593,-1.5045,5.0231,4.5615,1.3211,2.7122,,8.9,6.5699,7.1346,0.8973,,2.6448,-2.3845,3.7242,-1.696,0.8593,2.2094,2.4526,4.8192,1.2137,,-15.2197,
