,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,66.0514,,,55.2937,102.44,,105.6695,,,,56.1,129.749,121.1,58.7049,,,,,,72.594,,118.7099,13.9127,,,93.0737,,50.1885,81.7649,,,75.8437,48.6335,,74.316,71.1942,,,
1999-02-01,67.6812,,,55.415,92.22,,93.7364,,,,56.1,127.3542,121.3,58.4049,,,,,,69.6942,,109.5091,14.004,,,92.1317,,53.6676,81.1201,,,74.8522,49.4655,,73.8276,69.7943,,,
1999-03-01,68.6986,,,54.6728,98.38,,105.0934,,,,57.2,129.6368,124.5,60.8051,,,,,,76.2936,,118.6099,14.0345,,,92.0816,,52.7382,82.2519,,,74.9142,51.1016,,76.0584,69.8154,,,
1999-04-01,67.9123,,,55.7248,99.71,,102.6245,,,,58.5,132.069,123.0,60.6051,,,,,,77.6935,,117.4098,15.0019,,,91.7473,,48.495,80.095,,,77.021,41.1484,,77.3916,73.4398,,,
1999-05-01,67.7791,,,56.2544,99.37,,102.7068,,,,57.5,135.7734,125.1,61.6051,,,,,,77.8935,,117.8098,13.7673,,,94.2601,,45.8112,79.8926,,,77.5167,43.5075,,78.2232,70.8609,,,
1999-06-01,68.8795,,,56.3581,100.35,,102.2953,,,,58.5,136.1102,123.7,60.505,,,,,,76.9936,,117.6098,14.2118,,,94.1944,,47.9063,81.0615,,,76.7731,58.6651,,74.316,69.8667,,,
1999-07-01,69.499,,,57.0312,102.9,,103.3652,,,,59.7,138.3366,124.8,61.2051,,,,,,77.6935,,119.1099,14.5617,,,93.9129,,57.2105,79.1679,,,77.1449,40.393,,77.4708,69.8854,,,
1999-08-01,69.0991,,,56.8421,101.83,,101.9661,,,,55.6,137.1579,122.2,61.1051,,,,,,78.5935,,117.6098,14.3288,,,93.3321,,54.2582,78.3767,,,78.1983,67.6667,,74.8176,68.4044,,,
1999-09-01,70.0196,,,57.328,102.14,,102.0484,,,,60.0,139.9456,127.0,61.9052,,,,,,78.2935,,118.9099,15.0549,,,93.7557,,51.5768,78.9466,,,78.8179,63.1241,,77.7216,69.4405,,,
1999-10-01,70.8121,,,57.9013,102.61,,103.1183,,,,57.7,144.2487,128.4,61.8052,,,,,,76.3936,,119.61,16.4701,,,95.5175,,48.4584,78.9167,,,77.4547,58.002,,76.23,65.5176,,,
1999-11-01,72.7962,,,58.9957,103.35,,101.3901,,,,58.9,143.3507,129.2,62.2052,,,,,,79.6934,,119.61,15.2812,,,92.7856,,57.6633,80.4862,,,77.5786,79.6829,,79.3056,66.9112,,,
1999-12-01,73.5634,,,59.8097,102.74,,101.3901,,,,60.6,140.9559,124.0,62.4052,,,,,,77.5935,,118.3099,16.5138,,,94.5357,,46.4345,81.6233,,,81.6682,62.8847,,79.7148,62.4871,,,
2000-01-01,73.1449,,,59.6701,104.86,,101.5547,,110.1092,,61.4,146.2319,127.5,63.3053,95.5761,,,,,73.8938,312.2,119.41,16.7122,,70.5065,93.8223,,47.9711,81.7047,,,88.8074,48.5856,,79.2,70.9,,,
2000-02-01,73.9646,,,59.5788,101.3,,107.6446,,109.8092,,62.1,146.5314,134.3,64.0053,98.5754,,,,,75.4937,310.0,122.7102,17.1336,,69.6316,95.2389,,48.275,83.3909,,,84.507,44.3403,,85.4,68.4,,,
2000-03-01,75.4297,,,59.2762,106.13,,101.3901,,107.509,,63.1,147.0304,131.4,63.7053,97.2757,,,,,75.8937,307.4,120.8101,15.7767,,77.5099,91.0004,,50.0585,81.6832,,,81.6068,48.2003,,82.9,69.7,,,
2000-04-01,74.9923,,,59.3212,104.06,,100.5671,,111.8093,,60.5,147.5295,129.7,64.3054,99.0752,,,,,76.1937,307.1,119.51,15.5576,,83.3106,94.759,,50.7826,82.3839,,,82.2069,34.3492,,80.4,70.4,,,
