,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999,3337215.1,,365721.0,427988.0,737347.0,153655.13,992918.0,234151.0,182890.0,677042.0,1268790.0,237851.0,554833.0,64702.0,122357.4,601798.0,232814.68,30164.56,44582.646,106127.7,50909.69,3186495.9,,,145106600.0,,,,,,,292387.0,,61749.0,5704855.0,927538.0,,,
2000,3516022.5,,387640.0,456078.0,763723.0,157017.13,1007254.0,257842.0,191530.0,699107.0,1277555.0,253353.0,577746.0,65417.0,126645.6,639453.0,245718.25,33164.67,45220.015,109009.77,54783.29,3295801.12,,,153571100.0,678320.0,,,,,,322160.0,,65575.0,6308541.0,974727.0,,,
2001,3768842.7,,415155.0,478725.0,795531.0,157677.45,1030137.0,272211.0,207640.0,724679.0,1315012.0,269274.0,617372.0,68376.0,130526.9,691188.0,266303.17,39279.73,47795.75,113252.22,59917.92,3449315.57,,,178009700.0,790660.0,,,,,,350466.0,,69988.0,7276249.0,1117016.0,,,
2002,4015593.0,,448410.0,491567.0,838298.0,168988.48,1052274.0,281624.0,218881.0,750466.0,1393151.0,289607.0,630568.0,71971.0,136364.4,736466.0,301759.01,44715.77,49576.745,115758.09,62344.84,3587985.01,,,194957700.0,944728.0,,,,,,367193.0,,74860.0,8890365.0,1201744.0,,,
2003,4268405.2,,489117.0,515267.0,868664.0,166795.37,1068281.0,303852.0,229208.0,770664.0,1454124.0,307871.0,657939.0,74873.0,143545.3,782884.0,276675.1,47552.2,53374.517,118878.19,66267.27,3721929.12,,,260512900.0,1048627.0,,,1667494.4,,,386435.0,,83355.0,9396975.0,1386860.0,,,
2004,4503249.8,,529912.0,533629.0,902872.0,170413.38,1058667.0,325344.0,231037.0,798141.0,1484735.0,333736.0,680842.0,77987.0,146388.2,810109.0,274555.5,51287.06,57001.963,130153.41,70388.27,3835074.1,,,255654900.0,1110236.0,,,1860050.09,,,405488.0,,92237.0,10285184.0,1303245.0,,,
2005,4817584.8,186434200.0,576560.0,559532.0,941123.0,173183.48,1071405.0,348169.0,234593.0,812682.0,1532881.0,356857.0,705620.0,80729.0,160791.6,845493.0,284767.69,56238.29,61654.071,129973.41,74144.93,3968442.52,,,267103300.0,1299218.0,,,2025089.93,,,438169.5,,90778.0,11143538.0,1392102.0,126376000.0,,
2006,5065365.7,184797800.0,601231.0,590726.0,977223.0,173815.36,1078898.0,377546.0,253629.0,838266.0,1595140.0,385827.0,742085.0,83111.0,158639.4,912970.0,299450.38,62062.74,66780.808,134929.78,75225.82,4123127.95,,,287113400.0,1478247.0,,,2332565.27,,,475378.0,,98292.0,12503227.0,1463921.0,140986000.0,,
2007,5408531.7,186529200.0,634664.0,620705.0,1020486.0,178278.8,1084748.0,408267.0,264371.0,862318.0,1637781.0,422204.0,755481.0,87119.0,166871.4,980959.0,309189.15,70236.25,71961.519,139842.46,78112.87,4281423.0,,,305521000.0,1684331.0,,,2483971.58,,,509445.0,17687606.32,109528.0,12835221.0,1560751.0,158719000.0,,
2008,5860288.7,188167000.0,706247.0,655948.0,1061865.0,189263.11,1125536.0,466269.0,281277.0,908135.0,1706926.0,459823.0,783371.0,93006.0,178598.7,1057827.0,332648.57,77829.75,78502.127,146510.77,81206.47,4507095.51,,,344079800.0,1883515.0,,,3091949.21,,,567861.0,19939866.72,123041.0,13283006.0,1652260.0,172920000.0,,
