,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,86.4662,,93.7335,88.6123,102.4491,,75.2063,,87.6438,104.2859,93.1069,118.2811,121.5899,89.6224,69.0543,116.547,61.6363,39.2265,,63.5971,125.2788,89.3926,,39.7002,37.0836,77.658,,,88.9886,,40.7966,41.2715,64.9648,139.1992,47.5216,58.2845,72.9736,,52.5522
1999-02-01,86.9607,,93.8389,88.5282,102.1391,,73.8062,,88.2087,102.3265,94.5237,116.4051,120.9899,90.1225,68.3517,116.219,62.827,36.8563,,62.837,128.234,88.3926,,39.3369,38.5593,76.447,,,88.4072,,41.0966,41.3667,65.5128,137.6092,45.7615,58.9155,71.1145,,50.9936
1999-03-01,87.1527,,94.7867,88.1974,102.0691,,74.3062,,89.1501,104.5036,95.4346,115.1451,121.3899,90.9227,69.4832,116.6563,61.4262,35.3157,,64.864,125.2438,88.4926,,39.214,39.2052,76.5523,,,88.8342,,41.9965,43.2552,65.4156,135.675,47.1696,57.842,66.7336,,52.2202
1999-04-01,87.346,,94.5761,88.7358,102.8891,,74.8062,,87.5497,98.1899,93.8153,117.0141,120.49,91.6229,69.5996,113.3763,62.687,36.2045,,65.3707,128.0129,89.0926,,39.8323,38.836,77.8774,,,88.8318,,41.3966,43.1906,65.161,135.5326,47.4629,59.3387,69.6168,,51.606
1999-05-01,87.8814,,95.524,88.5704,103.2891,,75.3063,,87.4556,101.7822,94.8274,117.0171,119.59,91.5229,69.6071,116.4376,62.2667,36.6193,,66.2998,125.5281,89.1926,,40.7837,40.9576,79.2904,,,88.6156,,42.7964,44.8868,65.5384,139.1394,47.0523,61.4767,67.9867,,51.7759
1999-06-01,87.8223,,95.3133,89.7862,104.6991,,75.3063,,90.2797,101.2379,95.3334,118.1561,121.4899,92.123,69.6936,116.8749,63.0372,37.4488,,66.7221,129.5061,89.8925,,40.3636,41.2342,78.7287,,,88.5001,,42.7964,43.209,65.3883,139.1892,48.4603,59.3015,69.9895,,51.4174
1999-07-01,88.3454,,96.2612,90.2975,104.9591,,75.9063,,90.0915,99.7139,95.0298,119.7401,122.3898,91.6229,70.6493,119.1709,64.0177,39.819,,65.8775,126.503,90.5925,,40.7924,42.5259,77.7458,,,89.3664,,42.0965,44.2885,65.7014,142.5525,49.047,58.995,68.4093,,52.8281
1999-08-01,88.7301,,96.9984,91.1599,102.9991,,76.6064,,89.7149,97.8633,93.5117,118.5861,123.1897,90.5226,71.0887,119.3896,64.438,38.4562,,66.891,128.2904,90.4925,,41.1176,42.5259,79.0446,,,88.6425,,39.5967,44.7227,67.1414,140.9723,50.6897,59.9227,70.6585,,52.936
1999-09-01,88.3579,,97.525,92.3737,105.8191,,76.3064,,89.2442,103.7416,96.7502,119.8731,123.6897,92.8232,71.1107,117.7496,65.6287,41.0634,,67.5667,125.7147,91.2924,,41.0997,44.6476,80.0714,,,88.9928,,40.6966,45.582,65.6637,141.0997,51.7458,59.2984,71.2423,,53.5629
1999-10-01,89.496,,96.8931,91.8601,107.1591,,77.1064,,89.809,106.6808,96.7502,120.4011,124.8896,91.823,71.5717,116.219,65.4886,42.3077,,68.2423,127.5383,92.2923,,40.7897,44.7401,81.3702,,,89.0423,,40.3966,45.9852,68.3127,143.4748,52.3911,59.7666,71.8166,,51.9087
