,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01,90.6157,99.8811,77.4878,101.7687,104.4091,,76.3099,,81.5882,89.0118,94.7411,121.7418,124.5896,85.1,64.3412,91.2388,61.6363,37.0939,,61.7052,126.5393,87.9,,34.9401,36.4993,82.2682,,82.4176,78.4826,40.5694,37.7517,35.7789,64.9564,136.3168,42.842,50.7145,72.9814,,47.4824
1999-02,91.4002,99.8811,76.1079,101.885,103.0191,,74.8057,,79.3047,87.3393,96.8302,121.6883,123.3897,85.6,63.3163,91.3238,62.827,34.7262,,60.9578,128.223,86.4,,34.6307,38.1582,81.2376,,81.019,79.2359,50.169,40.0967,35.8114,65.5043,134.6669,41.0317,50.6539,71.1221,,44.8324
1999-03,91.4026,101.5958,76.851,101.5594,103.4291,,75.2068,,81.8516,89.1976,97.9792,120.2877,123.4897,86.4,65.1436,94.0448,61.4262,33.1477,,62.4527,124.9261,86.6,,34.5555,38.803,81.2105,,80.02,78.9355,57.0022,38.5475,38.3142,65.4071,134.3778,42.7322,50.5904,66.7407,,45.2243
1999-04,91.7182,99.6668,76.5325,102.5394,104.5091,,75.7082,,80.0073,83.8086,95.8901,123.2814,122.9898,86.7,65.1424,89.5382,62.687,34.1061,,63.034,127.3388,87.2,,35.0711,38.4349,82.5575,,81.3187,81.7973,55.8834,41.8816,37.7877,65.1525,134.354,43.5002,53.3788,69.6242,,44.9443
1999-05,92.4465,101.3815,77.594,101.9928,105.1191,,76.3099,,80.6221,86.8748,96.9346,122.4477,122.2898,86.8,65.3141,89.9633,62.2667,34.3879,,63.3662,118.2505,87.4,,36.1212,40.5556,84.4921,,83.5165,81.0122,56.5898,40.5879,39.1526,65.5299,138.005,43.0065,53.4623,67.994,,44.652
1999-06,92.229,100.5241,77.1694,103.7547,106.2891,,76.2096,,81.7638,86.4102,97.7703,122.5503,124.1897,87.8,65.563,89.8783,63.0372,35.1208,,64.2798,128.0018,88.1,,35.5833,40.8312,83.7237,,79.9201,80.5092,55.2603,41.6459,37.7229,65.3798,137.1448,44.2133,52.9043,69.9969,,43.2548
1999-07,92.6188,101.2743,78.7616,103.9519,106.5191,,76.9115,,82.4664,85.1094,97.6658,123.7207,124.8896,87.2,66.4875,90.3885,64.0177,37.5449,,63.2832,125.565,88.8,,35.9237,42.0294,82.3586,,82.3177,81.4834,58.6723,40.975,38.839,65.6929,138.8075,44.707,52.5836,68.4166,,44.5211
1999-08,93.1974,101.9173,79.7169,105.4468,104.1991,,77.5132,,82.4664,83.5298,95.7856,124.0402,125.2896,86.7,67.214,89.5382,64.438,36.2483,,64.9441,125.4652,88.5,,36.1719,42.0294,83.7508,,83.7163,81.2529,57.8197,36.8985,39.305,67.1327,136.4486,47.2852,53.6235,70.666,,44.6393
1999-09,92.8128,102.6675,81.0969,106.4321,107.3791,,77.2123,,83.2568,88.5472,99.8594,124.672,126.3895,88.8,67.3212,89.7082,65.6287,38.9542,,66.1899,125.8478,89.6,,36.1451,44.2416,84.9261,,83.6164,81.6442,59.5012,39.1479,40.1688,65.6552,140.6374,47.6144,52.4834,71.2499,,45.5139
1999-10,94.1749,102.7747,81.0969,105.793,108.9891,,78.0145,,83.7837,91.0559,99.6505,124.0977,127.3894,88.1,67.2528,89.113,65.4886,40.0253,,67.1034,127.9676,90.5,,36.1897,44.4257,86.4449,,83.5165,80.4175,60.486,38.3429,40.4905,68.3038,140.1814,48.0532,53.1374,71.8242,,44.4424
