,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Spain,Italy,Belgium,Norway,Israel,Ireland,Austria,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Argentina,Russia
1999-01-01,4.82,-0.84,2.34,4.19,2.78,1.03,0.79,5.27,4.21,4.22,4.24,0.86,1.9,0.87,1.05,9.64,2.82,8.9,6.2,6.2,6.58,0.67,2.9,0.98,2.29,-6.41,-4.09,2.1,-2.18,-1.8
1999-04-01,4.72,-0.03,2.17,5.01,2.61,0.58,1.22,4.61,4.62,3.52,4.3,0.64,2.96,-0.03,4.92,8.3,3.03,7.9,7.2,7.53,12.16,-0.44,,1.64,2.3,1.5,-3.86,4.22,-5.14,3.2
1999-07-01,4.79,0.33,3.47,5.69,3.54,1.17,1.86,3.83,5.17,3.8,4.69,1.42,4.15,3.22,4.18,8.57,3.98,7.6,5.8,6.93,13.3,-0.46,,2.97,2.76,2.92,-4.14,5.3,-5.12,11.5
1999-10-01,4.82,-0.44,4.26,5.74,4.18,3.73,3.12,3.97,5.68,4.45,4.73,3.33,5.15,4.25,5.76,13.84,3.95,6.7,7.5,7.29,13.73,2.15,-3.8,4.01,3.61,5.99,-1.02,6.53,-1.01,12.1
2000-01-01,4.22,2.67,4.82,5.52,4.36,4.32,3.4,3.64,4.59,3.99,5.35,3.95,4.8,5.13,7.02,8.25,4.31,8.7,6.0,7.79,12.47,2.97,,4.22,4.86,3.48,2.27,6.38,-0.11,11.4
2000-04-01,5.24,2.76,5.09,5.88,4.78,4.12,4.24,4.24,4.6,5.97,5.42,4.25,4.13,3.82,7.44,10.39,3.73,9.1,6.2,5.22,9.19,3.96,,4.35,5.38,2.95,6.85,5.34,-0.59,10.2
2000-07-01,3.97,2.24,4.1,5.31,4.11,4.56,3.05,3.31,4.03,6.03,5.16,4.05,3.11,2.91,10.43,8.51,2.63,8.8,7.2,5.3,9.16,5.26,,4.24,5.54,5.17,10.3,3.62,-0.56,10.5
2000-10-01,2.91,3.2,3.29,4.03,3.33,3.47,1.9,1.22,3.92,3.73,5.05,4.22,2.9,1.49,8.57,6.73,3.68,7.5,5.8,3.64,5.75,5.08,5.6,3.99,3.32,8.07,8.64,4.0,-1.89,8.3
2001-01-01,2.2,2.23,2.94,2.94,2.95,2.57,2.48,1.84,3.39,3.37,4.5,3.49,2.23,0.97,6.15,7.31,2.44,9.5,1.4,2.06,5.06,4.15,,3.42,1.84,4.03,1.47,2.93,-1.4,4.7
2001-04-01,1.0,0.98,2.64,2.0,2.08,2.56,1.63,1.76,2.76,0.86,3.97,2.51,1.52,2.05,1.44,6.43,1.46,8.6,-2.5,4.04,5.02,2.31,,2.99,-0.15,5.7,-7.06,1.49,-0.62,5.1
2001-07-01,0.49,-0.14,2.53,0.91,1.87,1.55,1.46,2.65,2.1,0.48,3.82,1.38,0.86,2.27,-2.73,3.8,0.92,8.0,-4.0,3.95,3.59,0.57,,2.25,-1.44,3.21,-7.28,1.66,-4.99,6.0
2001-10-01,0.17,-1.44,2.21,1.35,0.83,-0.13,1.67,4.3,1.11,1.61,3.47,-0.35,-0.22,2.98,-3.31,5.19,0.04,7.5,-0.3,6.29,5.76,-1.03,-1.2,2.17,-1.18,1.74,-10.13,-0.17,-10.68,4.5
2002-01-01,1.34,-2.0,1.57,2.31,0.96,0.11,-0.85,4.01,0.39,1.17,2.82,-0.65,0.59,1.06,-1.5,5.02,1.32,8.9,1.8,6.57,7.13,0.9,,2.64,-2.39,3.72,-1.7,0.86,-15.22,3.8
2002-04-01,1.33,-0.46,1.62,2.64,1.21,-0.06,-0.38,4.95,0.23,2.64,2.89,-0.02,1.43,2.95,-0.57,4.49,2.01,8.8,6.7,5.05,7.68,2.28,,3.43,-0.65,3.99,7.77,1.9,-14.15,4.4
2002-07-01,2.15,0.95,1.76,3.59,1.06,-0.12,0.31,4.05,0.21,2.88,2.57,0.58,2.17,0.65,0.53,6.75,2.27,9.6,7.0,4.38,8.39,3.72,,4.32,0.51,5.31,7.89,2.38,-9.9,4.4
2002-10-01,1.99,1.58,2.22,3.53,1.49,-0.18,0.27,3.62,0.04,2.19,2.64,1.09,2.65,0.87,0.89,6.46,1.34,9.1,6.2,2.12,7.68,5.21,-2.8,4.39,1.6,4.96,12.08,2.85,-3.48,6.2
2003-01-01,1.68,1.47,2.69,2.58,1.0,-0.66,-0.71,3.04,0.67,3.54,3.16,0.56,1.51,1.56,1.46,4.23,1.06,11.1,5.2,3.58,4.32,2.6,,3.92,2.16,5.05,8.09,2.58,5.27,7.6
2003-04-01,1.96,1.35,3.14,1.83,0.33,-1.15,-1.03,1.71,-0.02,1.35,2.86,0.1,0.86,-0.55,0.89,3.71,0.71,9.1,-1.1,5.55,2.3,0.76,,3.12,1.3,4.89,3.96,3.59,8.15,8.0
2003-07-01,3.23,1.33,3.37,1.33,0.8,-0.05,-0.76,3.15,-0.09,2.19,2.9,-0.14,0.73,1.86,1.62,2.29,0.69,10.0,5.4,7.68,2.21,0.64,,2.52,0.36,4.65,5.49,3.91,10.71,6.2
2003-10-01,4.3,2.15,3.38,1.48,1.24,1.58,-0.35,4.1,0.29,2.67,3.01,0.45,1.06,0.94,2.31,6.43,1.31,10.0,7.2,11.13,3.77,0.67,11.2,2.26,1.06,4.55,6.41,4.17,11.65,7.7
2004-01-01,4.34,2.83,3.02,1.64,2.15,2.55,0.98,4.68,1.18,3.36,2.67,0.99,2.84,4.47,2.35,6.33,1.59,10.6,6.9,9.08,5.77,2.52,,3.15,2.47,4.41,9.25,6.14,11.12,6.66
2004-04-01,4.23,2.15,2.67,3.0,2.99,3.63,1.39,4.95,2.02,4.37,3.14,1.43,3.61,5.06,4.26,8.46,2.32,11.6,10.8,8.92,6.74,6.28,,4.09,3.66,4.48,11.41,5.24,6.6,7.52
2004-07-01,3.49,2.47,2.16,3.83,2.39,2.45,0.41,3.95,2.08,3.72,3.43,1.45,4.09,2.86,4.92,6.92,3.11,9.8,7.0,8.67,5.15,6.56,,5.22,3.54,4.65,9.55,3.84,9.17,7.34
2004-10-01,3.35,1.17,1.88,3.86,2.59,1.48,0.05,2.95,1.76,3.89,3.24,0.85,3.74,3.67,5.43,4.15,3.22,8.8,3.6,7.25,3.22,6.3,8.0,5.73,3.7,6.55,8.06,4.14,8.82,6.59
2005-01-01,3.91,0.95,2.24,3.47,1.86,1.83,0.21,2.97,1.17,2.51,3.63,0.34,2.74,1.8,5.09,6.26,2.05,11.1,3.7,8.73,2.81,5.45,,5.21,2.58,6.16,10.01,2.54,8.36,6.46
2005-04-01,3.62,1.72,2.49,3.0,1.51,2.07,0.24,2.76,1.4,2.73,3.53,0.85,2.37,2.07,4.7,5.9,2.55,11.1,4.8,9.57,3.95,4.42,,5.63,1.2,6.11,7.96,2.13,11.96,6.03
