,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Spain,Italy,Belgium,Norway,Israel,Ireland,Austria,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Argentina,Russia
1999-01-01,0.94,-1.37,0.69,1.81,0.66,0.1,1.16,0.74,1.67,1.09,1.0,0.63,1.04,1.02,0.06,6.3,0.61,,2.72,1.62,3.03,0.31,,0.96,0.86,5.65,-1.69,0.8,-1.25,4.1
1999-04-01,0.83,0.38,0.47,0.84,0.62,0.65,0.0,0.34,1.11,0.68,1.19,0.38,1.37,0.04,3.3,0.76,1.28,,1.59,2.58,4.38,0.32,,0.8,0.75,-0.06,-0.56,2.09,-1.13,3.5
1999-07-01,1.33,0.53,1.6,1.56,1.5,0.63,1.11,1.14,1.38,0.71,1.33,0.89,1.45,1.71,0.37,3.92,1.68,,1.5,1.25,2.78,0.06,,1.09,0.95,0.27,-1.69,2.0,-0.29,2.0
1999-10-01,1.64,0.03,1.43,1.41,1.34,2.32,0.83,1.7,1.41,1.91,1.12,1.39,1.18,1.43,1.94,2.27,0.32,,1.7,1.65,2.89,1.45,,1.1,0.99,0.11,2.99,1.48,1.67,2.2
2000-01-01,0.36,1.71,1.23,1.6,0.83,0.66,1.43,0.41,0.62,0.64,1.6,1.23,0.71,1.87,1.25,1.08,0.96,,1.18,2.1,1.9,1.11,,1.17,2.08,3.15,1.57,0.66,-0.34,3.7
2000-04-01,1.82,0.46,0.74,1.19,1.03,0.46,0.81,0.92,1.12,2.59,1.26,0.68,0.72,-1.2,3.7,2.75,0.72,,3.14,0.13,1.33,1.29,,0.92,1.25,-0.57,3.89,1.1,-1.61,1.9
2000-07-01,0.1,0.03,0.64,1.02,0.85,1.05,-0.05,0.24,0.83,0.76,1.08,0.7,0.46,0.81,3.16,2.15,0.6,,0.6,1.33,2.75,1.31,,0.99,1.11,2.44,1.49,0.33,-0.26,1.9
2000-10-01,0.6,0.96,0.64,0.17,0.59,1.25,-0.3,-0.36,1.3,-0.29,1.02,1.56,0.98,0.03,0.23,0.6,1.35,,-0.26,0.04,-0.32,1.28,,0.85,-1.14,2.88,1.44,1.86,0.31,0.6
2001-01-01,-0.33,0.75,0.89,0.53,0.46,-0.21,2.01,1.03,0.11,0.29,1.07,0.52,0.06,1.35,-1.0,1.63,-0.25,,-1.17,0.54,1.23,0.21,,0.61,0.62,-0.71,-5.13,-0.37,0.16,0.6
2001-04-01,0.62,-0.76,0.44,0.27,0.17,0.45,-0.03,0.85,0.51,0.1,0.75,-0.28,0.02,-0.15,-0.9,1.91,-0.24,,-1.94,2.08,1.3,-0.5,,0.5,-0.73,1.02,-4.84,-0.32,-0.83,1.8
2001-07-01,-0.4,-1.08,0.53,-0.07,0.64,0.06,-0.21,1.11,0.17,0.38,0.93,-0.41,-0.19,1.02,-1.07,-0.37,0.07,,-0.56,1.24,1.35,-0.41,,0.27,-0.2,0.02,1.25,0.49,-4.65,2.5
2001-10-01,0.27,-0.36,0.33,0.61,-0.44,-0.42,-0.09,1.24,0.32,0.83,0.68,-0.18,-0.1,0.72,-0.37,1.94,0.46,,2.63,2.3,1.76,-0.34,,0.77,-0.87,1.42,-1.68,0.03,-5.69,-0.5
2002-01-01,0.84,0.18,0.26,1.48,0.59,0.03,-0.51,0.74,-0.61,-0.14,0.43,0.22,0.86,-0.53,0.85,1.47,1.03,,1.81,0.81,2.54,2.17,,1.09,-0.61,1.22,3.78,0.66,-4.93,0.4
2002-04-01,0.61,0.8,0.49,0.59,0.41,0.27,0.43,1.76,0.35,1.55,0.82,0.35,0.86,1.72,0.04,1.39,0.44,,2.8,0.62,1.81,0.86,,1.27,1.03,1.29,4.32,0.71,0.42,1.8
2002-07-01,0.41,0.32,0.67,0.87,0.49,-0.01,0.49,0.25,0.16,0.62,0.62,0.18,0.54,-1.23,0.02,1.78,0.32,,-0.39,0.59,2.02,1.0,,1.13,0.97,1.28,1.37,0.97,0.07,2.6
2002-10-01,0.12,0.27,0.78,0.55,-0.01,-0.48,-0.14,0.82,0.15,0.15,0.75,0.33,0.37,0.94,-0.02,1.67,-0.46,,1.93,0.08,1.1,1.09,,0.83,0.21,1.08,2.13,0.49,1.02,1.1
2003-01-01,0.53,0.07,0.73,0.55,0.1,-0.45,-1.48,0.18,0.02,1.18,0.94,-0.3,-0.26,0.15,1.42,-0.66,0.76,,0.73,2.25,-0.66,-0.36,,0.63,-0.06,1.31,0.08,0.39,3.7,2.6
2003-04-01,0.89,0.68,0.93,-0.15,-0.25,-0.23,0.11,0.45,-0.35,-0.61,0.53,-0.11,0.21,-0.39,-0.52,0.89,0.09,,-2.94,2.53,-0.15,-0.95,,0.49,0.17,1.13,0.34,1.7,3.16,1.12
2003-07-01,1.66,0.3,0.89,0.37,0.97,1.11,0.77,1.67,0.09,1.46,0.66,-0.07,0.41,1.16,0.75,0.39,0.3,,5.58,2.63,1.93,0.88,,0.54,0.04,1.05,2.85,1.27,2.44,1.69
2003-10-01,1.16,1.09,0.79,0.69,0.43,1.15,0.28,1.75,0.54,0.62,0.85,0.93,0.7,0.03,0.66,5.78,0.15,,3.89,3.28,2.64,1.12,,0.58,0.91,0.99,3.02,0.74,1.88,1.82
2004-01-01,0.57,0.73,0.38,0.72,0.99,0.5,-0.17,0.74,0.91,1.86,0.61,0.24,1.5,3.65,1.46,-0.76,1.04,,0.46,0.36,1.25,1.46,,1.51,1.33,1.18,2.75,2.29,3.21,1.88
2004-04-01,0.78,0.02,0.58,1.19,0.57,0.83,0.51,0.7,0.48,0.36,0.98,0.33,0.96,0.17,1.33,2.92,0.82,,0.85,2.38,0.76,2.69,,1.4,1.34,1.2,2.33,0.84,-1.04,1.93
2004-07-01,0.95,0.61,0.39,1.18,0.37,-0.05,-0.21,0.7,0.15,0.83,0.94,-0.05,0.87,-0.96,1.39,-1.04,1.07,,1.12,2.4,0.41,1.14,,1.64,-0.08,1.22,1.13,-0.07,4.92,1.51
2004-10-01,1.02,-0.19,0.51,0.72,0.63,0.19,-0.08,0.78,0.22,0.79,0.67,0.33,0.36,0.81,1.15,3.04,0.26,,1.19,1.94,0.76,0.88,,1.07,1.07,2.81,1.62,1.03,1.55,1.12
2005-01-01,1.11,0.51,0.74,0.35,0.27,0.84,-0.01,0.76,0.32,0.5,0.98,-0.27,0.53,1.78,1.13,1.25,-0.12,,0.71,1.75,0.85,0.65,,1.02,0.24,0.81,4.61,0.72,2.78,1.75
2005-04-01,0.49,0.78,0.83,0.73,0.23,1.08,0.54,0.5,0.7,0.58,0.89,0.84,0.6,0.43,0.95,2.57,1.31,,2.01,3.17,1.89,1.68,,1.79,-0.03,1.15,0.42,0.44,2.25,1.52
