,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Spain,Italy,Belgium,Norway,Israel,Ireland,Austria,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Argentina,Russia
1999-01-01,1.67,0.2,2.0,0.66,0.24,0.07,0.24,,2.18,-0.22,1.54,1.49,0.97,2.4,7.7,1.46,0.5,-1.2,0.39,9.38,1.46,1.65,-1.66,8.88,19.02,70.64,65.9,6.9,0.5,96.92
1999-02-01,1.61,-0.1,1.9,0.66,0.18,0.29,0.12,1.19,2.11,-0.1,1.84,1.39,0.98,2.11,7.1,1.59,0.49,-1.3,2.1,8.64,0.17,2.24,-1.85,8.63,18.54,53.41,63.93,5.6,0.0,103.24
1999-03-01,1.73,-0.4,2.1,0.99,0.35,0.47,0.24,,2.15,0.13,2.24,1.3,1.23,2.24,6.96,1.3,0.41,-1.8,-0.46,8.95,0.51,3.02,-1.36,7.89,18.26,45.42,63.54,6.2,-0.6,107.58
1999-04-01,2.28,-0.1,2.0,1.65,0.42,0.59,0.6,,2.11,0.06,2.36,1.48,1.17,2.52,5.95,1.43,0.19,-1.3,-0.9,8.36,0.42,3.35,-2.3,7.62,18.23,37.97,63.86,6.3,-0.7,113.06
1999-05-01,2.09,-0.4,1.7,1.53,0.41,0.58,0.48,1.04,2.24,0.08,2.23,1.48,0.85,2.52,6.08,1.43,0.49,-2.2,0.49,7.71,0.76,3.14,-1.39,7.02,18.01,30.74,62.97,6.4,-1.2,116.71
1999-06-01,1.96,-0.3,1.8,1.64,0.32,0.57,0.48,,2.28,0.43,2.18,1.38,0.75,2.38,5.9,1.28,0.41,-2.68,-0.84,5.26,0.6,3.32,-1.59,7.22,17.39,24.53,64.27,6.5,-1.3,120.67
1999-07-01,2.14,-0.1,1.7,1.86,0.38,0.74,0.59,,1.97,0.22,2.25,1.66,0.65,2.1,6.36,1.14,0.41,-1.4,-0.81,3.16,0.25,4.57,-1.25,4.85,17.04,13.5,65.0,6.3,-1.5,126.51
1999-08-01,2.26,0.3,1.6,2.08,0.49,0.95,0.71,1.78,2.51,0.73,2.41,1.66,0.92,1.96,6.33,1.56,0.49,-1.7,1.14,3.15,0.94,5.69,-0.76,3.27,16.58,5.78,65.4,7.2,-1.9,121.03
1999-09-01,2.63,-0.2,1.6,2.63,0.69,1.22,0.71,,2.15,1.04,2.53,1.84,1.18,2.09,5.21,1.42,0.49,-0.8,0.58,2.14,0.76,6.25,-1.38,1.93,15.83,1.25,64.27,8.0,-2.0,62.03
1999-10-01,2.56,-0.7,1.5,2.29,0.81,1.24,0.72,,2.0,0.94,2.48,2.03,1.3,2.5,2.74,1.56,0.79,-0.6,0.41,0.92,1.18,7.5,-1.18,1.71,14.91,1.57,64.7,8.7,-1.7,57.12
1999-11-01,2.62,-1.2,1.5,2.18,0.91,1.3,0.95,1.92,2.13,0.92,2.74,2.12,1.53,2.78,1.28,1.99,0.77,-0.9,-0.89,0.0,1.35,8.65,-1.03,1.92,13.92,1.59,64.55,9.2,-1.8,50.52
1999-12-01,2.68,-1.1,1.5,2.63,1.25,1.67,1.19,,2.06,1.31,2.92,2.11,1.93,2.77,1.28,3.41,1.37,-1.0,0.15,0.47,1.35,8.94,-0.22,2.24,12.32,1.93,68.79,9.8,-1.8,36.56
