,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Spain,Italy,Belgium,Norway,Israel,Ireland,Austria,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Argentina,Russia
1999-01-01,4.3,4.5,6.2,7.9,12.0,3.5,8.9,7.12,4.6,7.3,14.8,11.1,8.9,2.7,8.8,6.5,4.3,,2.9,,7.6,,,,2.6,,,11.5,,13.8
1999-02-01,4.4,4.6,6.2,7.9,12.0,3.4,8.8,7.11,4.5,7.0,14.3,11.1,9.0,2.7,8.8,6.3,4.2,,2.9,,7.4,,,,3.1,,,12.0,,14.1
1999-03-01,4.2,4.7,6.2,7.9,11.8,3.2,8.8,7.01,4.4,7.0,13.9,11.1,9.0,2.9,8.8,6.3,4.2,,2.8,,7.2,,,,2.7,,,12.3,,13.7
1999-04-01,4.3,4.7,6.1,8.2,11.7,2.9,8.7,6.98,4.4,6.9,13.6,11.1,9.0,2.9,9.0,6.3,4.2,,2.9,,7.0,,,,2.8,,,12.7,,13.1
1999-05-01,4.2,4.7,6.0,7.9,11.5,2.7,8.6,7.02,4.3,6.7,13.5,11.1,9.0,2.9,9.0,6.3,4.2,,3.0,,6.8,,,,2.6,,,12.9,,12.4
1999-06-01,4.3,4.8,6.0,7.6,11.4,2.6,8.6,6.65,4.3,6.7,13.5,11.0,8.7,2.8,9.0,6.0,4.2,,2.9,,7.3,,,,2.7,,,13.2,,12.1
1999-07-01,4.3,4.8,5.9,7.6,11.3,2.5,8.5,6.68,4.2,6.6,13.5,11.0,8.3,2.9,9.0,5.7,4.1,,2.9,,6.9,,,,2.3,,,13.5,,11.9
1999-08-01,4.2,4.7,5.9,7.4,11.1,2.4,8.5,6.91,4.2,6.7,13.5,10.9,8.2,3.1,9.0,5.5,4.0,,2.9,,6.3,,,,2.5,,,13.8,,11.9
1999-09-01,4.2,4.6,5.8,7.5,11.0,2.4,8.4,7.04,4.1,6.6,13.4,10.9,7.9,3.4,9.0,5.5,4.0,,2.9,,5.7,,,,2.3,,,14.2,,12.0
1999-10-01,4.1,4.6,5.8,7.2,10.8,2.3,8.4,6.78,4.1,6.4,13.2,10.7,7.8,3.4,8.7,5.6,4.0,,2.9,,5.4,,,,2.4,,,14.5,,12.2
